,userName,score,date,thumbsUpCount,comment
0,재이,5,2021-09-30,0,글 아샤
1,엄주영,4,2021-09-30,0,게 좋음
2,백지원,5,2021-09-29,0,간편하게 예적금하고 급하게 사용 시에도 은행 대기시간 없이 너무 편하게 사용합니다 수고하세요 감사합니다
3,양준호,5,2021-09-29,0,아주 좋아요
4,김연근,5,2021-09-29,0,좋아요
5,박신영,5,2021-09-29,0,감사합니다 활용도 222
6,석현민,5,2021-09-29,0,정말 편해요
7,박보근,1,2021-09-29,0,내가 지금 7일 동안 신분증 인증 중인데 고객 센터가 뭐고 아무도 대책이 없다
8,조영진,5,2021-09-29,0,좋아요
9,한정란,5,2021-09-28,0,참 편리해요
10,Nick Name,4,2021-09-28,0,오픈뱅킹으로 다른 은행 계좌 추가할 때 약관을 PDF 파일로 다운로드하려고 하면 손상된 파일이라고 나옵니다 이거 좀 빨리 해결해주세요
11,김상구,5,2021-09-28,0,편리하고 투명하게 모임비를 거둘 수 있어 좋습니다
12,徐先森,1,2021-09-28,0,외국인이라 안된다네 머냐
13,Jong.goyu Song,5,2021-09-28,0,사용자 편리
14,이형열,5,2021-09-27,1,계좌 송금 시 수수료 없어 정말 좋아요
15,dualwield D,5,2021-09-27,0,편함
16,심준보,1,2021-09-26,0,나락나락라락나락
17,배병채,5,2021-09-26,0,모든 금융기관과 연계 가능해서 편하다
18,강다빈,5,2021-09-26,0,절차 오류 진짜 욕 나오게 만드네요
19,김종진,5,2021-09-26,0,좋아요
20,노빠꾸,5,2021-09-25,0,편리하기는 하나 불편한 것도 있음
21,장구라,5,2021-09-25,0,돈 장난치기 좋음
22,뉴스킨_혜인사장,4,2021-09-24,0,Good
23,샤샤닝YouTube,5,2021-09-24,0,굿
24,안녕,5,2021-09-24,6,편함 수수료도 없고 카톡 친구면 보내기도 쉽고 받기도 쉽고 atm기도 상관없이 충전 다 잘되고 근데 연결하는 거에 카카오뱅크 없으면 조금 당황할 듯 신한에 연결하세요
25,나나나,4,2021-09-24,30,모임 통장 너무 좋아요 잘 쓰고 있는데 모임 통장 기능이 있으니 회비 알림 설정도 있었으면 좋겠어요 매달 1일 이런 식으로 알림이 모임 톡 방이나 카카오뱅크 알림으로 뜨면 더 편할 것 같아요
26,김민수,5,2021-09-24,0,별로군요
27,똑밤이맘,5,2021-09-24,0,너무 편하게 잘 쓰고 있어요
28,K JY,2,2021-09-24,6,기기변경하고 신분증 촬영 후 잘 쓰다가 어제저녁에 갑자기 신분증 재확인으로 인한 거래 제한 걸렸는데 빨리 확인해 부탁드립니다 돈 카카오뱅크에 다 들어있는데 쓰지도 못하고 돈 옮기 지도 못하고
