,userName,score,date,thumbsUpCount,comment
0,전영숙,1,2021-09-30,0,NT008 오류 나고 접속 안됨 오류 해결 어떻게 하나요
1,수떡,1,2021-09-29,0,매번 들어갈 때마다 인증하라 그러고 여간 불편한 게 아니네요 쓰고 싶지 않지만 어쩔 수 없는 사정으로 쓰긴 하는데 진짜 시스템 조잡하네요 누가 앱 개발했는지 모르겠지만 이 앱 쓰는 사람으로서 배려가 없어 보이네요 자기들 실속 챙기느라 바쁜가
2,조재성,5,2021-09-29,0,국민 가족
3,김영식,1,2021-09-29,0,어플 개발자한테 좀 제대로 만들라고 하세요 처음 신분증 인증하는데 제멋대로 이상하게 인식해서 20번 넘게 하다 포기했네요
4,Dae-jin Shim,1,2021-09-29,0,로그인이 안 되는 경우가 너무 많음 지웠다 다시 설치해도 안됨 별 하나도 아까움
5,Jungmi Han,1,2021-09-29,0,어제부터 로그인이 안 되네요 비번 오류도 없었는데 3회 오류라고 해서 다시 재설정하고 다시 로그인하려면 원점이에요 왜 그런 거죠 지문도 패턴도 간편 로그인 비번도 재설정해도 설정하고 나와서 다시 하면 또 안돼요
6,뫄리,2,2021-09-29,0,잘 사용되다가 왜 접속이 안 되는지 응답하지 않는다는 팝업이 자꾸 뜨네요 권한 허용 다했는데 왜 그런지 모르겠어요
7,ᄎJessica,1,2021-09-29,0,앱 로그인 한 번에 제대로 된 적 한 번도 없고 다른 은행 어플들보다 훨씬 느려터졌다고 아까 평가 남겼는데 답변 달렸다는 알림 받고 와보니 답변은 없고 내 댓글도 못 찾아서 다시 평가합니다 솔직히 리뷰 관리하는 분이 무슨 죄가 있겠습니까 아무튼 다른 은행 어플들처럼 로그인 오류라도 좀 안 나게 해주십쇼 좀 빠르게 되는 거 바라지도 않아요
8,Inho Go,1,2021-09-29,0,이걸 쓰라고 만든 앱이냐 이러니까 카카오한테 쳐벌리지
9,Google 사용자,4,2021-09-29,0,컴퓨터에서 주로 사용하니까 별문제 없어요
10,김영식,2,2021-09-29,0,좋아요
11,김한국,1,2021-09-29,0,이런 글 처음 쓰는데요 이체는 자유롭게 해줘야 하는 거 아닌가요 되지를 않네요
12,키리키리,1,2021-09-29,1,아 정말이 은행 앱만 왜 이럴까요  한두 번이 아니에요 자꾸 멈추고 되지도 않네요 첫 화면에서 터치조차 안됩니다
13,박규민,5,2021-09-28,0,앙 네이버 코인 개 꿀맛
14,김현중,1,2021-09-28,1,4대 은행 앱 다 써봤는데 최악인 거 같습니다 가입하려는데 모바일 인증 관련 앱 다운로드하라고 하더니 그거 받으면 다른 앱들이 먹통이 되고요 국민은행 앱도 계속 버벅거리고 계속 붙들다가 사용 포기합니다 그냥 모바일뱅킹은 안 쓰고 인터넷뱅킹만 하려고요 다른 앱들 참고하셔서 개선 좀 해주세요
15,서종율,5,2021-09-28,0,좋아요 국민은행 좋습니다
16,이창연,5,2021-09-28,0,좋아요
17,Javis,1,2021-09-28,1,폴드 3 사용자입니다 구공 인증서 패드워드 칠 때 자꾸 튕깁니다 빠른 해결 부탁드려요 로그인을 못해요
18,임미숙,1,2021-09-28,1,매번 로그인하려면 여러 번 시도 돈 벌어서 어디에 쓰시나요 업그레이드 좀 하시길
19,문만수,1,2021-09-28,1,자주 쓰는 계좌 등록도 안 되네 어제는 되더니 하나은행은 아주 편하게 쓰고 있는데 이건 쓰기 엄청 불편해요 쓰기 싫지만 할 수 없이 쓰고 있는 거임
20,로우72,2,2021-09-28,2,UXUI 너무 별로이네 다른 앱 비해 너무 부족합니다 개선 좀 해주세요
21,진상민,1,2021-09-27,2,이런 쓰레기 같은 앱은 오랜만이네요 스티브 잡스가 있었다면 앱 등록 못하게 막았을 텐데
22,김정의,4,2021-09-27,0,아주 유용하게 사용합니다
23,마징가Z,1,2021-09-27,0,인증하기 인식을 못함 그래서 지움
24,H2O라일,1,2021-09-27,0,쿠키 냠냠
25,Saebyeol Jang,1,2021-09-27,3,지겨워요 진짜 앱 켜자마자 화면 정지되는 게 한두 번이어야죠 답글 달아준 대로 다 하고 또 하고 또 하고 그래봤자 또 오류고 1인 개인 사업자라 크고 작게 처리해야 될 것들이 많은데 앱 때문에 주거래 은행을 바꿔야 할 판이에요 정말
26,빅스비,1,2021-09-27,1,계속 오류 뜨고 다른 분들도 같은 오류 뜨길래 하라는 대로 다 했는데도 멈추고 터치도 안되네요 답이 없는 어플이네요
27,Egoist,1,2021-09-27,1,한도거래 제한 30만 원 이거 풀려면 각종 서류 뽑아서 은행 1시간 대기 번거롭기 이게 4차 산업시대 은행이냐 이러니까 칼뱅한테 밀리고 도태되지
28,냠냠,1,2021-09-27,2,타은행 어플 중 제일 최악인 kb 국민 어플 사용하기 힘들고 불친절하다 모바일 어플을 사용하는 이유가 인터넷 뱅킹 대신 사용하는 건데 모바일에서 할 수 있는 게 없어 결국 인터넷 뱅킹으로 신청해야 함 kb 국민을 이용하기 위해 통합된 어플이 아닌 하나하나 어플을 다 깔아서 사용해야 해서 어플이 너무 많아져 그냥 주거래 은행을 바꾸고 싶을 정도임
29,조보,1,2021-09-27,1,계속 꺼지네요 앱을 삭제하고 다시 깔아도 안돼요
30,배현아,3,2021-09-27,0,모두가 국민
31,패황,1,2021-09-27,0,면허증 인식이 왜 안되죠 폰 바꾸고 인증서 받는데 면허증 정보 정확히 기입해도 확인이 안된다고만 뜨네요
32,송카우,3,2021-09-27,0,잘 사용하던 앱이 비빌 번호 5회 초과로 로그인이 안 됩니다 재설정 해도 되지 않네요 답답하네요
33,nahyun park,1,2021-09-27,1,갤럭시탭으로 사용 중인데 로그인 시 인증서 확인이 연결되지 않습니다  너무너무너무 불편합니다
34,홈베이킹마롱차차,1,2021-09-27,2,앱 오류 심해요 대체 열리지 않을 때가 한두 번이 아니에요 이것 때문에 핸드폰 다시 시작을 몇 번 하게 요 수정 바랍니다 다른 은행 앱은 안 그렇거든요 국민 앱만 이러네요
