,userName,score,date,thumbsUpCount,comment
0,H쑤쌤,1,2021-09-30,0,이틀째 간편 로고인부터 로딩되는 것만 나오고 돼질 않아서 너무 불편합니다
1,팅이현정,5,2021-09-30,0,좋아요 
2,구재홍,3,2021-09-29,0,이체정보 확인 시 내 계좌 및 받는 계좌 입력 시 키보드가 올라오면서 입력창이 사라지는 현상 확인 부탁드립니다
3,흑살마귀.,1,2021-09-29,0,장난치나 비대몀계좌를 만들고 영업점 가서 출금 계좌를 만들으면 뭐 하러 비대면 계좌를 만듭니까 진짜 어쩔 수 없이 써야 해서 계좌 만드니깐 월탱이가 없네요 그럴 거면 아예 계좌 만드는 걸 없애든가 뭐 하는 겁니까 그럴 거면 모바일뱅킹을 만들지 마세요  급하게 입금해서 출금하려니깐 영업점 방문 하아 욕이다 나오네
4,김진호,4,2021-09-28,0,처음에 서툴러서 조금은 짜증이 났지만 이젠 사용하기에 익숙해지니 괜찮습니다
5,신형춘,5,2021-09-28,0,사용하기 쉽고 빠르네요
6,박순이,5,2021-09-28,0,편리하고도 좋아요
7,정군,1,2021-09-28,0,별 0개 못 주나 비대면 신규 가입은 본인 명의 핸드폰과 신분증만 있으면 된다더니 농협 보안카드 없으면 가입도 못하게 해놨네
8,Google 사용자,5,2021-09-28,0,사용하기 편리했어요
9,최학만,5,2021-09-28,0,좋아요
10,박판제,1,2021-09-28,0,모바일 opt하려니까 로그인하라길래 했는데 20번 해도 로그인이 안 되네 무슨
11,양정호,1,2021-09-28,0,아래 여러 사람이 적으셨는데 이틀 전까지 잘 들어가지다가 지금은 무한 로딩이 걸리네요 다시 깔아 보고 해도 동일 현상입니다
12,이꽁이,1,2021-09-28,0,이거 왜 사용 안 하는데 배터리 엄청 먹네요 너무 심하네요 5시간 사용했는데 15나
13,NE K,3,2021-09-27,23,입출금 알림이 안 옵니다 몇 달 전에 처음 설정하고 테스트할 때는 잘 왔는데 요즘은 아예 안 오고 있어요 입출금 알림 계좌 설정도 했고 설정에서 필수 정보 push 수신 설정도 돼있는 상태입니다 같은 증상이신 분들 많은 것 같은데 복붙 답변만 달리고 있네요 설정 다 해놓은 상태이니 해결 방법 좀 부탁드립니다 ;; 해결되면 별점 올릴게요
14,황경운,1,2021-09-27,0,엄연히 수수료 내고 이용하는데 왜 이렇게 광고가 많아 도듁놈들아
15,9 SG,1,2021-09-27,0,왜 안 들어가지냐고
16,김순경,5,2021-09-26,0,좋아요
17,김종근,5,2021-09-26,0,로딩에서 화면이 안 넘어가는데요
18,박찬홍,5,2021-09-26,0,좋다
