,userName,score,date,thumbsUpCount,comment
0,k my,1,2021-09-29,0,이거랑 수협 파트너 뱅크랑 뭐가 다름
1,조수혁,1,2021-09-19,2,어휴 못 하면 만들지 마라 신분증 인식도 못 해서 계속 실패 되고 이런 쉬운 것도 제대로 구현 못하면서 뭘 하겠다고 처음부터 다시 만드세요 어플 자체 날리고 이따위로 만든 사람 문책하고요
2,콩구,1,2021-09-16,3,병신 같은 앱 신분증 진위 확인 제대로 찍어도 안 먹힘 3회 틀려도 고객지원센터 연결도 안 되고 왜 있는 거지 대체 제대로 인식이 안 되면 공지라도 쳐써놔라 사람 힘 빼지 말고
3,Niji_K,1,2021-09-08,0,주민등록증 촬영에 한 시간을 쏟았습니다 사는 것도 오비 삼척인데 이런 데서 시간을 허송해서야 쓰겠습니까
4,chang woog Kim,5,2021-09-02,0,간편 실용적인 앱입니다
5,최원탁,3,2021-08-12,2,대출 원금 일부 상환하려는데 메시지 구문 처리 실패 4102라고 떠서 작업이 다 날아가고 처리되지 않는데 왜 그런 거죠
6,하담,1,2021-07-26,0,앱 개발자 일 안 하는 듯
7,박도현,1,2021-07-21,2,최악 은행 어플 괜히 적금 넣었다가 중도해지하는데 50분 걸림 디지털 OTP 오류로 인증번호만 20번 받고 보안에 얼마나 자신이 없는지 타 은행이랑 비교된다 다신 디지털 뱅크로는 사용 안 할 듯
8,이우주,1,2021-07-20,0,여기서 비대면 계좌 만들지 마세요 수협은행도 1금융권 은행이라 믿고 개설을 했는데 한도 제한을 걸면서 어플에서 직장 재직여부 타행처럼 스크리밍으로 정상계좌 전환이 어플에서 안되고요 4대 보험 가입 여부 같은 거 어플 자체에서 조회 동의 및 즉시 정상계좌 전환이 안됩니다 가까운 수협은행 가셔서 푸셔야 되네요 계좌 만드실 때 조심하세요
9,98하예영,1,2021-07-18,4,디지털 OTP 등록했는데 사용하려니 안돼요 이거 말고 기존의 수협 어플에서도 광고 ID 불일치 어쩌고 하면서 안됐는데 이것마저 하 둘 다 안되면 어쩌라는 소린가요 앱 때문에 짜증 나서 다른 은행으로 옮기긴 처음
10,SeungHwan Jeon,3,2021-07-11,2,주말에 대출이 진행 안 되면 시작부터 안되게 만들어 주세요 다 진행하고 마지막 절차에서 업무시간 같은 이유로 안된다고 하면 어떡합니까 괜히 조회 기록만 늘리게 되잖아요
11,손지영,1,2021-07-08,1,적금을 가입하고 확인차 들가 보려고 하니 Field map contained null value for key local ip라고 계속 뜨고 앱이 실행되지 않습니다 왜 그런 것인가요
12,the ach,1,2021-06-29,1,별 1개도 아깝습니다 진위 확인 수십 번 해도 되지도 않네요 민증으로 본인확인해본 것 중에 가장 최악입니다 제발 잘 좀 만드세요
13,김율태,5,2021-06-28,0,김율탸
14,행복냄새,1,2021-06-28,1,별 하나도 아깝네 민증 인식하는 게 수 십 번을 해도 안되니
15,徐宰振,1,2021-06-25,1,추가 인증 검증 실패라고 뜨면서 공인인증서 등록이 안 되네요
16,고은림,1,2021-06-21,2,비대면 개설하는데 아무리 신분증 촬영을 잘해도 오류 나고 결국 3회 오류라고 얼굴 정면샷 하고 신분증을 찍어야 한다는데 어떻게 하는 건가요 도대체 _ 진짜 최악이네요 가입을 하라는 건지 말라는 건지
17,임s,1,2021-06-17,0,급히 돈이 필요해서 대출받으려고 한도 조회했는데 한도가 된다고 했다가 신청하려고 하니까 대출이 안된다고 했다가 다시 하니까 한도가 0원 이랬다가 계속 바뀌는데 이거 쓸 수 있겠냐
18,이기문,5,2021-06-14,0,핸드폰 인증을 해야 하는데 번호를 입력하려고 하면 클릭이 안 되는데 어쩌죠
19,Rhee Un,1,2021-06-13,1,신분증 3회 오류 나서 그냥 비대면 개설 안 할렵니다 많은 뱅킹 이용해봤지만 이런 식의 오류 나는 곳은 첨보네요  앱 오류 개발 좀 제대로 합시다
20,함용희,5,2021-06-13,0,앱 너무 좋아요 키키
21,이새라,1,2021-06-10,4,하나부터 열까지 제대로 되는 게 없습니다 계좌 개설하다가 열받아서 도중에 포기하고 지웁니다 앱을 사용해서 계좌를 개설할 수 있게 하고 싶으면 앱을 제대로 만드시고 시작했어야죠 신분증 확인만 10번을 하고 그것도 안돼서 진위 여부 확인 따로 신청했더니 하라는 대로 해도 페이지가 안 넘어가네요 잘 되지도 않는 앱 가지고 뭘 어떻게 하라는 건지
22,김민정,1,2021-06-10,1,신분증 인증 더럽게 안됨 어플 인증 뭐 이따위로 개발했노 개발자야
23,빵구왕똥키,1,2021-06-01,0,자꾸 멈취요
24,한원우,1,2021-05-15,0,신분증인 증 자체도 안되고 만들 거면 제대로 만들어요
25,김요안나,1,2021-05-11,0,별 하나도 주기 싫네요
26,이충현,5,2021-05-10,1,앱이 왜 이래요
27,노재혁,1,2021-05-06,2,계좌 개설하는데 신분증 인증이 도통 돼야 말이지요 30번 넘게 촬영해도 인식 불가라니 개설을 하란 건지 말란 건지 답답하네요 빛없이 촬영해도 안되고 뭐 어쩌란 건지
28,HyoJeong Kang,1,2021-04-16,10,뭐만 하려고 하면 계속 먹통이에요 공인인증서 로그인 안 되어서 재시작 몇 번 했더니 그제야 타이핑하는 거 나오네요 그러고 나서 타행 인증서 등록 하라 해서 하려는데 또 먹통이에요 또 재시작 하고 겨우 하다가 대출 만기 연장에서 뭐 폼 만든다 하더니 또 먹통 그러다 겨우 됐는데 장기 금융 이 사용자로 서비스 사용 불가네요 
29,윰나름,1,2021-04-16,0,무슨 타행 인증서 등록하려고만 하면 오류라며 며칠째 어휴 안 쓴다 안 써
30,Byeol Park,1,2021-04-14,4,비대면 대출 만기 연장 어플로 밖에 안되던데 공인인증서 인증만 하면 에러 떠서 진행이 안됨 대체 어쩌라는 건지
31,김유하,1,2021-04-12,6,지문 로그인으로 설정했는데 앱을 켜면 계속 지문 오류 횟수가 초과되었다고 앱에 들어가지지가 않습니다 전에도 몇 번 그래서 불편했는데 이번에 또 그러니까 이젠 이 앱을 사용하기가 싫어지네요 답글을 받았는데 제가 지문 인식을 한 적이 없은데도 앱을 켜자마자 횟수가 초과된다고 하는 겁니다
32,엄한일,1,2021-04-09,0,다운이 안됩니다 왜 안 된 가요
33,PETER CHUNG,1,2021-03-31,0,쓰레기임 신분증 사진 찍어서 인증하는 거 안됨
34,"No, 어이",2,2021-03-29,0,왜 설치가 안되죠
35,현금자,4,2021-03-23,0,좋아요
36,허정윤,5,2021-03-05,0,편해요
37,펭수타사이,1,2021-02-21,7,1 이체할 때 마지막 화면에서 은행명은 따로 안 나와서 불편해요 혹시 다른 은행 계좌일까 봐 불안해요 2 비대면으로 계좌개설했는데 작년에는 30만 원으로 이체한도가 정해져있다고 했거든요 근데 지금은 어플 화면상에는 300만 원이라고 되어있던데 비대면 계좌도 해당되는 건가요 일반 수협과 지역 수협은 한도가 다르다고 저번에 상담원이 그러시던데요
38,조아용,1,2021-02-17,1,신분증 인증을 원하면 제대로 인증되게 해줘요 뭔 인식도 못 하면서
39,박호선,1,2021-02-12,4,기기 바꾸고 로그인하려는데 그 어떤 인증을 해도 모바일웹에서 열 수 없다고 뜸 도대체 무슨 짓을 한 거죠
40,Woody Pride,1,2021-01-28,4,되지도 않는 어플은 왜 만드는지 앱 만들어놓고 모바일에서는 지원 안 하는 항목은 왜 뜨는 거야  월탱이 없네
41,서희동,5,2021-01-16,0,좋습니다
42,조영현,1,2021-01-08,7,업데이트하고 어플에 렉이 너무 심해졌어요
43,황주형,3,2021-01-07,0,비대면 계좌가 한 가지만
44,areum kim,1,2021-01-03,1,어플 위 변조 삭제 후 재설치 알림이 떴어요 자동 업데이트인데 이런 알림이 뜨기도 하나요
