,userName,score,date,thumbsUpCount,comment
0,황재원,1,2021-09-29,0,사용 5분 만에 왜 별점이 3점인지 알겠습니다 3점도 후해 보이네요
1,미키마우스,1,2021-09-29,0,타은행보다 앱이 보기 편한데 계속 튕겨서 이체 이외엔 뭘 못함
2,캡틴아메리카노,1,2021-09-29,0,앱이 기본적으로 너무 무겁고 일반 고객이 쓰지 않는 기능이 너무 많아 불편합니다 쏠 라이트로 필요한 기능만 넣고 직관적으로 빠르고 가볍게 만들면 다른 인터넷은행들과의 경쟁도 가능할 것 같네요
3,dotobe0929,1,2021-09-29,0,이거 왜 실행도 안되고 튕겨요
4,Ji Ae Hwang,1,2021-09-29,0,자꾸 튕기고 안 눌리고 난리도 아니네요
5,장종인,1,2021-09-29,0,다른 앱을 사용 중에도 광고가 뜨네요 신한 쏠을 삭제한 후에는 광고가 안 뜨고요
6,Coala Cho,1,2021-09-28,0,골드 실버 투자할 때 99의 확률로 오류가 뜨는데 이거 왜 안 고칩니까 똑같이 시행해서 될 때가 있고 안 될 때가 있다는 것은 명백하게 오류가 있다는 건데 이거 투자하는 사람이 저밖에 없나요 누가 안 알려줍니까 누가 알려주기 전에 에러를 잡아야지 몇 달을 두고 보는데 고치지를 않아요
7,방귀할매,1,2021-09-27,1,번호 인증이 왜 안 돠는 거죠 개인이 만든 어플보다 못하네 진짜
8,동물의 숲,1,2021-09-27,6,다른 건 다 모르겠고 타은행에 비해서 사용하기 너무 불편해요 통장 내역 표시가 입금 출금이 다예요 아니 기존 잔고는 도대체 어디서 봐야 하나요 예를 들어 통장에 잔고가 5만 원 있는데 10만 원이 입금되었으면 10만 원 입금 뜨고 그 밑에 잔고 15만 원 뜨는 게 일반적이지 않나요 이건 뭐 입금 얼마 출금 얼마 만 있고 그래서 총 얼마인지 확인이 안돼요 이거 사용자가 일일이 계산하고 기억하고 있어야 해요 타은행에 비해 엄청 편하고 특출나지는 않아도 기본은 해야 하는 거 아닐까 싶은데 신한은행 어플은 관리자가 없나요
9,김준제,1,2021-09-27,0,요새 왜 이럼 로그인 안 되고 튕기고 먼 짓거리를 했길래
10,Demi,1,2021-09-27,0,요즘 왜 이렇게 로딩이 오래 걸리고 중간에 네트워크 연결이 끊기는지
11,I Han,1,2021-09-27,5,비밀번호 입력하면 지점 상태 오류입니다 해당 영업점에서 거래 불가입니다 고객센터로 문의하세요  도대체 이것은 무슨 오류인가요
12,kevin lemon,1,2021-09-26,3,홈 화면 변경 시 로그아웃되며 변경 안 됨 기본 화면 로딩 오래 걸리고 멈춤 현상 잦음
13,빈이,1,2021-09-25,0,지문 변경되었다고 몇 번을 인증 페이지만 보여주나 아 진짜
14,강현규,1,2021-09-25,0,안드로이드 12 베타 나온 지가 언제인데 지원할 생각이 없는 건지 인력이 딸리는 건지 역량이 안되는 건지 온갖 금융앱들 중에 신한 관련 앱들만 실행 안됨 베타는 미리 업데이트하라고 나오는 거예요
15,암정,1,2021-09-25,0,인증이 매우 까다로움 칼뱅으로 옮길까 생각 중
16,ᅳᅳ,5,2021-09-24,0,앱이 문제입니다
17,밀로,1,2021-09-24,0,제발 otp 좀 필수 항목에서 빼십쇼 미성년자라 민증도 없어서 매번 여권 가지고 인증할 수도 없고 이게 뭡니까
18,Hyeon-sik Kim,5,2021-09-24,0,좋아요
19,#NAME?,1,2021-09-24,0,가입 오류 진짜 많아요
20,손옥진,5,2021-09-23,0,사용하기 편리해서 너무너무 좋아요
21,Kt. J,1,2021-09-23,0,신한은행 어플만 사용하면 혈압 오름 유독 이 어플만 그래
22,차용진,1,2021-09-23,0,느려요 많이 느려요 뭘 해도 느려요 왜 만든 거지
23,김상일,1,2021-09-23,0,신한은행 업무 보기 졸라 힘듦 직원들이 고객 시간을 자기들 맘대로 사용함 부천 원미구 지점
24,EUNHEE LEE,4,2021-09-23,0,지금 서비스 점검 중인가요 종종 점검 중이라면서 솔 퀴즈를 풀 수 없네요
25,김민성,1,2021-09-23,0,인증 막바지에서 오류 나서 처음부터 다시 해야 하고 연결도 잘 안됨
26,Drawing,1,2021-09-22,0,느림 숨넘어감
27,jay l,2,2021-09-19,0,Isa 계좌개설하려는데요 약관 동의나 신분증 촬영 이후에 펜싱 현상이 계속됩니다 인증서버가 죽은 건가요
28,김영수,5,2021-09-19,0,너무 사용하기 편해요 
29,정옥철,1,2021-09-19,0,기기변경 후 업데이트하라고 해서 수십 번을 해도 안되고 다시 웹을 깔으려고 해도 뱅글뱅글 돌기만 하고 20년을 넘게 신한만 거래했는데 너무 짜증 나네요 별 하나도 아깝네요
30,이석우,4,2021-09-19,0,좋아요 간다 하고 편리합니다
31,맛있는빵통조림,1,2021-09-18,0,이벤트도 안되누 앱 더럽게 못 만든다
32,원호최,1,2021-09-18,0,신한 쏠만 로그인해서 접속하면 하나원큐 앱이 튕겨버립니다
33,서옥희,5,2021-09-17,0,너무너무 편하고 좋더라고요
34,김호호,1,2021-09-17,0,티브이 광고까지 때리는 신한은행 어플 맞나 싶음 회사 월급 때문에 어쩔 수 없이 신한은행 계좌 쓰는데 쓰레기도 이런 쓰레기가 없음 도대체 무슨 생각으로 앱을 이따위로 만들었는지 이해가 안 됨
35,초강력본드,1,2021-09-16,0,에효 복잡하네요 안 하고 말지
36,준,1,2021-09-16,0,신한 쏠 때문에 카드 갈아탄다
37,전찬미,1,2021-09-15,0,아니 저만 인증 문자 안 오는 줄 알았는데 아니네요 도대체 앱 사용을 어떻게 하라는 건지 앱 사용 후기에 여러 개 올라와 있는데 지금까지 안되는 거 보면 이런 피드백은 안 보시는 건가요
38,박경수,5,2021-09-15,0,잘 쓰고 있어요
39,중기김,5,2021-09-15,0,사용하기 편리합니다
40,Lee수달,1,2021-09-15,0,어쩜 이렇게
41,김혜린,1,2021-09-15,0,한마디로 아주 개 같은 어플임
42,장종섭,5,2021-09-15,0,시간과 번거로움 일시에 해결 아주 유용합니다
43,가아사나,1,2021-09-15,0,지문 인식 못 하더니 사라짐 공동 인증서 신한 아니라고 안됨 금요 인증서 신한 아니라고 안됨 인증센터 타행 타 기관 인증서 등록하라 함 함 까임 신한은행에 등록된 인증서가 아닙니다 무한 반복 없어져야 할 앱
44,손정희,5,2021-09-14,0,역시 신한
45,윤강우,5,2021-09-14,0,좋아요
46,daldal,1,2021-09-14,7,타행 인증서라 등록하라 더니 수많은 절차를 걸쳐 등록하려니까 이미 등록되어 있다며 거절당하고 아이디는 홈페이지 가입 밖에 안 됨 대체 앱을 왜 만든 거지 30분 헤매다 화나서 남김 대 환장
47,Char Ging,4,2021-09-14,1,안드로이드 12를 지원하는 대응 업데이트를 해주면 좋겠습니다
48,장세미,1,2021-09-14,22,접속 오류 튕김 이벤트 오류 갈수록 더 안 좋아지네요 특히 신한 플러스는 바뀔 때마다 인터페이스가 보기에 사용하기에 불편해지는데 UIUX 고려 안 하는 것 같네요
49,정물개를 꿈꾸며,5,2021-09-13,0,좋아
50,구연주,1,2021-09-13,4,지금은 1점도 아깝네요 전화비만 해도 엄청 썼을 듯요 빠른 조치해 주시길 바랍니다 아니면 앱 자체를 없애셔야죠 희망고문입니다 웬만하면 이런 글 안 올리는데 아까운 시간만 낭비해서 어서 개선되길 바라며
51,You Jin Park,1,2021-09-13,0,카카오뱅크 보면서 배우는 게 1도 없나 무슨 ui가 이런지 저혈압 치료제임 어플이 일단 다 때려 넣고 추가 추가하니까 메인 페이지 열리는 것도 한참 걸리고
52,S2 Rain,3,2021-09-13,0,항상 잘 사용 중인데 어제부터 갑자기 신한 쏠 퀴즈를 할 수가 없네요
53,권오빈,3,2021-09-13,0,차량 등록이 안되네요 중고시세가 없다고 메시지 뜨고 확인하면 차량 정보 나오고 사라지네요
54,MINSEOB SONG,1,2021-09-13,0,은행 앱들은 다 이상한가 내 정보 수정하는데 무한 로딩하네
55,낭림,5,2021-09-13,4,잘 쓰고 있긴 한데 최근 안드로이드 버전 앱 상단 알림 아이콘은 대부분 통일감 있게 잿빛 색인데 쏠 혼자 파란색이라 눈에 띄네요 다른 작업 바쁘시면 어쩔 수 없지만 한번 문의는 드려봅니다
56,김아영,1,2021-09-13,0,앱 이상해요  엄청 튕기고 렉 걸리고 퀴즈도 안되고 휴 스트레스만 쌓여요 
57,조세호,1,2021-09-13,29,쏠 퀴즈 참여 순서 순번 그게 무슨 상관있습니까 완전 소액 포인트를 주면서 너무 복잡하고 번거롭게 하네요 와 어제도 퀴즈 풀려고 하면 이렇게 사람 난감하게 만들고 아 정말 제대로 짜증 많이 납니다  
58,subin,4,2021-09-13,1,신한 어플 잘 사용하고 있습니다 다만 어제부터 쏠야구 참여를 못하고 있는데 왜 그런 건가요
59,정태광,1,2021-09-12,0,좋음
60,류경목,1,2021-09-12,2,쏠야 후 퀴즈 해당 순번 다 소진되었다고 안돼요
61,박한식,5,2021-09-12,1,쏠야 후 퀴즈 참여 순번 소진된다고 나오는데 이건 아니지 않나 이 거푸는 사람이 몇이나 된다고
62,hj c,1,2021-09-12,0,비대면인데 신분증 인식 못함 별 1개도 아까움
63,신남수,4,2021-09-11,0,핸드폰으로 언제 어디서나 빠르게
64,eavan wittgenstein,2,2021-09-11,9,로딩 에러가 많이 발생하는데 원인을 알 수 없으니 굉장히 불만을 불러일으키네요 금융회사라면 사용에 신경 써야 될 건데 많이 기피하게 될 거 같네요
65,Miles Prower,4,2021-09-11,0,국민 하나보단 나은데 그래도 좀 느림
66,김윤준,1,2021-09-11,1,앱 작동이 안 되고 자꾸 같은 화면만 다시 돌아옵니다 작동 안 되는 거 때문에 시간만 버렸네요 18
67,제젠제제,3,2021-09-11,0,자동이체 혹시 시간대도 선택하는 기능은 없나요 있으면 편할 것 같네요
68,최용환,5,2021-09-11,0,좋아요
69,노미현,1,2021-09-10,0,진짜 다른 카드사 카드 앱 쓰다 신한 쓰는데 앱 쓰기 젤 불편하네요 이거 때문에 갈아타야지 답답해죽겠네요
70,박건호,1,2021-09-10,0,앱 켰는데 왜 하얀 화면만 나와요
