,userName,score,date,thumbsUpCount,comment
0,ahurasong,1,2021-09-30,0,증권 시초에 구매가 안되네 장 초에 항상 락으로 화면이 안 넘어가서 키움으로 돌아감
1,김명찬,5,2021-09-30,0,체고
2,LEE JK,5,2021-09-30,0,
3,폰체스터,1,2021-09-30,0,비밀번호 재설정하라 해서 바꿨더니 또 재설 절하라 하고 바꾸면 또 재설정하십쇼 무한 루프에 빠짐 별 하나도 아까움
4,존스노우,5,2021-09-30,0,굿
5,티르피츠LDK,5,2021-09-30,0,편함
6,유국현,5,2021-09-30,0,잘 쓰고 있는데 등록된 자동이체 목록이 날짜순으로 정렬 좀 됐으면 좋겠어요 올림 타순이든 내림차순이든 뒤죽박죽이라 잘 쓰는 기능인데 헷갈리네요
7,Sue Kang,4,2021-09-29,0,굳
8,배호현,3,2021-09-29,0,리뷰가 지워지는 느낌인데 카카오뱅크나 카카오카드 내역을 볼 수 있게 해주세요
9,이은지,5,2021-09-29,0,편하고 좋아요 그리고 무료 송금할 수 있어서 좋아요
10,Henry,5,2021-09-29,0,아니면 돈 개념이 좀 부족한 학생들을 위해서 한 달 하루 동안 쓸 금액을 설정하고 그만큼 쓰면 결제가 더 안되게 하는 기능이 있으면 더 좋을 거 같아요 근데 그런 기능 은행 같은 곳에서 만들 수 있게 해주려나
11,이동훈,1,2021-09-29,0,잘 사용 중이었는데 계속 로그아웃되고 토스 오류 떠서 재설치합니다
12,이미영,5,2021-09-29,0,편해요
13,고마루,4,2021-09-29,0,토스 예전 만보기에서 신규로 갈아타기 하면 1000원 안되게 모은 돈은 어떻게 되나요 갈아타기로 이월되는지 궁금합니다
14,늘초보,5,2021-09-29,0,좋아요 감사합니다
15,김재춘,5,2021-09-29,0,굿
16,정소현,5,2021-09-29,0,친구랑 만 보하던 것 좋았는데 다시 돌아갈 수 없을까요
17,김Ms,5,2021-09-29,0,편하게 송금할 수 있어 좋아요
18,박기원,4,2021-09-29,0,괜찮음
19,안녕하세요영진,5,2021-09-29,0,좋아요
20,꼬망,1,2021-09-29,12,아니 업데이트를 하면 로그인을 다시 하는데 왜 주식 또 신분증 인증을 하나요 맨날 들고 다니는 것도 아닌데 업데이트할 때마다 이럼
21,최외정,4,2021-09-29,0,간편하고 사용이 편리함
22,황효은,4,2021-09-29,0,편리하게 이용할 수 있어좋아요
23,박철민,5,2021-09-29,0,편리하니 좋네요
24,김현기,5,2021-09-29,0,편함
25,서영림,5,2021-09-29,0,편해요
26,이희성,5,2021-09-29,0,좋음
27,한용석,4,2021-09-29,0,편하네요 보안성이 중요 한데 무탈했으면 합니다
28,j.h s,5,2021-09-29,0,펼 리 해요
29,최수병,5,2021-09-29,0,잔액이 얼마인지요
30,최관수,5,2021-09-29,0,아주 펼 리 합니다
31,박재환,5,2021-09-29,0,좋아요
32,일나라경원태은,1,2021-09-29,0,국가지원금 남았는 거 확인 업데이트하라 더니만 결국엔 토스 계좌 연계하려고 그런 것일 뿐 그다지 큰 도움은 안 되는
33,이진형,4,2021-09-29,0,편하게 잘 사용 중입니다 토스 만보기로 친구들과 우정도 쌓고 리워드도 받고 좋습니다 근데 내 보험 조회에 들어가면 엉뚱한 보험이 한 개 있습니다 계약자 피보험자 첨 보는 이름인데 왜 제 걸로 뜨는지 모르겠어요 보험 계약 날짜도 올해 1월이던데 이거 안 보이게 없애는 건 없나요
34,문병국,4,2021-09-29,0,사용하기 편리하고 주제들도 다양하고 좋아요
35,어머니맙소사,5,2021-09-29,0,좋아요
36,권수희,5,2021-09-29,0,너무 좋아 잘 쓰고 있어요
37,거북이,5,2021-09-29,0,너무 사용하기 편리하고 토스 머니 적립도 하고 좋아서 선택했어요
38,이상규,4,2021-09-29,0,일단 보기가 일목요연하게 정리되어 있다
39,태중,5,2021-09-29,0,편 리
40,마지막타,5,2021-09-29,0,이체 수수료가 없어 좋아요 여러 가지 유용한 기능도 많네요
41,또잉,5,2021-09-29,0,공인인증서가 필요 없어 편해요
42,김현민,5,2021-09-29,0,토스 뱅크 빨리 대출받고 싶어요
43,천보미,5,2021-09-29,0,너무 도움 되고 좋은 정보 줘서 너무 좋아요
44,윤미,5,2021-09-29,0,딸이 설치해줘서 편리하게 사용하고 있어요
45,김강오,5,2021-09-29,0,정말 좋아요
46,도지시바련,5,2021-09-29,0,편리해요
47,한연희,5,2021-09-29,0,너무 쉽고 편리합니다 
48,채상호,5,2021-09-29,0,굿입니다
49,이재성,5,2021-09-29,0,편함
50,현아빈이,5,2021-09-29,0,늘 잘 쓰고 있어요 토스 감사합니다
51,김세호,3,2021-09-29,0,신용 변동 알림 딱 하나만 켜놨는데 지원금 남았다는 푸시가 오네요 어찌 끄나요
52,김영일,5,2021-09-29,0,은행 업무 한방에 처리되니 확실히 편하네요
53,노현숙,5,2021-09-29,0,평생 무료 송금 최고입니다
54,조민수,5,2021-09-29,0,카카오보다 더 편해요
55,꿈나무,5,2021-09-29,0,여러 개 통장의 잔고 확인과 송금이 간편해서 좋아요 잘 쓰고 있어요
56,최광수,5,2021-09-29,0,좋아요
57,이노팬텀,5,2021-09-29,0,좋아요
58,인천은그리나쁜도시가아닙니다,1,2021-09-29,0,쓰레기 어플 푸시 알림 다 차단해 놨는데 재난지원금 남았다 뭐 해라 해서 카드사 비밀번호도 바꾸고 30분을 뺑이 쳤는데 다 쓴 거네 너네 뭐 하는 양아치들이냐 열심히들 산다
59,이희원,5,2021-09-29,0,토스 증권사용 중 너무 편리해서 좋습니다
60,랑비,2,2021-09-29,0,홈 화면의 8할을 차지하고 있는 토스 뱅크 광고 좀 치워주세요
61,박금자,5,2021-09-29,0,아주 좋아요
62,Younghwa Cook,5,2021-09-29,0,토스 너무 쓰기 편리하고 좋아요
63,뷀ᄏ붥,5,2021-09-29,0,오랜 기간 토스 사용하고 있습니다 진지하게 토스는 혁명이라 볼 수 있죠 솔직히 이 정도 퀄리티의 앱 절대 없다고 봅니다
64,이상권,5,2021-09-29,0,굿 좋아요
65,이민아,5,2021-09-29,0,좋음
66,빛고을세영맘,5,2021-09-29,0,좋아요
67,김큐브,1,2021-09-29,0,중간중간에 몰래 돈 빼가고 이게 뭐 하는 짓인지
68,Kielsangel,5,2021-09-29,0,굿
69,서준호,1,2021-09-29,0,설치가 안됨
70,최영준,5,2021-09-29,0,굿
71,낑깡,5,2021-09-29,0,가입하고 반년을 사용 안 하다가 다시 깔았는데 전에는 보였던 비상금 모으기가 안 보입니다 오류인가요
72,예수,5,2021-09-29,0,간편하고 쓰기 편함 스토어 리뷰 답글 다는 사람 밀어내고 내가 취직하고 싶을 정도임
73,도효정,5,2021-09-29,0,너무 편해요
74,윤현식,5,2021-09-29,0,편리하다
75,김경철,4,2021-09-29,0,아주 쉽고 쓰기 편리하네요
76,김재흥,5,2021-09-29,0,굿
77,못돼지,5,2021-09-29,0,내 옆에 비서 하나가 있는 느낌 아주 재무관리를 잘해요
78,이상수,5,2021-09-29,0,좋아요
79,해운대오빠,5,2021-09-29,0,과태료 못 낼뻔한 거 가산세 없이 납부하게 해줌
80,sabina park,5,2021-09-29,0,편리성
81,eunho Park,5,2021-09-29,0,혜택도 많고 편해요
82,한영재,5,2021-09-29,0,세상 펀해요
83,서영은,5,2021-09-29,0,편해요
84,혁짱,1,2021-09-29,0,도대체 토스 앱에서 광고하던 부동산 소액 투자 원금도 회수 못했는데 제휴 광고 끝내고 나 몰라라 하면 끝입니까
85,하늘풍력,5,2021-09-29,0,모든 은행의 통합 관리와 다양한 서비스가 유익합니다
86,김상훈,5,2021-09-29,0,좋아 요
87,김명수,5,2021-09-29,0,쓸만해요
88,좋은생각,5,2021-09-29,0,편리하며 정보제공에 만족한다
89,신형창,5,2021-09-29,0,좋아요 사용하기 편하고 
90,조석호,5,2021-09-29,0,좋아요
91,sense kim,5,2021-09-29,0,좋아요
92,최용기,5,2021-09-29,0,그냥 처음부터 이거 쓰면 됨 다른 거 써보셔도 상관없음 어차피 결론은 토스
93,용용TV,3,2021-09-29,0,아직은 좀
94,노윤호,5,2021-09-29,0,아주 유용히 잘 쓰고 있습니다
95,김종길,5,2021-09-29,0,좋아요
96,창용,1,2021-09-29,0,막
