WORD,TAG,reinforcer,score,count
0,NNP,1,0,1
7,NNP,1,0,1
1,NNP,1,0,1
8,NNP,1,0,2
0년,NNP,1,0,1
10,NNP,1,0,19
100,NNP,1,0,1
1004,NNP,1,0,1
101,NNP,1,0,1
10년,NNP,1,0,8
10대,NNP,1,0,5
10분,NNP,1,0,49
10원,NNP,1,0,7
10월,NNP,1,0,5
11,NNP,1,0,3
11월,NNP,1,0,2
12,NNP,1,0,2
1229,NNP,1,0,1
12년,NNP,1,0,1
12월,NNP,1,0,9
12초,NNP,1,0,3
150,NNP,1,0,1
15년,NNP,1,0,3
16,NNP,1,0,1
190,NNP,1,0,1
1997년 1월,NNP,1,0,1
1년,NNP,1,0,2
1월,NNP,1,0,6
1월 11일,NNP,1,0,2
1월 13일,NNP,1,0,1
1월 14일,NNP,1,0,3
1월 15일,NNP,1,0,1
1월 18일,NNP,1,0,2
1월 1일,NNP,1,0,1
1월 20일,NNP,1,0,1
1월 25일,NNP,1,0,5
1월 28일,NNP,1,0,2
1월 2일,NNP,1,0,4
1월 4일,NNP,1,0,1
1월 8일,NNP,1,0,1
1점도 아깝,VA,1,0,16
20,NNP,1,0,35
200,NNP,1,0,2
2000년대,NNP,1,0,4
2010년대,NNP,1,0,1
202,NNP,1,0,1
20년,NNP,1,0,9
20대,NNP,1,0,28
20세기,NNP,1,0,1
21,NNP,1,0,15
21세기,NNP,1,0,3
23,NNP,1,0,1
24년,NNP,1,0,1
25,NNP,1,0,4
25년,NNP,1,0,4
26년,NNP,1,0,1
2년,NNP,1,0,4
2시,NNP,1,0,10
2월,NNP,1,0,4
2월 18일,NNP,1,0,2
2월 19일,NNP,1,0,1
2월 1일,NNP,1,0,1
2월 23일,NNP,1,0,1
2월 24일,NNP,1,0,1
2월 27일,NNP,1,0,1
2월 28일,NNP,1,0,1
2월 2일,NNP,1,0,1
2월 3일,NNP,1,0,2
2월 4일,NNP,1,0,1
2월 9일,NNP,1,0,1
30,NNP,1,0,9
30년,NNP,1,0,4
30대,NNP,1,0,6
31,NNP,1,0,4
312,NNP,1,0,1
35년,NNP,1,0,1
36년,NNP,1,0,1
398,NNP,1,0,1
3년,NNP,1,0,1
3분,NNP,1,0,13
3월,NNP,1,0,14
3월 13일,NNP,1,0,1
3월 15일,NNP,1,0,3
3월 17일,NNP,1,0,2
3월 20일,NNP,1,0,2
3월 22일,NNP,1,0,3
3월 23일,NNP,1,0,3
3월 25일,NNP,1,0,1
3월 29일,NNP,1,0,3
3월 2일,NNP,1,0,1
3월 30일,NNP,1,0,1
400,NNP,1,0,2
416,NNP,1,0,1
417,NNP,1,0,1
444,NNP,1,0,1
4월,NNP,1,0,14
4월 12일,NNP,1,0,1
4월 13일,NNP,1,0,1
