userName,score,date,thumbsUpCount,comment
H쑤쌤,1,2021-09-30,0,이틀째 간편로그인부터 로딩되는것만 나오고 되질 않아서 너무 불편합니다
팅이현정,5,2021-09-30,0,좋아요 ~
구재홍,3,2021-09-29,0,이체정보확인시 내계좌 및 받는계좌 입력시 키보드가 올라오면서 입력창이 사라지는 현상 확인 부탁드립니다.
흑살마귀.,1,2021-09-29,0,장난치나 비대몀계좌를 만들고 영업점가서 출금 계좌를 만들으면 뭐하러 비대면 계좌를만듭니까??? 진짜 어쩔수없이 써야해서 계좌만드니깐 얼탱이가 없네요. 그럴거면 아예 계좌만드는걸 없애든가 뭐하는겁니까 그럴거면 모바일뱅킹을 만들지마세요 ㅡㅡ 급하게입금해서 출금하려니깐 영업점방문... 하아.. 욕이다나오네.
김진호,4,2021-09-28,0,처음에 서툴러서 조금은 짜증이 났지만 이젠 사용하기에 익숙해지니 괞찬습니다.
신형춘,5,2021-09-28,0,사용하기 쉽고 빠르네요~^^
박순이,5,2021-09-28,0,편리하고도 좋아요
정군,1,2021-09-28,0,별 0개 못주나... 비대면 신규가입은 본인명의 핸드폰과 신분증만 있으면 된다더니 농협보안카드 없으면 가입도 못하게 해놨네
Google 사용자,5,2021-09-28,0,사용하기 편리했어요.
최학만,5,2021-09-28,0,좋아요
박판제,1,2021-09-28,0,모바일opt하려니까 로그인하라길래 했는데 20번해도 로그인이 안되네무슨
양정호,1,2021-09-28,0,아래 여러사람이 적으셨는데 이틀전까지 잘들어가지다가 지금은 무한로딩이 걸리네요 다시깔아보고 해도 동일현상입니다
이꽁이,1,2021-09-28,0,이거 왜 사용안하는데 밧데리 엄청 먹네요.. 넘 심하네요 5시간 사용햇는데 15%나..
NE K,3,2021-09-27,23,"입출금 알림이 안옵니다. 몇달전에 처음 설정하고 테스트할때는 잘 왔는데, 요즘은 아예 안오고있어요. 입출금 알림계좌 설정도 했고, 설정에서 필수정보 push 수신 설정도 돼있는 상태입니다. 같은 증상이신 분들 많은것 같은데, 복붙 답변만 달리고 있네요. 설정 다 해놓은 상태이니 해결방법좀 부탁드립니다 ;; 해결되면 별점 올릴게요"
황경운,1,2021-09-27,0,엄연히 수수료내고이용하는데 왜 이렇게 광고가 많아 도듁놈들아
9 SG,1,2021-09-27,0,왜안들어가지냐고
김순경,5,2021-09-26,0,좋아용
김종근,5,2021-09-26,0,로딩에서 화면이안넘어가는데요.? ㅡ.ㅡ
박찬홍,5,2021-09-26,0,좋다.
흥야곰탱이,1,2021-09-26,3,어플 잘 이용하다가 안되서 앱 삭제하고 다시깔아도 안되네요...원래도 어플이 빠른편도 아니었는데 이제는 연결도 안되고...
이정민,5,2021-09-26,0,급하게 처리하거나 조회할때 넘 좋은 듯~^^
산수국,1,2021-09-26,0,민증 사진 하라는대로 어두운 배경에서 찍었는데도 왜 계속 다시 찍으라는 건지
이시현,3,2021-09-25,3,로그인이 안되고 무한로딩이 계속 지속 됩니다. 'ㅁ'
엄봉희,1,2021-09-24,2,열리지가 않습니다 로딩만계속되고요
구리닥다,1,2021-09-24,0,쓰레기앱
겨르야,1,2021-09-24,1,리뷰 지워도 복붙은 쉽지 남들 다되는데 명절이라고 지혼자 안됨
송석민,1,2021-09-24,2,아니 보안카드 분실신고하려면 간편로그인해야하고 장기휴면풀려면 결국 보안카드로 로그인해야되는 이 개떡같은 시스템은 뭐임?
rg레드,1,2021-09-24,0,간편인증하려니까 계좌번호랑비번 입력하라고 하는데 비번은외우기쉽다쳐 누가 계좌번호를 외우냐고 그런게싫어서 간편인증하는건데
김연하,3,2021-09-24,0,파일클리너고 청소앱 없는데요ㅠㅠ 없는데도 자꾸없어져요ㅠ
Lala Lili,5,2021-09-24,0,갓농협 차냥해
미용,1,2021-09-24,0,불편합니다. 농협앱 몇개깔아야합니까.
씨윤,1,2021-09-23,0,모든 은행어플 중에 제일 구림 사용자 분노유발물
Anna,1,2021-09-23,0,로그인하기가 너~무 힘드네요^^ 몇 번이나 오류가 나는지 모르겠어요!
택배상하차장인엄준식,3,2021-09-23,0,예전에 등록했다가 폰 다시 밀고 깔았더니 다시 가입하라고 하네요.....
권성윤,4,2021-09-22,0,조으다
차민혁,1,2021-09-22,0,에이 진짜 올원뱅크는 뭐고 이건뭐여 좀 하나로좀 해라
김준영,4,2021-09-22,18,"잘쓰고있습니다. 개선되어야할부분이 몇가지 보이는데요, 이체할때 금액 입력하는 키보드가 너무 작아요. 그리고 적금계좌도 메인화면에서 확인할수있도록 해주세요. 그정도면 완벽해요!"
채병도,5,2021-09-21,0,좋아요.
이성택,5,2021-09-21,0,조아요
조승우,1,2021-09-19,0,가입입 계좌 계설이 왜안돼요? 영업점을 방문하라니...이럴꺼면 왜만듬?
장욱구,1,2021-09-19,0,사진 초점이 안 맞는다고 자꾸 떠서짜증나요도대체 초점으 어떠케 맞추라는건지
공이02,3,2021-09-19,0,다 좋은데 왜이렇게 이용못하는 시간이 자주 뜨나요?
전현길,5,2021-09-18,0,정말 유용한앱 입니다.
빈바다,1,2021-09-18,1,진짜 우리나라 은행어플 중 최악. 별 하나도 아까움.
도리넨네,1,2021-09-18,1,아니 개같은 거 팝업은 맨날 쳐다른 걸로 맨날 뜨네요. 3일 안보기가 소용이 없어요. 빡치게. 어차피 아무도 안하는데 광고 좀 그만 때리세요.
