userName,score,date,thumbsUpCount,comment
송성기,1,2021-09-29,0,안열림
keunsik moon,1,2021-09-29,0,usbdebug가 무어니 나오고 확인하면 화면 사라짐 열수가 없음
강재경,1,2021-09-28,0,갑자기 뭔팝업이 뜨면서 들어가질 않고..ㅉ
June 100,1,2021-09-27,0,갑자기 앱이 안열립니다. 삭제후 다시 깔았는데도 안되네요. 지점도 많이 없는데 인터넷 이러면 어떻게 거래하나요??
박주원,1,2021-09-27,1,어제 업데이트하고나서부터 로그인 불가합니다. 그냥 로고만 뜨고 로그인 화면자체가 안뜨네요. 은행사는 여기만 쓰는데 너무 불편하네요. 조치부탁드립니다.
Dennis Lee,1,2021-09-27,1,은행어플이 이렇게 로그인 화면까지도 오래걸리규 안에서도 뱅글뱅글 로딩 오래하는 것 처음보네요.. 진짜 개발자를 뽑든 서버를 증설하든..조치좀
김금숙,1,2021-09-27,0,은행 앱 사용하는 것 중에 가장 별로입니다 로그인도 그렇고 어플 실행하려면 다시 설치해야 하나요?
MZ K,1,2021-09-26,0,아니 이게 무슨일이죠 왜 며칠째 앱을 못들어가고있는건가요 usb디버그가 무슨오류인지모르겠어요
haha,1,2021-09-26,0,"모바일뱅킹 잘쓰고 있었는데, 오늘 갑자기 안들어가짐..뭐라고 뜨는데 모르겠음.. 인터넷 뱅킹은 잘됨 ㅡㅡ"
TaeHoon Kim,1,2021-09-26,0,이게 뭔... 오랜만에 들어가 로그인 하려니 인증서가 등록이 안됐다.. 인증서 등록을 하려니 단말기를 등록해야한다.. 단말기를 등록하려하니 로그인을 하라한다.. 로그인 - 인증서등록 - 단말기등록의 뫼비우스 띠에 갇히게 됨. 괜히 기존 은행들이 it기업들한테 밀리는게 아닌게 이런 사용자 입장에서 생각하지 못하기 때문임
김기한,1,2021-09-25,2,로긴방식 안바뀌나요? 아직도 보안 카드 찾고 있네요 로긴하고 이체할때는 금융인증 따로하라하네요 이건 진짜 거래그만하라는 건가요?
이미영,1,2021-09-25,0,왜 접속이 안되는거예요 갑자기
김민정,1,2021-09-24,0,이건 뭔가요ㅡㅡ..그냥 안넘어갑니다. 이러니까 제일은행에 고객이 줄어드는 겁니다.
