userName,score,date,thumbsUpCount,comment
재이,5,2021-09-30,0,글아샤
엄주영,4,2021-09-30,0,개좋음
백지원,5,2021-09-29,0,간편하게 예적금하고 급하게 사용시에도 은행대기시간없이 너무 편하게 사용합니다. 수고하세요. 감사합니다.
양준호,5,2021-09-29,0,아주좋아요
김연근,5,2021-09-29,0,좋아요
박신영,5,2021-09-29,0,감사합니다. 활용도 222%
석현민,5,2021-09-29,0,정말편해요
박보근,1,2021-09-29,0,내가 지금 7일동안 신분증 인증중인디 고객센터고ㅜ뭐고 아무도대책이없다
조영진,5,2021-09-29,0,좋아요
한정란,5,2021-09-28,0,참편리해요
Nick Name,4,2021-09-28,0,오픈뱅킹으로 다른 은행 계좌 추가할 때 약관을 PDF 파일로 다운로드 받으려고 하면 손상된 파일이라고 나옵니다. 이거 좀 빨리 해결해주세요!!
김상구,5,2021-09-28,0,편리하고 투명하게 모임비를 거둘수있어 좋습니다
徐先森,1,2021-09-28,0,외국인이라 안된다네 머꼬?
Jong.goyu Song,5,2021-09-28,0,사용자편리
이형열,5,2021-09-27,1,계좌 송금 시 수수료 없어 정말 좋아요..
dualwield D,5,2021-09-27,0,편함
심준보,1,2021-09-26,0,나락나락라락나락
배병채,5,2021-09-26,0,모든금융기관과 연계가능해서 편하다
강다빈,5,2021-09-26,0,절차 오류 진짜 욕 나오게 만드네요
김종진,5,2021-09-26,0,조아요~^^
노빠꾸,5,2021-09-25,0,편리하기는하나 불편한것도있음.
장구라,5,2021-09-25,0,돈장난치기 좋음
뉴스킨_혜인사장,4,2021-09-24,0,Good
샤샤닝YouTube,5,2021-09-24,0,굿
안녕,5,2021-09-24,6,편함 수수료도없고 카톡친구면 보내기도쉽고 받기도 쉽고 atm기도 상관없이 충전다 잘되고 근데 연결하는거에 카뱅없으면 조금 당황할듯 신한에 연결하세용
나나나,4,2021-09-24,30,"모임 통장 너무 좋아요! 잘 쓰고 있는데 모임 통장 기능이 있으니 회비 알림 설정도 있었으면 좋겠어요. 매달 1일, 이런 식으로 알림이 모임 톡방이나 카뱅 알림으로 뜨면 더 편할 것 같아요"
김민수,5,2021-09-24,0,별로군요!
똑밤이맘,5,2021-09-24,0,너무 편하게 잘쓰고있어요^^
K JY,2,2021-09-24,6,기기변경하고 신분증 촬영후 잘쓰다가 어제 저녁에 갑작이 신분증 재확인으로 인한 거래제한 걸렸는데 빨리 확인해부탁드립니다. 돈 카뱅에 다 들어있는데 쓰지도 못하고 돈 옮기지도못하고 ㅡㅡ
시금치,1,2021-09-23,4,메갈기업 카뱅 불매 드가자 전부 탈퇴 완료
리호춘,5,2021-09-23,0,너무잘만든것같습니다
근태문,5,2021-09-23,0,"저축하는 습관,목돈마련가능"
윙제로,5,2021-09-23,0,좋음
건호신,5,2021-09-23,0,수수료 면제 및 다양한 기능이 만족스러운 앱.
꼬우면니나잘하셈,1,2021-09-23,0,친구랑같은계정사용해도돼냐요?
Yongho Kim,1,2021-09-22,0,기기변경이 불편합니다
윤기열,5,2021-09-22,0,카카 뱅크 빨리 잘돼는거 같아서 좋아요
Jasmine A,1,2021-09-22,0,카뱅mini 입금한도좀 없애주세요..
시닌뚜니,5,2021-09-22,0,전좋아요젛아요
황혜선,3,2021-09-22,1,대출빼고 사용하기원할하긴한데 이체결과반영이 즉시되지않아 안된줄알고 중복이체하는경우도잇긴하나 그건 내네트웍탓일수도잇으니뭐패스하고 이정도면 타사들앱에비해 사용하기편하다고감히말하고싶다
몽이빨,1,2021-09-22,0,광고만 나오고 보안안좋음
박재호,5,2021-09-22,0,너무 너무 간편하면서 펼리해 좋아요?
김푸름,5,2021-09-21,0,좋아용
채병도,5,2021-09-21,0,좋아요.
10 2,2,2021-09-20,0,군인인데 px에서 사용 못하나요..?
주재범,5,2021-09-20,0,검은사막의모바일 15억8500달러 카카오뱅크
McArtur Kim,1,2021-09-20,0,해외송금WU 환율 너무비쌉니다 다른어플 비해 여기에 제일비싸구요. 환율 우대 하세요
최준길,5,2021-09-20,0,아주편리하고 좋아요
GD P,4,2021-09-19,0,수수료도 없고 편해요 ㅋㅋ 이래서 카카오가 독점하는건가요.. 이거만 쓰네요
원유희,5,2021-09-19,0,저금통과 26주 적금 이용하고 있는데 도움이 되어서 좋아요
최명동,2,2021-09-18,0,ㅇ9ㆍ륻
박혁준,1,2021-09-18,0,고객 센터가 일을 안해요
하늘바람,5,2021-09-18,0,편하구 좋아요.
김형길,5,2021-09-18,0,쓰기정말 편함
정애자,5,2021-09-18,0,카톡우ㅔㅂ을열고사용이ㅂ견의성탁율
문호준,5,2021-09-17,0,간단해서 좋아요
박종덕,1,2021-09-17,22,처음부터 계좌 비밀번호 오류라고 뜨던지 기타오류라고 표시해놓고 하루지나서 시도하니까 비밀번호 오류 한번 발생하고 5회 오류라고 ㅡㅡa 보안땀시 전면부 카메라 가리고 사용중인데 본인확인이라니 ㅡㅡa 심지어 비번도 틀린것도 아니네 ㅋㅋㅋㅋㅋㅋㅋ 진짜 할말이 읍다 체크카드 만들고 명절이라서 처음으로 돈뽑는건데 거지같아서 내년에 예금 만기되면 옮겨주마
M SILVER,1,2021-09-17,0,진짜 그지같은데 대체 왜 켜지지도않아요??
하루,3,2021-09-17,0,네트워크 연결할수없음 해결방법 뭔가요?
Zay Lee,1,2021-09-17,0,느려터진 앱
혜가,1,2021-09-17,0,네트워크 왜 이래 돈좀 보내자 뭐하냐ㅡㅡ
romt p,1,2021-09-17,0,아주ㄱㅐ판이구만
DH Lee,1,2021-09-17,0,네트워크 연결 왜이럼
Serena Jang,1,2021-09-17,1,로그인 네크워크 오류로 인해 사용을 못하고있습니다.
ᄋᄉᄋ,1,2021-09-17,0,민증인증 더럽게안되네요 짜증나요
Victoria,1,2021-09-17,0,로그인 오류가 너무 잦아요
권정은,5,2021-09-17,1,편리하고 이율도 좋은편예요
최선희,5,2021-09-16,0,"카카오mini 엄청 잘 쓰고 있습니다. 학생인데, 용돈카드로 쓰기 좋아요!"
김소영,5,2021-09-16,0,뭐 불편한게 없음
로그인영희의 영상,5,2021-09-16,0,편리함
김성우,5,2021-09-16,0,묻지도 따지지도 않겠습니다 최곱니다
Se-il Kim,3,2021-09-16,8,폴드3 에서 신분증 인식이 안됩니다. 자동으로 인식이 안될거면 촬영버튼이라도 만들어주세요. 인식이 안되니 아예 사용할 수가 없습니다. 앱은 10번이상 삭제했다 재설치해봤습니다.
전기,1,2021-09-16,0,쓰레기은행
지승근,5,2021-09-16,0,굿
송영민,5,2021-09-16,0,"넘 편하고좋은듯, 금융혁신!"
수인조,1,2021-09-15,0,신분증 인증좀 고치던지 해라 뭔 찍히면 똑바로찍히지도 않고 하루종일 카메라만 들이대고있네
Jihye UM,5,2021-09-15,0,이체가 너무편하고 수수료 10회 무료가. 너무좋음
송기태,5,2021-09-15,0,아주유용하게사용중
김정호,5,2021-09-15,0,사용용 편의성이 너무 좋습니다
짜이탄,5,2021-09-15,0,안녕하세요
나이스,1,2021-09-14,0,카카오뱅크는 금산분리 특혜로 크는 양아치기업 더럽고 쓰레기 악질 중국자본
Sangku Kim,4,2021-09-14,0,쉽고 편하게 사용하고 보너스도 받는 시스템이 무척 좋아요.
김hs,1,2021-09-14,0,신분증 재촬영 요구후에 앱 사용안돼요
김명수,5,2021-09-14,0,편해요
벨라,5,2021-09-14,0,편하고 빠르고 만족스럽습니다
윤석환,3,2021-09-14,0,좋네요
권혜림,5,2021-09-14,0,카카오뱅크짱
김나현,1,2021-09-14,15,계좌만들 때 뒤로가기 좀 만드세요 개빡쳐서 진짜 ; 통화인증말고 계좌 인증하고 싶은데 뒤로가기가 없어서 똑같은짓만 30분 하다가 앱지웁니다.
a a,1,2021-09-14,1,어느날 이체할려고하니 일시적인 오류라며 1일째 이체가 안되네요
Kir By,1,2021-09-14,0,본인확인을 계속 똑같이 적었는데도 ㅎ본인확인정보를 확인하라네여 ㅋㅋㅋ
1ilililil,1,2021-09-13,0,멀정하게 살아있는 사람을 죽은 사람으로 만드네
풍랑,1,2021-09-13,86,"이놈의 어플은 툭하면 네트워크 연결할수 없다고 작동을 안하네.. 데이터,와이파이 다 정상적으로 연결 되있구만 왜 혼자 연결할수 없다고 하는지...지웠다 깔면 또 정상적으로 되다가 몇일지나면 안되고 ㅡㅡ 하..."
신용열,5,2021-09-13,0,매우 만족...
YN Lee,5,2021-09-13,0,카뱅만큼편한게없지
mutter mutter,1,2021-09-13,0,신분증인증 정말 잘되네요ㅎㅎ 다시 촬영하라는데 버튼은 갓다 버렷나요?
유용규,5,2021-09-13,0,좋아요
그린비,5,2021-09-12,0,사용하기 편하고 이체와 타행 입출금시 넘 좋아요
유금자,5,2021-09-12,0,학교에서 돌아온 지 3시간 친구힘 하고 있어요 선생님 이주현 아기충주시집아기사랑선생님늘하이주 서울 아파트 선생님 말씀 김주현 선생님 말씀 감사합니다 안녕하세요 이웃님들 오늘은 정 전 서울 아파트 전세 월세 64보증금 월세 보증금 월세 소득공제 혜택을 본 포스팅은 아래 링크 클릭 클릭 해주세요 저는 이렇게 공부해야 하는 3
라이더K,5,2021-09-12,2,간편하고 편안하고 좋습니다.. 5년동안 잘 사용하고있네요. 최고의 카뱅은행 최고입니다 👍
박명희,5,2021-09-12,0,너무 편하고 좋아요~~
Sang­min Lee,1,2021-09-12,0,통장 재활성화하기가 어려움. 대포통장화 할 가능성 농후함. 핸드폰 인증 또는 공인인증으로 활성 불가. 더럽다. 잔액 너 다가져가 ㅠ.ㅠ
이용복,1,2021-09-12,0,홈페이지가 않 되는가?
선선숙희,1,2021-09-12,0,다운이 안돼요
이진범,1,2021-09-12,0,음 주민등록번호가 다르다는건 뭔 개소리지.
hellkoogle gota,1,2021-09-11,0,무슨 멀쩡한 폰을 usim등록이 안되어있다고 진행이 안되게 만들어놨는지 참..
Jin K,1,2021-09-11,102,"기기변경하고 새로 앱 들어가는데 본인인증 무한반복입니다. 고객센터 영상통화 연결해서 비밀번호는 바꿨으나 계좌에 연결되지 않고 본인인증 무한반복, 신분증 사진 서른 번도 더 찍었음. 앱도 지웠다 새로 깔아도 계속 같은 현상입니다."
오상민,5,2021-09-11,0,좋아요
윤요한,3,2021-09-10,21,잘사용하고있습니다이자관계는어떻게되는지궁금합니다. 사용잘하고있는데한가지단점은전화통화가어렵습니다.오늘도몇십분시도하다포기했습니다.
로엔,1,2021-09-10,0,편의성 좋았는데 대출금리시중보다 높아 ㅡㅡ안써야지
한만현,3,2021-09-10,0,감사
mr.씨야,5,2021-09-10,0,멋짐
신경호,5,2021-09-10,0,만족
Cherish J,1,2021-09-10,0,불편함
권성현,4,2021-09-10,0,이체 한도제한 빨리 풀어 주시오
jaewon sung,5,2021-09-10,0,굳
박성철,5,2021-09-10,0,좋아요
김경석,5,2021-09-09,0,카카오뱅크 정말 굿입니다
hello milena,1,2021-09-09,9,"이런같잖은 은행첨본다 은행이 실명확인증표로 여권이나 임시주민등록증도안되고 증권사연계계좌는 개설쉽게해놓고 몇일뒤에 거래제한 하는 악덕기업, 소비자입장에는전혀생각안하는 너네가 은행이냐ㅡㅡ 최악"
오민혁,1,2021-09-09,0,카드가 배송오는데 배달아저씨가 화냄
조민제,3,2021-09-09,0,기능 자체는 매우 좋지만 부모님 명의의 핸드폰이라서 만14세여도 mini가 계설이 안되네요
박기영,1,2021-09-09,0,아니 왜 업데이트 가 않되니?
정하엽,1,2021-09-09,6,전세대출하는데 서류는 제출되지도 않고 필요한 서류를 제출했더니 추가 서류만 산더미고 무슨 사람 가지고 훈련 시킵니까? 없는 서류 만들어서 낼까요? 발급할 수 없는 서류를 계속 요구하지 말고 차라리 대출을 받지 말라고 하던가 시스템도 맘에 안드는데 사람 기분 망치는데는 도가 텄네요 진짜 ㅋㅋㅋ
양*봉,5,2021-09-09,0,유용함
매수맥점최고,5,2021-09-09,0,좋아 편해요
반짝반짝,5,2021-09-09,2,저는 만족하고 씁니다 수수료면제 편리한 입출금 앱푸시까지^^
정민국,5,2021-09-09,0,가입하기가 쉽고 입출금이 자유로워서 강추 합니다.
Yun-jeong Lim,5,2021-09-09,9,모임통장기능 좋음. 모임통장에 누군가 회비입금을하면 모임통장에 가입된 모든인원에게 푸쉬알람이 오면 좋겠습니다.
이용민,5,2021-09-09,0,편해요.
HJ L,5,2021-09-09,0,다 좋은데 미니카드도 저금통이나 세이프박스같은 저금기능이 필요합니다ㅠ
뽈락,1,2021-09-09,0,문어발 기업은 퇴출되어야 함. 삼성보다 나쯘 기업
Chris Lee,5,2021-09-08,0,편리하고 정확합니다.
승현,5,2021-09-08,0,카카오뱅크 짱짱
정규재,1,2021-09-08,0,기기변경후에 계속 똑같이 문의하라는 창만 뜨고 전혀 진행이 안되네요... 토스로 갈아탈게요 수고하세요..
강호장,5,2021-09-08,0,편해요
youseung zo,1,2021-09-08,0,전문변환중 오류발생
인큐베이터,1,2021-09-08,0,카카오톡으로 개설했기에 연결할려고 보니깐 안되더라구요. 설명서대로 로그인전에 이미개설 버튼누르고 하는데도 안나오고....게설하기 눌르니 이미 잇다고 안되고.... 어쩌란 거지?
전동숙,5,2021-09-08,1,간편하다고 많이 들었음 자주 이용해볼려고합니다 친구들에게도 귄해봐야할것같습니다
ᄋᄋ,1,2021-09-08,0,뭔짓을해도 신분증 촬영을 전혀 못하네요 그냥 포기합니다
이우재,5,2021-09-08,0,매우 유용한 앱입니다
jimin park,1,2021-09-08,0,업데이트가 계속 안됩니다
안운근,4,2021-09-08,0,좋아요
쵸쵸쵸,5,2021-09-08,0,잘 쓰고 있어요. 이게 제일 편해요. 감사합니다.
우규택,5,2021-09-08,0,감사합니다
지구여행,5,2021-09-08,1,카뱅은 어떤 은행을 거래하든 수수료도 없고 편리해서 정말 좋아요
oceangipsy,3,2021-09-07,89,"사용 횟수가 별로 없어 일단 별은 3개 주는데.. 어이 없는게 계좌 개설에서 신분증 인증.. 타 은행 앱에 비해 한 번에 되길래 오~ 이것봐라.. 하고 감탄하고 이것 저것 다 설정해놓고 나서, 카뱅을 어떻게 이용할까 이런 저런 생각도 많이 했는데 다음날 신분증 사진에 문제가 있다며 앱 사용금지~ 재 전송 요구에 보내긴 했는데 찜찜함과, 타 은행 앱처럼 처음 인증 단계에서 재 촬영을 요구하던가.. 이건 뭐 줬다 뺐는것도 아니고.. 첫 인상이 별로라 그다지 사용하지 않을 듯 하지만.. 재전송 했으니 결과나 기다려 봐야겠네요.. 결론- 처음 신분증 요구시 맘에 안들면 안든다.. 다시 찍어서 보내달라 하세요~ 인증 잘 된것처럼 이것 저것 만지게 해놓고 하루만에 신분증 사진 문제삼아 갑자기 앱 맘데로 걸어잠그면 어쩌자는 겁니까?"
김순록,5,2021-09-07,0,쪼아요 ㅎㅎ 편리하고
김태정,1,2021-09-07,0,업데이트 안됨
심상윤,4,2021-09-07,0,넘 편하게 쓰고 있어요
김혜련,5,2021-09-07,2,"기기변경 오류 무한 반복. 고객센터에서 알려준대로 핸드폰 잠금 설정 pin으로 설정했는데도 계속 인증하라고 뜹니다. 일부 핸드폰에서 
그런것 같은데 언능 개선 되길 바람. 앱 켤때마다 문자로 인증번호 받고 주민등록증 찍어야하니 일반 은행어플보다 더 불편해서 못쓰겠네요. 
이거 쓰려고 핸드폰을 바꿀순 없으니.."
Jieun Lee,1,2021-09-07,0,atm 무카드출금 인증번호 오류 때문에 1시간 동안 길바닥에서 고생만 했네요... 결국 네이버 검색해보니까 저같은 경우들 많았던 것 같은데 왜 아직도 수정이 안된건지; 그냥 넣어둔 돈 출금해서 시중은행 쓰려구요
허윤정,1,2021-09-07,50,휴대폰 기기를 변경했는데 명의도 변경돼서 로그인방법 고객센터 문의하니 방법이 없다네요..기존 계좌는 어떻게 하냐니 사용못한다고..해지는 안되냐니..해지도 안된다고 하네요..고객센터에서 서류확인 후 안되냐니 안된다네요..사용못한다고만 하고 황당하네요~
lee youngju,4,2021-09-07,0,잘 사용하고 있어요
류주혜,1,2021-09-07,0,ksb
윤성만,1,2021-09-07,0,처음에 낮은 이율로 마이너스통장 만들게하고 1년만에 다른은행보다 이율 더 높임
이의현,1,2021-09-07,0,최악 별하나가 아까움.. 이게 뱅크인지 광고판인지 모르겠는 어플
김예은,1,2021-09-07,0,욕도아까움 ㅋㅋㅋㅋ 여러분 이딴거 쓸바엔 토스나 다른 은행 어플쓰세요
김승태,5,2021-09-07,0,조아요
ᄒᄒ,5,2021-09-07,0,이만한게있을까
ht Lee,5,2021-09-06,0,굿
박진형,5,2021-09-06,0,아주 편리해요^^
윤원식,5,2021-09-06,0,편리하게 부탁드려요
