userName,score,date,thumbsUpCount,comment
머머머,1,2021-09-30,1,"중간로고 K에서 M으로 바꾸라고 결정한 사람은 진짜 뚝배기 두번 깨야한다 생각함 누가봐도 K가 K뱅크 라는걸 직관적으로 나타내고 좋은데 메이크 머니는 무슨 ㅡㅡ K뱅크 이용자들도 K가 더 낫다고 하고 타 은행 이용자들이 K뱅크 쓰는 사람한테 입금할때도 안그래도 k뱅크를 잘 모르는데 로고가 K가 아닌 M 글자로 되어 있어서 한참 찾게됨 사용자에 대한 배려가 1도 없는 디자인과 실용성, 심미성도 1도 없는 디자인"
심재욱,1,2021-09-29,0,아예 케이뱅크가 다운로드가 되지 안 되며 안에 들어갔는데 국내 유심이아니라고 하면서 가입거부를 했습니다. 이건 차별아닌가요?
Seunghae Lee,3,2021-09-29,1,계좌 만든 이후 쭉 잘 쓰고 있는데...이번 브랜드 리뉴얼만큼은 이해가 안가서 리뷰남깁니다. 이거 진짜 케이뱅크맞죠? M을 로고로 만드는게 정말 맞다고 생각한건지...인터넷에서 고객들 반응은 보고 계시는거죠? 실제 은행지점 없는 인터넷 기반 은행인데 이런 리뉴얼은 눈에 잘 들어오지도 않고 공식앱이 맞는지 의심까지 하게 만드는 마이너스적인 행보라고 생각합니다. 진짜 무슨 모르는 사이에 이상한 어플이라도 깔린 줄알았습니다. 케이와 엠이 대체 무슨 관련이 있다고...'K'뱅크가 'M'을 로고로 합니까?
전민호,5,2021-09-29,0,좋아요
우주쿤,1,2021-09-29,1,로고 색 바꿔주세요...
SG Yang,1,2021-09-29,1,m케이뱅크가 뭐임... m하니까 현대카드만 생각남. 이전께 더 나음. 앱 아이콘 색도 구림..
하이맘,1,2021-09-29,1,못알아보겠다 저표시가k뱅크인지
김현이,4,2021-09-28,0,잘쓰고있긴 하나 플러스박스에 더하기하는 금액이 만원단위라서 50만원만 되더라도 몇번을 더 눌러야하는지..그전이 더 나은것같네요 카뱅 세이프박스처럼 금액을 직접 기입하는게 더편해요 그리고 그전 케이뱅크 로고? 가 더 눈에 띄어요
dd mm,1,2021-09-27,2,업데이트 이후 어플로고 너무 이상하고..입출금 알림도 바로바로 안오고 한번에 밀려서 오고..다른은행은 잘오는데 케이뱅크만 안되는거보니 문제가 많은데 문의메일보내도 다아는내용 하라는데로 해도 해결이 안되요
정민,1,2021-09-27,1,"해외 결제취소가 평소엔 100원 이하의 금액이 차이났는데요, 갑자기 7천원 넘게나가서 문의를 넣었지만, 무작정 환율변동 때문이라고 설명하는 답변을 받았습니다. 취소 처리기간동안 환율변동이 거의 없었고, 이전에 있던 환율변동폭과 비교하면 오히려 적은편이었습니다. 막무가내로 대응하는 케이뱅크 다신 안씁니다."
고정훈,1,2021-09-27,0,첫화면이 안 열려요
C ry,1,2021-09-27,2,로고바뀌고서부터 푸시알림이 안 됨. 토스은행 생기면 바로 갈아타야지....
Coala Cho,1,2021-09-27,0,입출금 알림이 몰아서 오는데 이럴거면 알림기능 빼버리시죠. 새로운 도약을 한답시고 이상한 CI로 바꾸든 말든 상관안하는데 기본적인 기능은 똑바로 해야지 퇴보하면서 도약을 어떻게 하겠습니까?
Hello Doggy,4,2021-09-27,2,요즘들어서 체크카드 사용내역 알림이 바로바로 안 오네요. 사용 즉시 제깍 알림이 왔으면 좋겠어요.
숑이S2,1,2021-09-27,1,충전기를 꽂을때만 앱일림이 뜨네염...뭔짓을한겁니까..잣같네염 ㅎ0ㅎ
소원,1,2021-09-26,3,정말 불편하게도 만들어 놓고 쓰라하네
전우재,3,2021-09-26,3,로고 원래대로 돌려줘요 이전 로고가 훨씬 낫습니다
정승헌,1,2021-09-26,0,앱이 안열려요. 안내 메세지에 1522-1000에 전화 하라고 해서 했는데 평일에 전화 하라고네요. 주말에는 어쩌라는건지. 앱을 제대로 만드시던가....
Jay Day,3,2021-09-26,2,업데이트 부탁드립니다. 업데이트 이후로 출금 내용이 지연 알림 되는데 이거 때문에 가계부 어플 사용에 문제가 생기네요... ㅠ 바로 알림 될수 있도록 신속한 업데이트 부탁드립니다. 케이뱅크 채크카드 잘 쓰고 있어요.
꼬께탕,1,2021-09-26,5,거래관련 알림이 기본적으로 뜨지 않고 앱을 켜야지 밀렸던 알림이 다 뜹니다. 혹시 절전상태나 백그라운드 작동 제한이 걸려있나 했는데 그건 또 아니네요.
Huiyoung Kim,4,2021-09-26,1,어플에 들어갔을때만 알림이 몰아서 와요..
송현,1,2021-09-26,3,간만에 접속했는데 한동안 삭제한줄 알고 잠깐 헤맸음. 왜 ci를 이렇게 바꾼거지... 시인성도 안좋고 은행명이 바뀐줄 알고 기사검색까지 했음 디자인 진짜 이상함. 이쁘게라도 하던가 색배색은 진짜ㅋㅋ 디자인 의뢰할 돈 아끼고 직원공모해서 한건지 ㅋㅋ
크림,3,2021-09-26,0,잘쓰고있었는드 업데이트한순간부터 결제내역 팝업이 안떠요.. 매번 어플들어와야하니 넘 번거롭네요 버그확인좀해주세요. 갤럭시플립3입니다.
sang hyeon lee,5,2021-09-26,0,편리함
이정우,2,2021-09-25,1,입출금알림이 업데이트 이후로 앱에 들어가야만 뜨네요
최유민,1,2021-09-25,1,휴대폰 OTP도 작동 안되고 입출금 알람도 안오네요
더블비얀코,2,2021-09-25,1,입출금 알림이 너무 안와요....
황성제,5,2021-09-25,0,따봉
ABC,1,2021-09-25,15,1.어플 색이 바뀌어서 케이뱅크 어플 어디있나 찾게됨 2. 비밀번호 누를때 자꾸 간편번호 등록화면으로 넘어감 3. 계좌번호 입력하는 화면에서 붙여넣기로 넣으려고 하는데 입력창이 키보드에 가려서 보이지도 않음 이체 한번하려고하는데 다른어플들은 한번에 할 과정도 두세번씩 왔다갔다해야됨
rude Derek,1,2021-09-25,2,요즘 입출금 알람이 왜 실시간으로 안뜨죠?
또롱,1,2021-09-25,1,신분증 인식도 안되고 겨우했더니 자꾸 다시하라하고 짜증나네
헤이요,1,2021-09-25,2,주변에서 카뱅써도 꾸역꾸역 케이뱅크 썼는데...케이뱅크라고하면 알지도못해서 이체할때 한참찾는데 로고를 저렇게 바꿔버리면 어쩌자는건지!!사용자들이 불만이 많으면 수용하고 다시 고칠생각을 해야죠~!무슨 답변 붙여넣기중인지!! 이러니 절대 카카오뱅크를 이길수가없지!!그리고 입금알림도 왜이리 늦게오냐구요!! 개선이 안되면 결국 카카오이용하는수밖에...
더블쓰리,1,2021-09-25,2,아니 불편하게 케이뱅크인데 로고가 M자로 바뀐거죠??알림도 엠자로 오니 이상하네요! 안그래도 사람들 케이뱅크 잘모르던데...다시 K로 바꿔요!!얼마전부터 입금 알림도 안와요!!
이명철,5,2021-09-25,0,좋아요!
