userName,score,date,thumbsUpCount,comment
대한민국,5,2021-09-29,0,써봐
태상,5,2021-09-29,0,굿
안명헌,5,2021-09-29,0,너무너무 쉽네요
안산CMK,5,2021-09-29,0,쓰기편해요
심심,5,2021-09-28,0,좋아요
김민주,5,2021-09-28,0,좋아요
최영민,5,2021-09-27,0,친절합니다.
김미영,5,2021-09-27,0,유용하고 스마트하네요
강미영,5,2021-09-27,0,불편한건 없네요
홍옥숙,2,2021-09-27,0,"속도가 너무 느려요. 점 세 개 팔딱거리며 시간 끄는데 속 천불나요. 오픈뱅킹, 주식거래까지 한 큐에 할 수 있는 건 좋은데 속도 땜에 암 걸릴 듯."
신원겸,5,2021-09-27,0,편하고 좋습니다
이철,5,2021-09-27,0,좋음
연예림,2,2021-09-26,0,"... 똥개훈련인가..요? 모바일 otp신청하고 신청확인하라고해서 했더니 정보가 맞지 않는다고 안돼고 정보수정하고 했는데도 똑같네요 그래서 그냥 모바일 otp재발급했는데 이번에는 신분증 인증이 문제를 일으키네요? 발급날짜, 이름, 주민번호까지 똑같고 흔들림,번짐,반사도 없는데 자꾸 다시하라고해요.. 참고로 저는 갤럭시 10s 5g쓰고 있어요"
xiao w,5,2021-09-26,0,좋아요
Young Kim,4,2021-09-25,0,굿
달빛바람,4,2021-09-25,0,다 괜찮은데 왜' 종료시겠습니까' 에서 '예' 누르면 대출상담코너로 넘어가는지 궁금합니다만..?
김빙고,2,2021-09-25,2,몇 달 전 얼굴 인식할 때 화면에 하얀 반투명 필터가 자동으로 깔려있게 업데이트 된 뒤로 얼굴 인식이 먹통이에요. 마스크를 벗고 인증해도 얼굴 인식이 안 되어서 비밀번호를 쳐서 써야하네요. 차라리 얼굴 인식을 없애고 간편 비밀번호만 남기는게 편하겠어요... 얼굴 인식을 없애고 비밀번호로만 거래하게 설정할 수 없나요???
DAVID PARK,5,2021-09-25,0,그냥그냥 쓸만해요
정예진,5,2021-09-24,11,"안녕하세요. 현재 조회만 가능하도록 가입해 쓰기 편하고 좋은 앱인데 딱 하나의 문제점은 계좌이체도 가능하게 가입하려 할 시 4단계에서 신분증 사진이 찍히지 않습니다. 학생인지라 여권 촬영으로 대신하고자 하는데 어떻게 된 일인지 가이드에 맞추고, 빛 반사 없이 주변을 어둡게 하여 내용이 잘 보임에도 불구하고 촬영 다음으로 넘어가지를 못합니다. 해결 방법이 있을까요?"
심선화,5,2021-09-24,0,신규적금가입이 엄청빨리 진행완료 됐어요 간편하고 빨라요
박지연,5,2021-09-24,0,편리해요
송명일,2,2021-09-24,0,하나은행 얼굴인증 잘 이용하고 있습니다 그런데 사진촬영이미지도 인증이 넘어가던데 안되어야 되는거 아닌가요? 혹시 다른것도 인증되는거 아닌지요.
Jonggook Kim,5,2021-09-24,0,좋습니다 많이 쓰세요~~~
busaeng kim,5,2021-09-24,0,편하네요
Marlowe,1,2021-09-24,0,"하나은행. 하나카드. 하나멤버스. 허나원큐페이....ㅋㅋㅋ 하나만 해라! 그리고 '간편', '스마트'... 이런 말도 빼고..... 욕 하고 싶지만, ....으로 참는다. 영업점. 창구직원 줄였으면, 홈페이지. 어플. ARS 서비스라도 제대로 해야 하지 않겠니? 툭하면, 보안프로그램 깔라고 하고, 몇 번을 깔아도 로그인 누르면 다시 프로그램 까는 화면느로 무한루프... 아이디.비번은 맞게 넣어도 틀리다고 해서, 전화로 인증번호 받아 재설정 하고.... 고객이 개.돼지로 보이니? 아니지, 개.돼지면 먹여주지 재워주지 돈을 빼았지도 않지.... 니들만 그런게 아니라 대한민국 보험.금융계들은 다 똑같으니.... 이래서 보험.증권.금융시장을 완전히 개방해야 하는 건 데...."
박박명서,5,2021-09-24,0,은행에서 추천상품 편리해서 좋아요
성기찬,2,2021-09-24,0,버그가 너무 많아요 멥이 잘열리지 않아요
Kyonghan Kim,5,2021-09-24,0,간편하고 좋네요 ~!
김원호,5,2021-09-24,0,빛이 어둠을 몰아 냄니다
Chan-Su Shin,2,2021-09-23,0,간편비밀번호 등록하려고 하면 재시작하라고 해서 다시 로그인하면 같은 작업을 반복하라고 하네요. 지문등록도 마찬가지입니다.
송종호,3,2021-09-23,0,사용하는게 국민은행보다 늦고 다운이 잘되서 불편하네요.
ᅳᅳ,5,2021-09-23,0,"오픈뱅킹탈퇴 말구요, 어플 자체를 탈퇴하려면 어떻게 해야되나요"
이상성,4,2021-09-23,0,생체인식에서 활성화가 다소늦으나 사용하기 수월함
나만고양이없어,2,2021-09-23,0,하나원큐 가입할때 간편비밀번호 두번입력후 안넘어가요
킹코더,1,2021-09-23,0,돈 급하게빼야되는데 로그인이안됩니다.
김혜림,1,2021-09-23,0,거래불가..
이다비,5,2021-09-23,0,쉽고 좋아요
보라김,1,2021-09-23,0,아니 꼭 하나은행 계좌를 만들어야 로그인되는 건가요?가뜩이나 기존 통장이 많아서 정리해야하는 상황인데..꼭 은행입장에서만 생각해서한 업데이트네요😡
배형욱,3,2021-09-23,0,IRP 해지가 안되네요. 시간대가 있나요?
김상휘,5,2021-09-22,0,최고예요
현세,1,2021-09-22,0,개 쓰래기앱 신분증인식 졸라못함 신분증담당하는직원 24시간운영시키든지 신분증인식도못하면서 비대면계좌개설은어케함?
김유미,2,2021-09-22,0,다른 은행 어플보다 로딩도길고 죄회하령 너무 버벅되고 답답해 미치겠어요 개선좀해주세요
채병도,5,2021-09-21,0,좋아요.
용융융,5,2021-09-21,0,주로 쓰는 은행어플이에요 편리하고 좋아용
sc son,1,2021-09-20,1,앱종료시 계속 오류가 뜨면서 정상적으로 종료가 안됩니다
홍수민,1,2021-09-19,0,진짜 짜증난다 왜 앱을 바꿨는지 모르겠네
Villiv Villiv,1,2021-09-19,0,앱이너무무거움
최진일,3,2021-09-19,0,편해요
김아현,5,2021-09-18,0,굿
원호최,1,2021-09-18,11,어제 초기화 시켜는데 또 튕기네요. 다른 타 은행 앱 들어갔다 나오면 이런 일이 생기네요. 문제 많아요. 간편비밀번호는 괜찮은데요. 인증서 로그인만 하면 앱충돌이 심하네요. 제대로 된 업데이트를 부탁드립니다. 안 그래도 주거래 은행인데 이런일이 자주 발생하는 거는 너무 심하네요.
류태환,1,2021-09-18,0,아니 들어가지게나 만둘어야지 이건또 뭐하자는 거여
박건우,5,2021-09-17,0,좋아요~~~~~
king best,5,2021-09-17,0,좋아요
소이Soyi,5,2021-09-16,0,편리하고 좋아요
Key Board,3,2021-09-16,1,사용하다보면 무한로딩이 심하게 걸리는 때가 종종 보이네요. 저번에도 어떤부분에서 한번걸리고 오늘은 로그인할때 걸리고.. 반복적으로
Dong Joon Lee,5,2021-09-16,0,좋아요
마진,5,2021-09-16,0,사용하기 편합니다.
이무헌,5,2021-09-15,0,조아요
김현욱,4,2021-09-15,0,태블릿에서도 사용 가능하도록 가로모드 기능을 넣어주셨으면 합니다.
창조,5,2021-09-15,0,아주 좋습니다 즉시 적금통장개설
권명진,5,2021-09-15,0,간편해짐
이호빈,5,2021-09-15,0,좋아요~~~!편해요~~!
김종철,5,2021-09-15,0,굿
chatterbox denny,5,2021-09-15,0,깔끔
정제변정제,4,2021-09-15,0,좋아요^^
기정간,4,2021-09-14,0,좋습니다.
박경미,5,2021-09-14,0,타은행에 비해 메뉴가 용이하고 간편함
namju so,1,2021-09-14,0,갑자기 어플 실행자체가 안돼요
보카,1,2021-09-14,9,앱이 왜이리 불편해 졌나요? 초기 로그인시 공동인증서 한번 선택하면 다음에는 자동으로 되어야 안됩니까? 매번 간편인증 등록 화면이 뜨네요 억지로 등록하라는거 같은데 안끌려면 어떻게 해야됩니까?
신민호,5,2021-09-14,0,좋네요
甫曔,2,2021-09-14,0,갑자기 왜 안열리네요 업데이트 해서인지 열리다 꺼져버림요
옥승진,5,2021-09-14,0,편리하고 좋아요~
신현익,4,2021-09-14,0,빠릅니다
김정란,3,2021-09-14,1,며칠전부터 얼굴인증이 전혀 안되고 있습니다. 뭐가 잘못된걸까요?
송은하,4,2021-09-13,0,계좌거래 푸시알림이 안와요. 계좌설정 믿ㅈ 어플설정 다하고 했습니다만.
Duke Kim,1,2021-09-13,0,아니 업데이 후 얼굴인증을 못하는데 이거 왜그런거어요?
만두좋아,5,2021-09-13,0,편해요
이선주,5,2021-09-12,0,은행방문없이 모바일로 다 처리되어 요즘같은 시국에 참 유용합니다
이중인격자,5,2021-09-11,0,대단히편하고좋으네요
gudk h,1,2021-09-11,0,와.. 뭐죠? 업데이트 후 원시시대 앱인줄 알앗네요. 왜이렇게 불편해요????? 공인인증서 2개나 뜨는데 타기관 인증하라도 다시뜨는것도 웃기고 .. 이미 예전에 햇는데. 다른 은행 보지도 못하셨나요? 무슨 원시시대 마냥 로그인에 보안카드인증에 공인인증서 인증에 시스템도 개후지네요 진짜 ㅋㅋㅋ한국 돌아가면 하나은행 손절각
곰돌이,1,2021-09-11,0,학생인데 학교에서 만들었는데 이제야 들어가보니 비번이 잘못 설정 되어 있네요이걸 어떡해 해야하나요 은행문제겠죠?..... 문의하는곳이없어 여기에 문의합니다
LOVE ENGLISH MUSICAL,5,2021-09-11,0,(하)나카드 사용하다 알게된 (나)는 금리도 좋은 하나 (저)축은행 이용자입니다😀 (축)하합니다!! 당신도 오늘부터 하나저축은행 이용자!!😃 (은)행은 역시 하!나!저!축!은!행! (행)님도 이제 하나로 오세욤🙂 금리도 좋아요😆
하남규,5,2021-09-11,0,좋아요
까꿍,3,2021-09-11,23,다른 로그인 방식은 잘 되는거 같은데 유독 공동인증 로그인누르면 어플이 중단되면서 자꾸 꺼지는데 왜이러나요? 모든어플 최신업데이트도 하고 구글 캐시/데이터 정리 메모리정리 휴대폰 재부팅 아무리 해도 안됩니다. 이거 어플 문제있는거 아닙니까? 해결좀 해주세요.
김개똥,5,2021-09-10,0,좋네요~~~~
Wan-su Kim,1,2021-09-10,0,별 하나 주는것도 아깝다. 접속오류가 자꾸나면 급하게 은행일 처리하는 입장에서는 거래은행 바꾸고 싶게한다. 오늘만 몇시간째 접속지연...
방구뿡,1,2021-09-10,0,추가이체를 해놓고 잘못선택했을경우 그 항목만 삭제가 안됨 전부다 취소해야됨.. 아주불편함
Taewon Seo,5,2021-09-10,0,은행권에서 제일 스마트한거 같아요!
조남현,5,2021-09-10,0,굿
달떵줌니,5,2021-09-10,0,쓰기가 편하고 좋아요
Mr. HJ,5,2021-09-10,0,앱이 편리하고 좋네요
먛,1,2021-09-10,17,인증서 발급 받으려는데 가입이 안되면 어쩌라는거죠; 오류라고 하길래 어제부터 계속 시도했는데 변하는 게 없네요. 간편비밀번호 설정하라면서 그 다음 단계로 넘어가지도 않고 빨리 좀 고쳐주세요.
조용현,1,2021-09-09,0,로그인이 무슨 모뎀 32k 속도야 겁내느리고 안들어가짐
후라이드반양념반,5,2021-09-09,0,계좌이체시 받는분표기에 자주쓰는문구 저장할 수 있는 기능이 생기면 좋겠습니다 이체 할때마다 직접 타자로 수정해야해서 좀 번거로워용
강호인,5,2021-09-09,0,은행가서 번호표 뽑기다리질않아서 좋아요. 너무 간편합니다.
김태규,5,2021-09-09,0,쉽고간편합니다
안준이,5,2021-09-09,0,젛아요
한도경,5,2021-09-09,0,사용이 편리해서 좋아요
김성호,5,2021-09-08,0,편리합니다
kerowyn blue,5,2021-09-08,0,편리하네요
a7g2et2 de63,1,2021-09-08,0,아니 오픈뱅킹 왤케 안돼요?
박창빈,1,2021-09-08,0,"별점 하나 남기니까 리뷰가 사라져있네요? 비대면 대출 동의가 ARS도 안되고 어플로만 가능해서 강제로 설치를 해야 한다니... 별점 하나 드립니다. 하나은행, 별점 하나"
따또다육,5,2021-09-08,0,편리해서아주좋아요
Carol Chu,2,2021-09-08,0,하나원큐를 앺 다운받아서 할려 했더니 다운이 안되네요. 뭐때문에 .자꾸 설치가 안되는지 답변 부탁드려요ㆍ
