,count,WORD,TAG,reinforcer,score
0,337,하,VV,1,0
1,267,이,VCP,1,0
2,237,앱,NNG,1,0
3,157,사용,NNG,1,0
4,149,있,VV,1,0
5,140,로그인,NNP,1,0
6,134,좋,VA,1,0
7,132,안,MAG,1,0
8,121,안되,VV,1,0
9,118,오류,NNG,1,0
10,105,없,VA,1,0
11,104,어플,NNG,1,0
12,97,되,VX,1,0
13,93,지,VX,1,0
14,92,너무,MAG,1,0
15,90,쓰,VV,1,0
16,89,뜨,VV,1,0
17,89,카드,NNG,1,0
18,88,계속,MAG,1,0
19,85,잘,MAG,1,0
20,82,왜,MAG,1,0
21,79,않,VX,1,0
22,77,업데이트,NNP,1,0
23,77,다시,MAG,1,0
24,72,불편,NNG,1,0
27,71,같,VA,1,0
26,71,주,VX,1,0
25,71,만들,VV,1,0
28,70,안 되,VV,1,0
29,68,은행,NNG,1,0
30,67,느리,VA,1,0
31,66,보,VV,1,0
32,62,후,NNG,1,0
33,60,좀,MAG,1,0
34,57,인증,NNP,1,0
35,57,이렇,VA,1,0
36,57,들어가,VV,1,0
37,54,편리,NNG,1,0
38,54,편하,VA,1,0
39,53,결제,NNG,1,0
40,52,화면,NNG,1,0
41,50,모바일,NNG,1,0
42,50,시티,NNP,1,0
43,46,걸,VV,1,0
44,44,진짜,MAG,1,0
45,44,이체,NNG,1,0
46,41,아니,VV,1,0
47,39,나오,VV,1,0
48,39,이용,NNG,1,0
49,38,간편,XR,1,0
52,36,메뉴,NNP,1,0
50,36,보이,VV,1,0
51,36,때,NNG,1,0
54,35,개선,NNG,1,0
53,35,정말,MAG,1,0
55,34,더,MAG,1,0
56,34,폰,NNG,1,0
57,33,계좌,NNP,1,0
58,33,다,MAG,1,0
59,33,빠르,VA,1,0
60,33,통신,NNG,1,0
61,32,확인,NNG,1,0
62,32,씨티은행,NNP,1,0
64,31,찾,VV,1,0
63,31,게,NNG,1,0
65,30,있,VX,1,0
67,30,누르,VV,1,0
66,30,조회,NNG,1,0
68,29,최악,NNG,1,0
69,29,오,VV,1,0
70,29,번호,NNG,1,0
71,29,보,VX,1,0
72,29,등록,NNG,1,0
73,28,많,VA,1,0
74,28,가요,NNP,1,0
75,27,깔,VV,1,0
78,26,설치,NNG,1,0
76,26,에러,NNG,1,0
77,26,내역,NNG,1,0
80,25,나,VV,1,0
79,25,못하,VX,1,0
81,24,못,MAG,1,0
82,24,거래,NNG,1,0
83,24,로그인,NNG,1,0
84,23,이후,NNG,1,0
85,23,반응,NNG,1,0
86,23,되,VV,1,0
91,22,한눈,NNG,1,0
93,22,전화,NNG,1,0
92,22,카드,NNP,1,0
89,22,비밀,NNG,1,0
90,22,정보,NNG,1,0
88,22,답답,XR,1,0
87,22,지우,VV,1,0
94,21,없이,MAG,1,0
100,20,아주,MAG,1,0
104,20,짜증,NNP,1,0
103,20,인증번호,NNG,1,0
102,20,기능,NNG,1,0
101,20,놓,VX,1,0
96,20,싶,VX,1,0
99,20,로딩,NNP,1,0
97,20,계좌,NNG,1,0
95,20,돈,NNG,1,0
98,20,비번,NNG,1,0
110,19,아이,NNG,1,0
114,19,넘어가,VV,1,0
113,19,그냥,MAG,1,0
112,19,필요,NNG,1,0
111,19,제대로,MAG,1,0
109,19,자꾸,MAG,1,0
108,19,처음,NNG,1,0
107,19,받,VV,1,0
106,19,어떻,VA,1,0
105,19,접속,NNG,1,0
119,18,씨티,NNP,1,0
121,18,안돼,VV,1,0
120,18,이전,NNG,1,0
115,18,속도,NNG,1,0
118,18,어쩌,VV,1,0
117,18,문제,NNG,1,0
116,18,아니,MAG,1,0
122,17,금액,NNG,1,0
123,17,말,VX,1,0
124,17,페이지,NNP,1,0
130,16,전,NNG,1,0
133,16,알리,VV,1,0
132,16,업데이트,NNG,1,0
131,16,고객,NNG,1,0
125,16,입력,NNG,1,0
129,16,웹,NNG,1,0
127,16,갑자기,MAG,1,0
126,16,상태,NNG,1,0
128,16,지금,MAG,1,0
137,15,휴대,NNG,1,0
140,15,인증,NNG,1,0
138,15,열리,VV,1,0
139,15,바꾸,VV,1,0
136,15,부탁,NNG,1,0
135,15,시도,NNG,1,0
134,15,가능,XR,1,0
156,14,삭제,NNG,1,0
155,14,알,VV,1,0
154,14,많이,MAG,1,0
153,14,모르,VV,1,0
152,14,그렇,VA,1,0
151,14,시간,NNG,1,0
149,14,디자인,NNP,1,0
150,14,버리,VX,1,0
147,14,쉽,VA,1,0
148,14,금융,NNG,1,0
145,14,드리,VV,1,0
144,14,들,VV,1,0
143,14,버전,NNP,1,0
142,14,하나,NR,1,0
141,14,이상,NNG,1,0
146,14,쿠폰,NNP,1,0
161,13,진행,NNG,1,0
164,13,포인트,NNG,1,0
163,13,가입,NNG,1,0
162,13,이번,NNG,1,0
160,13,바뀌,VV,1,0
159,13,지문,NNP,1,0
158,13,바로,MAG,1,0
157,13,아,IC,1,0
175,12,버튼,NNP,1,0
184,12,만,NR,1,0
183,12,비하,VV,1,0
182,12,아깝,VA,1,0
181,12,공동 인증서,NNP,1,0
180,12,보내,VV,1,0
179,12,변경,NNG,1,0
178,12,생각,NNG,1,0
177,12,멈추,VV,1,0
176,12,원활,NNG,1,0
171,12,혜택,NNG,1,0
174,12,설정,NNG,1,0
168,12,힘들,VA,1,0
173,12,안드로이드,NNP,1,0
166,12,사람,NNG,1,0
167,12,등록,NNP,1,0
165,12,켜,VV,1,0
169,12,실행,NNG,1,0
170,12,꺼지,VV,1,0
172,12,한국,NNP,1,0
193,11,엄청,MAG,1,0
201,11,예,NNG,1,0
200,11,나서,VV,1,0
199,11,일시,NNG,1,0
198,11,개발자,NNG,1,0
197,11,장애,NNG,1,0
196,11,기존,NNG,1,0
194,11,기다리,VV,1,0
195,11,급하,VA,1,0
192,11,아예,MAG,1,0
188,11,리뷰,NNP,1,0
186,11,해결,NNG,1,0
187,11,쓰레기,NNP,1,0
