,count,WORD,TAG,reinforcer,score
0,810,하,VV,1,0
1,563,좋,VA,1,0
2,529,이,VCP,1,0
3,482,앱,NNG,1,0
4,276,안되,VV,1,0
5,258,있,VV,1,0
6,249,안,MAG,1,0
7,224,되,VX,1,0
8,222,쓰,VV,1,0
9,221,어플,NNG,1,0
10,219,사용,NNG,1,0
11,212,인증,NNP,1,0
12,208,편하,VA,1,0
13,202,왜,MAG,1,0
14,201,은행,NNG,1,0
15,189,없,VA,1,0
16,172,않,VX,1,0
18,171,잘,MAG,1,0
17,171,편리,NNG,1,0
19,164,이체,NNG,1,0
20,164,뜨,VV,1,0
21,160,주,VX,1,0
22,154,지,VX,1,0
23,154,계속,MAG,1,0
24,153,로그인,NNP,1,0
25,152,다시,MAG,1,0
26,143,간편,XR,1,0
27,140,오류,NNG,1,0
28,134,너무,MAG,1,0
29,126,하나,NR,1,0
30,123,때,NNG,1,0
31,117,하나은행,NNG,1,0
32,113,안 되,VV,1,0
33,108,불편,NNG,1,0
34,107,굿,NNG,1,0
35,104,알리,VV,1,0
36,103,좀,MAG,1,0
37,97,만들,VV,1,0
38,95,다,MAG,1,0
40,94,아니,VV,1,0
39,94,같,VA,1,0
41,89,업데이트,NNP,1,0
42,88,이렇,VA,1,0
43,83,걸,VV,1,0
44,81,진짜,MAG,1,0
45,80,확인,NNG,1,0
49,79,번호,NNG,1,0
51,79,실행,NNG,1,0
50,79,깔,VV,1,0
46,79,등록,NNG,1,0
48,79,계좌,NNP,1,0
47,79,느리,VA,1,0
52,78,화면,NNG,1,0
53,74,게,NNG,1,0
54,72,누르,VV,1,0
55,71,안돼,VV,1,0
56,69,얼굴,NNG,1,0
57,68,설치,NNG,1,0
58,68,갑자기,MAG,1,0
59,68,후,NNG,1,0
61,67,보,VV,1,0
62,67,들어가,VV,1,0
60,67,설정,NNG,1,0
63,66,있,VX,1,0
64,64,버전,NNP,1,0
65,64,나오,VV,1,0
66,62,자꾸,MAG,1,0
67,62,가입,NNG,1,0
68,61,가요,NNP,1,0
69,60,빠르,VA,1,0
70,60,폰,NNG,1,0
71,59,받,VV,1,0
72,59,비밀,NNG,1,0
75,58,가,VV,1,0
76,58,종료,NNG,1,0
74,58,바꾸,VV,1,0
73,58,오,VV,1,0
77,55,어떻,VA,1,0
78,53,나,VV,1,0
79,53,못하,VX,1,0
80,53,쉽,VA,1,0
81,52,더,MAG,1,0
82,51,접속,NNG,1,0
83,51,문제,NNG,1,0
84,51,로딩,NNP,1,0
85,51,보,VX,1,0
86,50,지우,VV,1,0
87,50,넘어가,VV,1,0
88,50,놓,VX,1,0
89,49,짜증,NNP,1,0
92,47,이용,NNG,1,0
93,47,지문,NNP,1,0
91,47,정보,NNG,1,0
90,47,싶,VX,1,0
94,46,기존,NNG,1,0
95,46,뱅킹,NNG,1,0
96,45,모르,VV,1,0
97,45,큐,NNG,1,0
98,44,인식,NNG,1,0
99,44,그냥,MAG,1,0
100,43,많,VA,1,0
101,43,새로,MAG,1,0
102,42,인증,NNG,1,0
103,42,전,NNG,1,0
104,42,되,VV,1,0
105,42,그렇,VA,1,0
110,41,입출금,NNG,1,0
109,41,접속,NNP,1,0
108,41,오늘,NNG,1,0
107,41,기능,NNG,1,0
106,41,튕기,VV,1,0
111,40,아니,MAG,1,0
112,40,조회,NNG,1,0
113,39,열리,VV,1,0
114,39,못,MAG,1,0
115,38,말,VX,1,0
116,38,시간,NNG,1,0
117,37,돈,NNG,1,0
118,37,켜,VV,1,0
119,37,공인인증서,NNP,1,0
120,37,개선,NNG,1,0
121,37,계좌,NNG,1,0
122,35,메뉴,NNP,1,0
123,35,삭제,NNP,1,0
126,34,답변,NNG,1,0
127,34,드리,VV,1,0
125,34,푸시,NNG,1,0
124,34,삭제,NNG,1,0
128,33,업데이트,NNG,1,0
129,33,걸리,VV,1,0
130,33,꺼지,VV,1,0
131,33,발급,NNG,1,0
135,32,주거래,NNG,1,0
136,32,아주,MAG,1,0
134,32,처음,NNG,1,0
133,32,없이,MAG,1,0
132,32,보이,VV,1,0
137,31,구,NNG,1,0
138,31,무한,NNP,1,0
139,31,신분증,NNG,1,0
140,31,버리,VX,1,0
143,30,대출,NNG,1,0
144,30,자주,MAG,1,0
141,30,입력,NNG,1,0
142,30,변경,NNG,1,0
145,29,공동 인증서,NNP,1,0
146,29,생각,NNG,1,0
147,29,알,VV,1,0
148,28,로그인,NNG,1,0
149,28,해결,NNG,1,0
150,28,거래,NNG,1,0
151,28,방법,NNG,1,0
152,28,많이,MAG,1,0
153,28,멈추,VV,1,0
157,27,등록,NNP,1,0
160,27,가능,XR,1,0
159,27,보안,NNP,1,0
158,27,필요,NNG,1,0
