,count,WORD,TAG,reinforcer,score
0,1612,하,VV,1,0
1,1189,이,VCP,1,0
2,802,안되,VV,1,0
3,764,앱,NNG,1,0
4,699,안,MAG,1,0
6,457,있,VV,1,0
5,457,없,VA,1,0
7,401,어플,NNG,1,0
8,397,되,VX,1,0
9,392,왜,MAG,1,0
10,380,은행,NNG,1,0
11,361,케이뱅크,NNG,1,0
12,326,않,VX,1,0
13,316,쓰,VV,1,0
14,294,다시,MAG,1,0
16,289,만들,VV,1,0
15,289,주,VX,1,0
17,279,안 되,VV,1,0
18,274,뜨,VV,1,0
19,269,화면,NNG,1,0
20,254,계속,MAG,1,0
21,246,신분증,NNG,1,0
22,233,가입,NNG,1,0
23,232,개설,NNG,1,0
24,229,접속,NNG,1,0
25,228,지,VX,1,0
26,224,계좌,NNP,1,0
27,223,사용,NNG,1,0
28,210,걸,VV,1,0
29,208,아니,VV,1,0
30,205,같,VA,1,0
31,199,좋,VA,1,0
32,197,다,MAG,1,0
33,196,돈,NNG,1,0
34,194,인증,NNP,1,0
35,194,잘,MAG,1,0
36,193,오류,NNG,1,0
37,191,이렇,VA,1,0
38,184,실행,NNG,1,0
39,179,좀,MAG,1,0
40,175,안돼,VV,1,0
41,173,설치,NNG,1,0
42,171,어떻,VA,1,0
43,165,번호,NNG,1,0
44,164,못하,VX,1,0
45,164,로고,NNP,1,0
46,162,계좌,NNG,1,0
47,159,진짜,MAG,1,0
48,155,보,VV,1,0
49,153,넘어가,VV,1,0
50,151,못,MAG,1,0
51,146,이체,NNG,1,0
52,145,가요,NNP,1,0
53,143,확인,NNG,1,0
54,142,로그인,NNP,1,0
55,142,후,NNG,1,0
56,137,먹통,NNG,1,0
57,135,열리,VV,1,0
58,134,들어가,VV,1,0
59,131,나오,VV,1,0
60,129,깔,VV,1,0
61,126,인식,NNG,1,0
62,123,아니,MAG,1,0
63,122,받,VV,1,0
64,120,전화,NNG,1,0
65,117,오,VV,1,0
66,115,너무,MAG,1,0
67,115,때,NNG,1,0
68,110,접속,NNP,1,0
69,110,비밀,NNG,1,0
70,110,로딩,NNP,1,0
71,109,보,VX,1,0
72,108,갑자기,MAG,1,0
73,106,촬영,NNG,1,0
74,104,누르,VV,1,0
75,101,해결,NNG,1,0
76,100,업데이트,NNP,1,0
77,100,문제,NNG,1,0
78,100,지우,VV,1,0
79,99,게,NNG,1,0
80,96,업,NNG,1,0
81,92,있,VX,1,0
82,90,비트,NNP,1,0
84,88,나,VV,1,0
83,88,인증번호,NNG,1,0
85,87,시간,NNG,1,0
86,86,회원,NNG,1,0
87,86,놓,VX,1,0
88,86,그냥,MAG,1,0
89,85,되,VV,1,0
90,85,어쩌,VV,1,0
91,85,삭제,NNG,1,0
92,84,사람,NNG,1,0
94,83,불편,NNG,1,0
96,83,모르,VV,1,0
95,83,로고M,NNG,1,0
93,83,지금,MAG,1,0
97,82,처음,NNG,1,0
99,81,켜,VV,1,0
98,81,알리,VV,1,0
100,80,이용,NNG,1,0
101,80,방법,NNG,1,0
102,79,그렇,VA,1,0
103,79,무한,NNP,1,0
104,78,인증,NNG,1,0
105,78,찍,VV,1,0
106,78,알,VV,1,0
107,77,연결,NNG,1,0
109,76,센터,NNP,1,0
108,76,말,NNG,1,0
110,74,다음,NNG,1,0
111,74,삭제,NNP,1,0
112,72,설치,NNP,1,0
113,70,멈추,VV,1,0
114,70,리뷰,NNP,1,0
115,69,짜증,NNP,1,0
116,69,느리,VA,1,0
121,68,고객,NNP,1,0
120,68,사진,NNG,1,0
119,68,간편,XR,1,0
118,68,설정,NNG,1,0
117,68,답변,NNG,1,0
122,67,더,MAG,1,0
123,67,입금,NNG,1,0
124,67,해도,NNP,1,0
125,66,며칠,NNG,1,0
126,65,고객,NNG,1,0
127,64,입력,NNG,1,0
128,63,빨리,MAG,1,0
129,63,편하,VA,1,0
130,63,찾,VV,1,0
132,61,바꾸,VV,1,0
131,61,생각,NNG,1,0
133,60,로고K,NNG,1,0
134,60,자체,NNG,1,0
135,60,많,VA,1,0
136,60,등록,NNG,1,0
137,59,말,VX,1,0
138,59,정말,MAG,1,0
139,59,해보,VV,1,0
144,58,고치,VV,1,0
142,58,바뀌,VV,1,0
143,58,상담,NNG,1,0
141,58,금융,NNG,1,0
140,58,보이,VV,1,0
145,57,폰,NNG,1,0
147,57,입출금,NNG,1,0
146,57,급하,VA,1,0
148,56,빼,VV,1,0
149,56,카카오뱅크,NNG,1,0
150,56,최악,NNG,1,0
153,55,실행,NNP,1,0
154,55,가능,XR,1,0
152,55,관리,NNG,1,0
151,55,아,IC,1,0
155,54,하나,NR,1,0
156,53,가,VV,1,0
157,52,도대체,MAG,1,0
158,52,보내,VV,1,0
159,52,전,NNG,1,0
160,51,진행,NNG,1,0
161,51,출금,NNG,1,0
162,51,버튼,NNP,1,0
163,51,싶,VX,1,0
166,49,한도,NNP,1,0
167,49,자꾸,MAG,1,0
165,49,오늘,NNG,1,0
164,49,통화,NNG,1,0
168,48,뱅킹,NNG,1,0
169,48,기다리,VV,1,0
170,48,똑같,VA,1,0
171,47,드리,VV,1,0
172,47,부탁,NNG,1,0
173,47,빠르,VA,1,0
174,47,치,VV,1,0
175,47,비번,NNG,1,0
179,46,제대로,MAG,1,0
181,46,이,VV,1,0
180,46,쓰레기,NNP,1,0
178,46,거래,NNG,1,0
177,46,답답,XR,1,0
176,46,입력,NNP,1,0
182,45,넣,VV,1,0
183,45,개선,NNG,1,0
184,44,휴대폰,NNG,1,0
185,44,버리,VX,1,0
186,44,예,NNG,1,0
187,44,겁,NNG,1,0
188,43,아깝,VA,1,0
189,42,동안,NNG,1,0
193,41,편리,NNG,1,0
192,41,유심,NNP,1,0
190,41,정보,NNG,1,0
191,41,끄,VV,1,0
194,40,아예,MAG,1,0
196,40,들,VV,1,0
195,40,필요,NNG,1,0
197,39,창,NNG,1,0
198,39,맞,VV,1,0
199,39,걸리,VV,1,0
201,38,거지,NNG,1,0
203,38,넘,VV,1,0
200,38,캐시,NNP,1,0
202,38,이유,NNG,1,0
204,37,핸드폰,NNG,1,0
205,37,조치,NNG,1,0
206,36,뱅크,NNP,1,0
207,36,하루,NNG,1,0
208,35,디자인,NNP,1,0
209,35,통화,NNP,1,0
210,35,서버,NNP,1,0
211,35,만,NR,1,0
214,34,종료,NNG,1,0
215,34,이건,NNP,1,0
213,34,바로,MAG,1,0
212,34,나서,VV,1,0
216,33,선택,NNG,1,0
217,33,통장,NNP,1,0
218,33,영상,NNP,1,0
219,33,인터넷,NNG,1,0
220,33,곳,NNG,1,0
221,33,변경,NNG,1,0
222,33,아직,MAG,1,0
226,32,업무,NNG,1,0
227,32,기기,NNP,1,0
224,32,생기,VV,1,0
225,32,폰,NNP,1,0
223,32,지문,NNP,1,0
228,31,제한,NNG,1,0
229,31,어찌,MAG,1,0
230,31,언제,MAG,1,0
231,31,불가,NNG,1,0
232,31,종일,NNG,1,0
233,30,아이콘,NNP,1,0
242,29,몇 번을,NNP,1,0
241,29,어제,NNG,1,0
243,29,처리,NNG,1,0
239,29,새로,MAG,1,0
240,29,다운로드,NNG,1,0
237,29,연락,NNG,1,0
238,29,송금,NNG,1,0
236,29,많이,MAG,1,0
235,29,기능,NNG,1,0
234,29,참,MAG,1,0
244,28,뒤,NNG,1,0
245,28,하,VX,1,0
246,28,상담원,NNG,1,0
251,27,상태,NNG,1,0
253,27,본인인증,NNG,1,0
252,27,정도,NNG,1,0
248,27,달,NNG,1,0
250,27,아주,MAG,1,0
249,27,예약,NNG,1,0
247,27,톡,MAG,1,0
258,26,시작,NNG,1,0
260,26,답,NNG,1,0
259,26,증,NNG,1,0
255,26,발급,NNG,1,0
257,26,코,NNG,1,0
256,26,서비스,NNG,1,0
254,26,튕기,VV,1,0
270,25,이전,NNG,1,0
278,25,아무것,NNG,1,0
