,count,WORD,TAG,reinforcer,score
0,724,하,VV,1,0
1,592,이,VCP,1,0
2,521,좋,VA,1,0
3,332,쓰,VV,1,0
4,315,있,VV,1,0
5,279,안,MAG,1,0
6,279,메갈,NNG,1,0
7,258,카카오뱅크,NNG,1,0
8,246,사용,NNG,1,0
9,237,없,VA,1,0
10,209,주,VX,1,0
11,207,편하,VA,1,0
12,204,잘,MAG,1,0
13,200,페미니즘,NNG,1,0
14,190,편리,NNG,1,0
15,175,안되,VV,1,0
16,162,되,VX,1,0
17,153,않,VX,1,0
18,149,은행,NNG,1,0
19,140,너무,MAG,1,0
20,135,만들,VV,1,0
21,130,뱅크,NNP,1,0
22,130,왜,MAG,1,0
23,127,같,VA,1,0
24,124,굿,NNG,1,0
25,119,신분증,NNP,1,0
26,114,아니,VV,1,0
27,111,보,VV,1,0
28,108,돈,NNG,1,0
29,104,좀,MAG,1,0
31,103,다,MAG,1,0
30,103,기업,NNG,1,0
32,101,계좌,NNP,1,0
33,101,조치,NNG,1,0
34,93,손,NNG,1,0
35,89,어플,NNG,1,0
36,88,카드,NNG,1,0
37,85,계속,MAG,1,0
38,84,걸,VV,1,0
39,82,카카오,NNP,1,0
41,81,뜨,VV,1,0
40,81,다시,MAG,1,0
42,80,오류,NNG,1,0
43,77,게,NNG,1,0
44,76,삭제,NNG,1,0
45,75,받,VV,1,0
46,73,안 되,VV,1,0
47,72,이용,NNG,1,0
48,71,때,NNG,1,0
49,69,제대로,MAG,1,0
50,69,그냥,MAG,1,0
52,68,광고,NNG,1,0
51,68,정말,MAG,1,0
53,67,인증,NNP,1,0
54,67,불편,NNG,1,0
55,65,모양,NNG,1,0
56,64,이체,NNG,1,0
57,63,진짜,MAG,1,0
58,63,있,VX,1,0
59,62,확인,NNG,1,0
60,62,못하,VX,1,0
62,61,수수료,NNP,1,0
61,61,후속,NNG,1,0
63,60,드리,VV,1,0
64,57,말,NNG,1,0
65,55,해명,NNG,1,0
66,55,어떻,VA,1,0
67,54,최고,NNG,1,0
68,53,말,VX,1,0
69,53,인식,NNG,1,0
70,53,모르,VV,1,0
72,52,논란,NNG,1,0
71,52,계좌,NNG,1,0
73,51,못,MAG,1,0
74,51,업데이트,NNP,1,0
75,51,이렇,VA,1,0
76,51,가,VV,1,0
77,51,나오,VV,1,0
78,50,설치,NNG,1,0
79,50,남혐,NNG,1,0
80,49,탈퇴,NNG,1,0
81,48,직원,NNG,1,0
82,48,실망,NNG,1,0
83,47,사람,NNG,1,0
84,46,대출,NNG,1,0
89,44,그렇,VA,1,0
92,44,찍,VV,1,0
91,44,만,NR,1,0
90,44,싶,VX,1,0
85,44,통장,NNP,1,0
88,44,알,VV,1,0
86,44,많,VA,1,0
87,44,지,VX,1,0
93,43,가요,NNP,1,0
94,43,해지,NNG,1,0
95,42,아주,MAG,1,0
96,42,더,MAG,1,0
97,41,간편,XR,1,0
98,41,번호,NNG,1,0
99,41,놓,VX,1,0
100,40,빠르,VA,1,0
101,40,보내,VV,1,0
102,39,미니,NNP,1,0
106,38,바꾸,VV,1,0
107,38,들어가,VV,1,0
105,38,생각,NNG,1,0
103,38,알리,VV,1,0
104,38,포스터,NNP,1,0
108,37,감사,NNG,1,0
109,37,회사,NNG,1,0
110,37,해결,NNG,1,0
111,36,보,VX,1,0
112,36,오,VV,1,0
113,36,문제,NNG,1,0
117,35,전화,NNG,1,0
119,35,쉽,VA,1,0
118,35,아니,MAG,1,0
116,35,촬영,NNG,1,0
115,35,부탁,NNG,1,0
114,35,방법,NNG,1,0
120,34,대하,VV,1,0
121,34,많이,MAG,1,0
122,34,가능,XR,1,0
123,34,개설,NNG,1,0
127,33,인증,NNG,1,0
126,33,사진,NNG,1,0
125,33,자꾸,MAG,1,0
124,33,필요,NNG,1,0
130,32,기능,NNG,1,0
131,32,고객,NNP,1,0
128,32,센터,NNP,1,0
129,32,로그인,NNP,1,0
132,31,보이,VV,1,0
133,31,지우,VV,1,0
134,31,후,NNG,1,0
135,31,들,VV,1,0
136,31,깔,VV,1,0
137,30,없이,MAG,1,0
138,30,넣,VV,1,0
139,30,관련,NNG,1,0
140,30,안돼,VV,1,0
141,30,대처,NNG,1,0
142,30,되,VV,1,0
143,30,거래,NNG,1,0
145,29,이유,NNG,1,0
146,29,삭제,NNP,1,0
144,29,징계,NNG,1,0
148,28,매우,MAG,1,0
149,28,디자인,NNP,1,0
150,28,내역,NNG,1,0
151,28,쓰레기,NNP,1,0
152,28,처음,NNG,1,0
153,28,입출금,NNG,1,0
147,28,참,MAG,1,0
155,27,서비스,NNG,1,0
156,27,리뷰,NNP,1,0
154,27,바로,MAG,1,0
157,26,연결,NNG,1,0
158,26,누르,VV,1,0
159,26,나,VV,1,0
160,26,이번,NNG,1,0
161,26,제가,NNP,1,0
162,26,절,NNG,1,0
163,26,비번,NNG,1,0
167,25,맞,VV,1,0
168,25,입금,NNG,1,0
169,25,이름,NNG,1,0
166,25,바라,VV,1,0
164,25,혐오,NNP,1,0
165,25,루팅,NNP,1,0
170,24,넘어가,VV,1,0
173,24,똑바로,MAG,1,0
174,24,겁,NNG,1,0
171,24,별로,MAG,1,0
172,24,변경,NNG,1,0
176,23,비밀,NNG,1,0
177,23,신청,NNG,1,0
178,23,송금,NNG,1,0
