,count,WORD,TAG,reinforcer,score
0,13884,있,VV,1,0
1,12027,사용,NNG,1,0
2,11530,좋,VA,1,0
3,8284,이,VCP,1,0
4,8237,편리,NNG,1,0
5,7426,편하,VA,1,0
6,7084,앱,NNG,1,0
7,7037,은행,NNG,1,0
8,6496,잘,MAG,1,0
9,5441,하,VV,1,0
10,4275,뱅킹,NNG,1,0
11,4133,쓰,VV,1,0
12,4040,이용,NNG,1,0
13,3537,되,VX,1,0
14,3512,어플,NNG,1,0
15,3356,국민은행,NNG,1,0
16,3316,너무,MAG,1,0
17,2945,스타,NNP,1,0
18,2896,이체,NNG,1,0
19,2777,보,VV,1,0
20,2700,쉽,VA,1,0
21,2513,간편,XR,1,0
22,2400,빠르,VA,1,0
23,2340,같,VA,1,0
24,2327,로그인,NNP,1,0
25,2289,없,VA,1,0
26,1901,인증,NNP,1,0
27,1850,지,VX,1,0
28,1825,많,VA,1,0
29,1796,주거래,NNG,1,0
30,1625,불편,NNG,1,0
31,1625,있,VX,1,0
32,1624,않,VX,1,0
33,1621,이벤트,NNP,1,0
34,1572,때,NNG,1,0
35,1550,주,VX,1,0
36,1510,자주,MAG,1,0
37,1434,더,MAG,1,0
38,1370,없이,MAG,1,0
39,1353,오류,NNG,1,0
40,1323,KB,NNG,1,0
41,1278,업무,NNG,1,0
42,1263,기능,NNG,1,0
43,1234,모바일,NNG,1,0
44,1221,계좌,NNP,1,0
45,1181,안,MAG,1,0
46,1179,가능,XR,1,0
47,1100,좀,MAG,1,0
48,1098,다양,XR,1,0
49,1078,깔끔,XR,1,0
50,1072,메뉴,NNP,1,0
51,1021,많이,MAG,1,0
52,1011,kb,NNG,1,0
53,1008,만족,NNG,1,0
54,940,화면,NNG,1,0
55,917,정말,MAG,1,0
56,906,안되,VV,1,0
57,904,거래,NNG,1,0
58,892,금융,NNG,1,0
59,888,은행,NNP,1,0
60,874,지문,NNP,1,0
61,867,찾,VV,1,0
62,853,항상,MAG,1,0
63,845,계속,MAG,1,0
64,838,한눈,NNG,1,0
65,832,다,MAG,1,0
66,820,확인,NNG,1,0
67,790,아주,MAG,1,0
68,786,조회,NNG,1,0
69,780,게,NNG,1,0
70,775,가,VV,1,0
71,758,구성,NNG,1,0
