,count,WORD,TAG,reinforcer,score
0,3186,사용,NNG,1,0
1,2919,좋,VA,1,0
2,2779,있,VV,1,0
3,2377,편리,NNG,1,0
4,1978,편하,VA,1,0
5,1817,이,VCP,1,0
6,1543,잘,MAG,1,0
7,1510,하,VV,1,0
8,1083,은행,NNG,1,0
9,1067,되,VV,1,0
10,1040,쓰,VV,1,0
11,982,쉽,VA,1,0
12,970,이체,NNG,1,0
13,880,이용,NNG,1,0
14,871,뱅킹,NNG,1,0
15,848,농협,NNP,1,0
16,832,간편,XR,1,0
17,745,어플,NNP,1,0
18,608,너무,MAG,1,0
19,607,보,VV,1,0
20,593,로그인,NNP,1,0
21,582,안,MAG,1,0
22,578,없,VA,1,0
23,556,같,VA,1,0
24,530,지,VX,1,0
25,521,안,NNG,1,0
26,501,스마트,NNP,1,0
27,472,계좌,NNP,1,0
28,447,빠르,VA,1,0
29,446,않,VX,1,0
30,404,불편,NNG,1,0
31,377,계좌,NNG,1,0
32,364,오류,NNP,1,0
33,357,주,VX,1,0
34,356,때,NNG,1,0
35,348,더,MAG,1,0
36,318,있,VX,1,0
37,307,자주,MAG,1,0
38,284,좀,MAG,1,0
39,263,주거래,NNG,1,0
40,259,메뉴,NNP,1,0
41,255,농협,NNG,1,0
42,255,번호,NNG,1,0
43,255,왜,MAG,1,0
44,253,없이,MAG,1,0
45,252,계속,MAG,1,0
46,250,조회,NNP,1,0
47,249,많이,MAG,1,0
48,240,확인,NNG,1,0
49,237,기능,NNG,1,0
50,228,가능,XR,1,0
51,227,다,MAG,1,0
52,226,만들,VV,1,0
53,225,거래,NNG,1,0
54,221,뜨,VV,1,0
55,215,정말,MAG,1,0
56,211,화면,NNG,1,0
57,210,아주,MAG,1,0
58,208,만족,NNG,1,0
59,205,은행,NNP,1,0
60,201,가입,NNG,1,0
61,199,깔끔,XR,1,0
62,197,많,VA,1,0
63,192,인증,NNP,1,0
64,187,다시,MAG,1,0
65,186,서비스,NNG,1,0
66,185,찾,VV,1,0
67,183,게,NNG,1,0
68,182,가,VV,1,0
69,177,아니,VCN,1,0
70,174,항상,MAG,1,0
71,174,업무,NNG,1,0
72,174,직관,NNP,1,0
73,172,한눈,NNG,1,0
74,164,업데이트,NNP,1,0
75,157,쓰기,NNP,1,0
76,147,금융,NNG,1,0
77,146,개선,NNG,1,0
78,144,로딩,NNP,1,0
81,143,깔,VV,1,0
79,143,걸,VV,1,0
80,143,매우,MAG,1,0
82,142,굿,NNG,1,0
83,139,진짜,MAG,1,0
84,138,등록,NNG,1,0
85,137,보안,NNP,1,0
86,137,비하,VV,1,0
87,134,구성,NNG,1,0
88,127,속도,NNG,1,0
89,126,이벤트,NNP,1,0
90,126,후,NNG,1,0
91,125,크,VA,1,0
92,123,이렇,VA,1,0
93,123,시간,NNG,1,0
94,121,들어가,VV,1,0
95,120,보,VX,1,0
96,120,간단,XR,1,0
97,119,접속,NNG,1,0
98,118,필요,NNG,1,0
99,116,설치,NNG,1,0
100,113,정보,NNG,1,0
101,113,내역,NNG,1,0
102,113,나,VV,1,0
103,111,관리,NNG,1,0
104,111,받,VV,1,0
105,109,보이,VV,1,0
106,108,생각,NNG,1,0
107,105,나오,VV,1,0
109,104,다양,XR,1,0
110,104,비밀,NNG,1,0
108,104,설정,NNG,1,0
111,102,못하,VX,1,0
112,100,최고,NNG,1,0
113,99,바로,MAG,1,0
114,99,방식,NNG,1,0
115,99,처음,NNG,1,0
116,97,앞으로,NNP,1,0
117,97,모바일,NNP,1,0
118,96,문제,NNG,1,0
119,96,알리,VV,1,0
120,96,유용,XR,1,0
121,95,들,VV,1,0
122,95,늘,MAG,1,0
123,94,지문,NNP,1,0
125,93,인터넷,NNG,1,0
126,93,전,NNG,1,0
124,93,개설,NNG,1,0
129,91,뱅크,NNP,1,0
127,91,상품,NNG,1,0
128,91,제일,NNG,1,0
130,90,송금,NNG,1,0
131,88,입력,NNG,1,0
132,87,하나,NR,1,0
133,87,가장,MAG,1,0
134,87,괜찮,VA,1,0
135,87,통장,NNP,1,0
136,86,접속,NNP,1,0
137,86,감사,NNG,1,0
138,86,알,VV,1,0
139,86,드리,VV,1,0
144,85,느리,VA,1,0
143,85,입출금,NNG,1,0
142,85,로그인,NNG,1,0
141,85,예전,NNG,1,0
140,85,자동,NNG,1,0
145,82,바꾸,VV,1,0
146,81,실행,NNG,1,0
147,81,가끔,MAG,1,0
148,80,누르,VV,1,0
149,79,모르,VV,1,0
150,79,들어오,VV,1,0
151,77,놓,VX,1,0
152,77,조금,MAG,1,0
153,77,그냥,MAG,1,0
154,77,어렵,VA,1,0
156,76,처리,NNG,1,0
155,76,못,MAG,1,0
157,74,사람,NNG,1,0
158,72,카드,NNP,1,0
159,72,방법,NNG,1,0
160,72,가요,NNP,1,0
161,71,수수료,NNP,1,0
162,71,안전,NNG,1,0
163,71,넘어가,VV,1,0
164,70,해결,NNG,1,0
165,70,고객,NNG,1,0
166,70,디자인,NNP,1,0
167,70,자꾸,MAG,1,0
168,69,복잡,XR,1,0
170,68,업데이트,NNG,1,0
171,68,눈,NNG,1,0
169,68,지금,NNG,1,0
172,67,짜증,NNP,1,0
173,67,그렇,VA,1,0
174,67,점점,MAG,1,0
175,66,오늘,NNG,1,0
176,66,어떻,VA,1,0
177,66,카드,NNG,1,0
178,66,참,MAG,1,0
179,65,싶,VX,1,0
180,65,추천,NNG,1,0
181,64,신분증,NNP,1,0
182,64,무한,NNP,1,0
183,64,잔액,NNG,1,0
184,63,요즘,NNG,1,0
185,63,적,VA,1,0
188,61,사용자,NNP,1,0
189,61,거의,MAG,1,0
187,61,적금,NNP,1,0
186,61,발전,NNG,1,0
190,60,편의,NNG,1,0
191,60,일,NNG,1,0
192,60,자체,NNG,1,0
193,60,갑자기,MAG,1,0
194,60,비대,NNP,1,0
195,60,오,VV,1,0
196,60,부탁,NNG,1,0
197,59,인터페이스,NNP,1,0
201,58,부분,NNG,1,0
202,58,방문,NNG,1,0
203,58,삭제,NNG,1,0
200,58,인식,NNG,1,0
198,58,말,NNG,1,0
199,58,오픈,NNP,1,0
204,57,켜,VV,1,0
205,57,공인인증서,NNP,1,0
206,57,아니,MAG,1,0
207,56,조회,NNG,1,0
208,56,애용,NNG,1,0
213,55,대출,NNG,1,0
215,55,에러,NNG,1,0
214,55,시스템,NNG,1,0
210,55,비번,NNG,1,0
212,55,정도,NNG,1,0
211,55,아직,MAG,1,0
209,55,전체,NNG,1,0
216,54,아쉽,VA,1,0
217,54,금액,NNG,1,0
218,54,말,VX,1,0
220,53,최악,NNG,1,0
219,53,타행,NNG,1,0
223,52,보니,NNP,1,0
224,52,올인,NNP,1,0
221,52,연결,NNG,1,0
222,52,느끼,VV,1,0
225,51,나서,VV,1,0
226,51,관리,NNP,1,0
227,51,급하,VA,1,0
228,51,바뀌,VV,1,0
229,50,주로,MAG,1,0
230,50,지우,VV,1,0
231,50,느낌,NNG,1,0
232,50,리뷰,NNP,1,0
233,50,알아보,VV,1,0
234,50,입력,NNP,1,0
235,50,비교,NNG,1,0
238,49,매일,MAG,1,0
236,49,넘,VV,1,0
237,49,메인,NNP,1,0
239,48,오,VX,1,0
240,48,아이디,NNP,1,0
241,48,진행,NNG,1,0
242,47,발급,NNG,1,0
243,47,변경,NNG,1,0
244,46,익숙,XR,1,0
245,46,사용자,NNG,1,0
246,46,통장,NNG,1,0
247,46,자산,NNP,1,0
248,46,지금,MAG,1,0
249,45,특히,MAG,1,0
250,45,아,IC,1,0
251,45,바라,VV,1,0
253,44,걸리,VV,1,0
252,44,튕기,VV,1,0
254,43,더욱,MAG,1,0
256,43,쭉,MAG,1,0
257,43,이전,NNG,1,0
255,43,번거롭,VA,1,0
258,42,핸드폰,NNP,1,0
259,42,모두,MAG,1,0
260,42,통합,NNG,1,0
261,42,예,NNG,1,0
262,42,돈,NNG,1,0
263,42,보내,VV,1,0
264,42,메뉴,NNG,1,0
265,41,예금,NNG,1,0
266,41,원하,VV,1,0
267,41,힘들,VA,1,0
271,40,답답,XR,1,0
272,40,글씨,NNG,1,0
268,40,꾸준히,MAG,1,0
270,40,콕,MAG,1,0
269,40,최근,NNG,1,0
273,39,아깝,VA,1,0
274,39,오류,NNG,1,0
275,39,선택,NNG,1,0
276,39,개인,NNG,1,0
283,38,손쉽,VA,1,0
288,38,설명,NNG,1,0
287,38,통하,VV,1,0
286,38,안정,NNG,1,0
284,38,버리,VX,1,0
285,38,하루,NNG,1,0
282,38,발생,NNG,1,0
277,38,네트워크,NNP,1,0
280,38,믿,VV,1,0
279,38,직접,MAG,1,0
278,38,정리,NNG,1,0
281,38,마음,NNG,1,0
289,37,출금,NNG,1,0
290,37,해보,VV,1,0
291,37,경우,NNG,1,0
292,36,어쩌,VV,1,0
293,36,곳,NNG,1,0
297,35,끄,VV,1,0
300,35,이해,NNG,1,0
298,35,먹,NNG,1,0
299,35,이,VV,1,0
296,35,만,NR,1,0
294,35,관련,NNG,1,0
295,35,생기,VV,1,0
306,34,단계,NNG,1,0
311,34,하,VX,1,0
310,34,함께,MAG,1,0
309,34,나이,NNG,1,0
308,34,어르신,NNG,1,0
307,34,기본,NNG,1,0
305,34,며칠,NNG,1,0
304,34,입금,NNG,1,0
303,34,인증,NNG,1,0
302,34,글,NNG,1,0
301,34,센터,NNP,1,0
316,33,와이파이,NNP,1,0
320,33,훨씬,MAG,1,0
318,33,높,VA,1,0
317,33,전반,NNG,1,0
319,33,매번,MAG,1,0
315,33,하면,NNP,1,0
312,33,맞,VV,1,0
313,33,엄청,MAG,1,0
314,33,편안,NNG,1,0
326,32,빼,VV,1,0
330,32,하나로,NNP,1,0
329,32,무난,XR,1,0
328,32,고객,NNP,1,0
327,32,추가,NNG,1,0
325,32,빨리,MAG,1,0
324,32,새로,MAG,1,0
323,32,폰,NNG,1,0
322,32,이상,NNG,1,0
321,32,위하,VV,1,0
337,31,전화,NNG,1,0
342,31,예적금,NNG,1,0
341,31,다음,NNG,1,0
340,31,오래,MAG,1,0
339,31,열리,VV,1,0
338,31,종료,NNG,1,0
332,31,이유,NNG,1,0
336,31,시대,NNG,1,0
335,31,삭제,NNP,1,0
334,31,이후,NNG,1,0
333,31,쓰레기,NNP,1,0
331,31,가독성,NNP,1,0
348,30,제대로,MAG,1,0
353,30,제가,NNP,1,0
352,30,이름,NNG,1,0
351,30,즉시,NNG,1,0
349,30,손,NNG,1,0
350,30,꺼지,VV,1,0
347,30,프로그램,NNG,1,0
344,30,실행,NNP,1,0
343,30,그런지,NNP,1,0
346,30,일단,MAG,1,0
345,30,버튼,NNP,1,0
354,29,대체,NNG,1,0
355,29,이제,MAG,1,0
356,29,넣,VV,1,0
357,29,똑같,VA,1,0
359,29,대하,VV,1,0
360,29,찍,VV,1,0
361,29,폰,NNP,1,0
362,29,오랫동안,NNG,1,0
363,29,집,NNG,1,0
358,29,용이,XR,1,0
368,28,동안,NNG,1,0
370,28,등록,NNP,1,0
369,28,답변,NNG,1,0
366,28,사진,NNG,1,0
367,28,자산,NNG,1,0
365,28,이랑,NNP,1,0
364,28,결제,NNG,1,0
371,27,펀드,NNG,1,0
372,27,덕분,NNG,1,0
373,27,대면,NNG,1,0
374,27,기대,NNG,1,0
375,27,부모,NNG,1,0
376,27,모드,NNP,1,0
377,27,제공,NNG,1,0
378,27,짱,MAG,1,0
384,26,굳,VV,1,0
388,26,젤,NNG,1,0
387,26,혜택,NNG,1,0
386,26,시도,NNG,1,0
385,26,시작,NNG,1,0
379,26,이제,NNG,1,0
383,26,고치,VV,1,0
381,26,접근성,NNP,1,0
380,26,스마트폰,NNP,1,0
382,26,돌아가,VV,1,0
389,25,파이팅,NNP,1,0
390,25,해도,NNP,1,0
391,25,해지,NNP,1,0
392,25,치,VV,1,0
393,25,불가,NNG,1,0
394,25,이건,NNP,1,0
400,24,초기,NNG,1,0
404,24,내용,NNG,1,0
403,24,면,NNG,1,0
402,24,해서,NNP,1,0
401,24,월급,NNG,1,0
398,24,절차,NNG,1,0
399,24,계속,NNG,1,0
397,24,제발,MAG,1,0
396,24,구분,NNG,1,0
395,24,조치,NNG,1,0
413,23,따로,MAG,1,0
418,23,중요,XR,1,0
417,23,인식,NNP,1,0
416,23,타사,NNG,1,0
415,23,활용,NNG,1,0
414,23,어제,NNG,1,0
412,23,얼마,NNG,1,0
410,23,앞,NNG,1,0
409,23,업,NNG,1,0
408,23,지점,NNP,1,0
407,23,같이,MAG,1,0
406,23,영업점,NNG,1,0
405,23,아예,MAG,1,0
411,23,창,NNG,1,0
426,22,신속,NNG,1,0
428,22,본인,NNG,1,0
434,22,이번,NNG,1,0
433,22,언제,MAG,1,0
432,22,가지,VV,1,0
431,22,조금,NNG,1,0
430,22,접근,NNG,1,0
429,22,거래,NNP,1,0
424,22,데이터,NNG,1,0
427,22,통,NNG,1,0
425,22,로그,NNP,1,0
423,22,상품,NNP,1,0
422,22,대표,NNG,1,0
421,22,맘,NNG,1,0
420,22,해주시,NNP,1,0
419,22,돌,VV,1,0
443,21,딱히,MAG,1,0
442,21,옮기,VV,1,0
440,21,들,VX,1,0
444,21,수정,NNG,1,0
441,21,한도,NNP,1,0
445,21,단순,XR,1,0
439,21,표시,NNG,1,0
437,21,현상,NNG,1,0
436,21,새롭,VA,1,0
435,21,점검,NNP,1,0
438,21,기다리,VV,1,0
454,20,어려움,NNG,1,0
461,20,장점,NNG,1,0
460,20,직원,NNG,1,0
459,20,결국,MAG,1,0
458,20,콜,NNP,1,0
457,20,스마트,NNG,1,0
456,20,종일,NNG,1,0
455,20,귀찮,VA,1,0
453,20,사항,NNG,1,0
452,20,기존,NNG,1,0
451,20,정확,XR,1,0
450,20,평소,NNG,1,0
449,20,작동,NNP,1,0
448,20,작,VA,1,0
447,20,배치,NNG,1,0
446,20,확실히,MAG,1,0
471,19,휴대폰,NNG,1,0
479,19,설치,NNP,1,0
478,19,웬만,XR,1,0
477,19,뒤,NNG,1,0
476,19,신청,NNG,1,0
475,19,입장,NNG,1,0
474,19,쏙,MAG,1,0
472,19,속,NNG,1,0
473,19,하네,NNP,1,0
470,19,지나,VV,1,0
465,19,촬영,NNG,1,0
462,19,심하,VA,1,0
463,19,카카오,NNP,1,0
464,19,남기,VV,1,0
469,19,개발자,NNP,1,0
466,19,통신,NNG,1,0
467,19,오류로,NNP,1,0
468,19,구동,NNG,1,0
489,18,메시지,NNP,1,0
496,18,겁,NNG,1,0
495,18,별로,MAG,1,0
494,18,인,NNG,1,0
493,18,급여,NNG,1,0
492,18,관리도,NNP,1,0
491,18,간결,XR,1,0
490,18,가볍,VA,1,0
497,18,클릭,NNP,1,0
488,18,상태,NNG,1,0
487,18,길,VA,1,0
