,count,WORD,TAG,reinforcer,score
0,299,하,VV,1,0
1,208,되,VV,1,0
2,206,안,MAG,1,0
3,187,이,VCP,1,0
4,186,로그인,NNP,1,0
5,157,안,NNG,1,0
6,109,사용,NNG,1,0
7,100,있,VV,1,0
8,98,은행,NNG,1,0
9,96,좋,VA,1,0
10,93,인증,NNP,1,0
11,77,왜,MAG,1,0
12,76,어플,NNP,1,0
13,68,잘,MAG,1,0
14,67,않,VX,1,0
15,66,다시,MAG,1,0
16,66,쓰,VV,1,0
17,65,계속,MAG,1,0
18,58,화면,NNG,1,0
20,57,뜨,VV,1,0
19,57,주,VX,1,0
21,56,편하,VA,1,0
22,50,없,VA,1,0
23,47,진짜,MAG,1,0
24,47,편리,NNG,1,0
25,46,만들,VV,1,0
26,46,업데이트,NNP,1,0
27,46,너무,MAG,1,0
28,46,등록,NNG,1,0
30,45,이렇,VA,1,0
29,45,모바일,NNP,1,0
31,44,깔,VV,1,0
32,44,후,NNG,1,0
33,44,좀,MAG,1,0
34,40,어떻,VA,1,0
35,38,이체,NNG,1,0
36,37,가요,NNP,1,0
37,37,뱅킹,NNG,1,0
38,37,지,VX,1,0
40,36,오류,NNP,1,0
39,36,들어가,VV,1,0
41,34,번호,NNG,1,0
43,34,나오,VV,1,0
44,34,갑자기,MAG,1,0
42,34,같,VA,1,0
45,33,발급,NNG,1,0
46,32,보,VV,1,0
47,30,계좌,NNP,1,0
48,30,확인,NNG,1,0
49,30,로딩,NNP,1,0
52,29,걸,VV,1,0
50,29,불편,NNG,1,0
51,29,다,MAG,1,0
53,27,때,NNG,1,0
54,27,접속,NNG,1,0
55,25,보,VX,1,0
56,25,설치,NNG,1,0
57,25,못하,VX,1,0
58,25,문제,NNG,1,0
60,24,아니,VCN,1,0
59,24,바꾸,VV,1,0
62,23,아니,MAG,1,0
63,23,넘어가,VV,1,0
61,23,간편,XR,1,0
64,22,그냥,MAG,1,0
65,22,먹,NNG,1,0
66,21,있,VX,1,0
67,21,지우,VV,1,0
73,20,가입,NNG,1,0
76,20,이용,NNG,1,0
75,20,제일은행,NNP,1,0
74,20,실행,NNG,1,0
69,20,접속,NNP,1,0
72,20,정말,MAG,1,0
71,20,오,VV,1,0
70,20,자체,NNG,1,0
68,20,등록,NNP,1,0
79,19,그렇,VA,1,0
80,19,놓,VX,1,0
78,19,게,NNG,1,0
77,19,무한,NNP,1,0
82,18,개선,NNG,1,0
83,18,쉽,VA,1,0
81,18,멈추,VV,1,0
84,17,알리,VV,1,0
85,17,하나,NR,1,0
86,17,로그인,NNG,1,0
87,17,누르,VV,1,0
88,17,며칠,NNG,1,0
89,16,서버,NNP,1,0
90,16,시간,NNG,1,0
91,16,드리,VV,1,0
92,16,오늘,NNG,1,0
93,16,많,VA,1,0
94,16,열리,VV,1,0
95,16,삭제,NNP,1,0
101,15,받,VV,1,0
99,15,연결,NNG,1,0
100,15,해도,NNP,1,0
96,15,은행,NNP,1,0
98,15,느리,VA,1,0
97,15,변경,NNG,1,0
102,14,설치,NNP,1,0
103,14,아깝,VA,1,0
104,14,로고,NNP,1,0
105,14,못,MAG,1,0
106,14,모르,VV,1,0
107,14,더,MAG,1,0
108,14,지문,NNP,1,0
112,13,자꾸,MAG,1,0
114,13,아이디,NNP,1,0
113,13,예,NNG,1,0
115,13,싶,VX,1,0
111,13,나,VV,1,0
110,13,들,VV,1,0
109,13,종료,NNG,1,0
129,12,기관,NNG,1,0
128,12,지금,MAG,1,0
123,12,어쩌,VV,1,0
127,12,말,VX,1,0
126,12,업무,NNG,1,0
125,12,조치,NNG,1,0
124,12,통,NNG,1,0
118,12,정보,NNG,1,0
122,12,개설,NNG,1,0
121,12,하,VX,1,0
120,12,빨리,MAG,1,0
119,12,부탁,NNG,1,0
117,12,회원,NNG,1,0
116,12,제대로,MAG,1,0
144,11,답답,XR,1,0
143,11,계좌,NNG,1,0
142,11,짜증,NNP,1,0
141,11,거래,NNG,1,0
140,11,새로,MAG,1,0
139,11,리뷰,NNP,1,0
138,11,빠르,VA,1,0
137,11,깔끔,XR,1,0
136,11,입력,NNG,1,0
135,11,신분증,NNP,1,0
134,11,보내,VV,1,0
133,11,답변,NNG,1,0
132,11,통장,NNP,1,0
131,11,메일,NNP,1,0
130,11,켜,VV,1,0
163,10,버리,VX,1,0
159,10,삭제,NNG,1,0
160,10,불가,NNG,1,0
161,10,증서,NNP,1,0
162,10,서비스,NNG,1,0
157,10,인증,NNG,1,0
164,10,옮기,VV,1,0
165,10,금융,NNG,1,0
166,10,입출금,NNG,1,0
167,10,고객,NNG,1,0
158,10,넣,VV,1,0
147,10,휴대폰,NNG,1,0
156,10,거지,NNG,1,0
150,10,겁,NNG,1,0
155,10,해결,NNG,1,0
145,10,조회,NNP,1,0
148,10,디지털,NNP,1,0
149,10,보이,VV,1,0
146,10,없이,MAG,1,0
151,10,인,NNG,1,0
152,10,상태,NNG,1,0
153,10,주거래,NNG,1,0
154,10,걸리,VV,1,0
180,9,생각,NNG,1,0
189,9,하루,NNG,1,0
188,9,이후,NNG,1,0
187,9,이유,NNG,1,0
186,9,가,VV,1,0
185,9,고치,VV,1,0
184,9,폰,NNP,1,0
183,9,알,VV,1,0
182,9,공인인증서,NNP,1,0
181,9,인터넷,NNG,1,0
179,9,나서,VV,1,0
168,9,전,NNG,1,0
177,9,복잡,XR,1,0
176,9,자주,MAG,1,0
175,9,비번,NNG,1,0
174,9,업데이트,NNG,1,0
173,9,꺼지,VV,1,0
172,9,최악,NNG,1,0
171,9,초기,NNG,1,0
170,9,보안,NNP,1,0
169,9,처음,NNG,1,0
178,9,영문,NNG,1,0
208,8,끄,VV,1,0
204,8,도대체,MAG,1,0
205,8,사람,NNG,1,0
206,8,디자인,NNP,1,0
207,8,반복,NNG,1,0
202,8,카드,NNG,1,0
209,8,어제,NNG,1,0
210,8,폰,NNG,1,0
211,8,에러,NNG,1,0
212,8,바라,VV,1,0
213,8,정도,NNG,1,0
203,8,비밀,NNG,1,0
192,8,타행,NNG,1,0
201,8,네트워크,NNP,1,0
195,8,포기,NNG,1,0
200,8,키보드,NNP,1,0
190,8,휴,NNP,1,0
191,8,미치,VV,1,0
194,8,전화,NNG,1,0
193,8,아,IC,1,0
196,8,실패,NNG,1,0
197,8,돈,NNG,1,0
198,8,이,VV,1,0
199,8,인식,NNG,1,0
235,7,카드,NNP,1,0
230,7,설정,NNG,1,0
231,7,급하,VA,1,0
232,7,시도,NNG,1,0
233,7,와이파이,NNP,1,0
234,7,몇 번을,NNP,1,0
240,7,진행,NNG,1,0
236,7,시대,NNG,1,0
237,7,종일,NNG,1,0
238,7,면,NNG,1,0
239,7,발생,NNG,1,0
241,7,아직,MAG,1,0
228,7,일,NNG,1,0
229,7,버튼,NNP,1,0
225,7,단말기,NNP,1,0
227,7,최고,NNG,1,0
219,7,반복,NNP,1,0
226,7,직관,NNP,1,0
214,7,사용자,NNP,1,0
215,7,해보,VV,1,0
216,7,작동,NNG,1,0
218,7,센터,NNP,1,0
217,7,요즘,NNG,1,0
220,7,다음,NNG,1,0
221,7,터지,VV,1,0
222,7,개발자,NNP,1,0
223,7,살,VV,1,0
224,7,대출,NNG,1,0
265,6,부팅,NNP,1,0
259,6,가능,XR,1,0
260,6,추가,NNG,1,0
262,6,속도,NNG,1,0
263,6,드,NNP,1,0
264,6,하면,NNP,1,0
271,6,제거,NNG,1,0
266,6,글씨,NNG,1,0
267,6,기능,NNG,1,0
268,6,기다리,VV,1,0
269,6,엄청,MAG,1,0
270,6,원활,NNG,1,0
257,6,많이,MAG,1,0
272,6,이건,NNP,1,0
258,6,감사,NNG,1,0
261,6,끝나,VV,1,0
256,6,똑같,VA,1,0
248,6,수정,NNG,1,0
255,6,맞,VV,1,0
242,6,바뀌,VV,1,0
243,6,언제,MAG,1,0
245,6,하,NNG,1,0
246,6,동일,XR,1,0
247,6,신규,NNG,1,0
244,6,오래,MAG,1,0
249,6,관리,NNG,1,0
250,6,자동,NNG,1,0
251,6,이벤트,NNP,1,0
252,6,서로,NNP,1,0
253,6,정리,NNG,1,0
254,6,치,VV,1,0
305,5,촬영,NNG,1,0
296,5,아무것,NNG,1,0
297,5,참,MAG,1,0
298,5,조작,NNG,1,0
299,5,텐,NNG,1,0
300,5,하네,NNP,1,0
301,5,제일,NNG,1,0
302,5,폐기,NNG,1,0
303,5,이번,NNG,1,0
304,5,이상,NNG,1,0
312,5,카카오페이,NNP,1,0
306,5,오픈,NNP,1,0
307,5,최근,NNG,1,0
308,5,아주,MAG,1,0
309,5,한눈,NNG,1,0
310,5,잔액,NNG,1,0
311,5,사용자,NNG,1,0
313,5,뒤,NNG,1,0
314,5,찾,VV,1,0
294,5,증,NNG,1,0
295,5,입력,NNP,1,0
279,5,선택,NNG,1,0
293,5,단계,NNG,1,0
282,5,생체,NNG,1,0
292,5,내역,NNG,1,0
274,5,처리,NNG,1,0
275,5,뭘,IC,1,0
276,5,이리,MAG,1,0
277,5,열,NR,1,0
273,5,완료,NNG,1,0
280,5,장난,NNG,1,0
281,5,전혀,MAG,1,0
278,5,조회,NNG,1,0
283,5,글,NNG,1,0
285,5,필요,NNG,1,0
286,5,빼,VV,1,0
287,5,죽,VV,1,0
288,5,실행,NNP,1,0
289,5,제발,MAG,1,0
290,5,웬만,XR,1,0
291,5,코드,NNP,1,0
284,5,찍,VV,1,0
346,4,힘들,VA,1,0
350,4,귀찮,VA,1,0
349,4,버,NNP,1,0
348,4,날,NNG,1,0
347,4,속,NNG,1,0
342,4,아예,MAG,1,0
345,4,시리즈,NNP,1,0
344,4,고객,NNP,1,0
343,4,기기,NNP,1,0
352,4,폴,NNP,1,0
351,4,욕,NNG,1,0
363,4,키,VV,1,0
354,4,카카오,NNP,1,0
355,4,버전,NNP,1,0
356,4,돌,VV,1,0
357,4,혹시나,MAG,1,0
358,4,겨우,MAG,1,0
359,4,금액,NNG,1,0
360,4,가지,VV,1,0
361,4,어휴,IC,1,0
362,4,심각,XR,1,0
340,4,숫자,NNP,1,0
364,4,핀테크,NNP,1,0
341,4,메뉴,NNP,1,0
353,4,통장,NNG,1,0
339,4,강,NNP,1,0
326,4,증상,NNG,1,0
315,4,개발,NNG,1,0
338,4,절차,NNG,1,0
316,4,앞,NNG,1,0
318,4,공동,NNG,1,0
319,4,연락,NNG,1,0
320,4,이름,NNG,1,0
321,4,남기,VV,1,0
322,4,매우,MAG,1,0
323,4,일일이,MAG,1,0
324,4,마찬가지,NNG,1,0
325,4,핸드폰,NNP,1,0
317,4,굿,NNG,1,0
335,4,현재,MAG,1,0
332,4,이용자,NNP,1,0
337,4,대체,NNG,1,0
327,4,쓰레기,NNP,1,0
334,4,공지,NNP,1,0
333,4,가장,MAG,1,0
336,4,중단,NNG,1,0
331,4,푸시,NNP,1,0
330,4,비하,VV,1,0
329,4,어렵,VA,1,0
328,4,방법,NNG,1,0
434,3,송금,NNG,1,0
425,3,심플,NNG,1,0
433,3,떨어지,VV,1,0
432,3,조,NR,1,0
431,3,말,NNG,1,0
430,3,상황,NNG,1,0
429,3,만,NR,1,0
428,3,밖,NNG,1,0
427,3,비대,NNP,1,0
414,3,오류로,NNP,1,0
420,3,괜찮,VA,1,0
424,3,장애,NNG,1,0
423,3,교체,NNG,1,0
422,3,기간,NNG,1,0
421,3,해지,NNP,1,0
419,3,메시지,NNP,1,0
418,3,묻,VV,1,0
417,3,간단,XR,1,0
416,3,현상,NNG,1,0
415,3,이상,XR,1,0
436,3,그대로,MAG,1,0
435,3,달,NNG,1,0
