,count,WORD,TAG,reinforcer,score
0,2467,하,VV,1,0
1,2194,좋,VA,1,0
2,1723,있,VV,1,0
3,1688,이,VCP,1,0
4,1642,토스,NNG,1,0
5,875,쓰,VV,1,0
6,854,편하,VA,1,0
7,849,사용,NNG,1,0
8,847,주,VX,1,0
9,826,없,VA,1,0
10,793,잘,MAG,1,0
11,788,안,MAG,1,0
12,770,앱,NNG,1,0
13,678,너무,MAG,1,0
14,643,되,VX,1,0
15,631,편리,NNG,1,0
16,572,보,VV,1,0
17,540,굿,NNG,1,0
18,537,안되,VV,1,0
19,520,주식,NNG,1,0
20,513,계좌,NNP,1,0
21,510,뜨,VV,1,0
22,474,왜,MAG,1,0
23,421,같,VA,1,0
24,378,않,VX,1,0
25,364,증권,NNG,1,0
26,362,업데이트,NNP,1,0
27,356,계속,MAG,1,0
28,352,다시,MAG,1,0
29,342,다,MAG,1,0
30,340,카드,NNG,1,0
31,326,송금,NNG,1,0
32,318,기능,NNG,1,0
33,311,돈,NNG,1,0
34,310,정보,NNG,1,0
35,305,지,VX,1,0
36,297,좀,MAG,1,0
37,296,확인,NNG,1,0
38,296,때,NNG,1,0
39,294,아니,VV,1,0
40,292,어플,NNG,1,0
41,288,계좌,NNG,1,0
42,282,게,NNG,1,0
43,275,있,VX,1,0
44,273,받,VV,1,0
45,248,나오,VV,1,0
46,246,만들,VV,1,0
47,235,많,VA,1,0
48,233,알리,VV,1,0
49,233,걸,VV,1,0
51,232,불편,NNG,1,0
50,232,은행,NNG,1,0
52,228,정말,MAG,1,0
53,226,연결,NNG,1,0
54,225,내역,NNG,1,0
55,225,오류,NNG,1,0
56,222,어떻,VA,1,0
57,221,번호,NNG,1,0
58,219,만보기,NNG,1,0
59,211,간편,XR,1,0
60,206,아주,MAG,1,0
61,204,드리,VV,1,0
62,204,안 되,VV,1,0
63,202,갑자기,MAG,1,0
64,201,인증,NNP,1,0
65,197,잔액,NNG,1,0
66,195,이용,NNG,1,0
67,194,모르,VV,1,0
68,194,가요,NNP,1,0
69,191,광고,NNG,1,0
70,187,오,VV,1,0
71,185,보이,VV,1,0
72,185,들어가,VV,1,0
73,183,이렇,VA,1,0
74,182,감사,NNG,1,0
75,181,보,VX,1,0
76,181,진짜,MAG,1,0
77,180,못,MAG,1,0
78,179,못하,VX,1,0
79,178,깔,VV,1,0
80,175,투자,NNG,1,0
81,174,가능,XR,1,0
82,172,수수료,NNP,1,0
83,171,더,MAG,1,0
84,163,알,VV,1,0
85,163,찾,VV,1,0
86,161,가입,NNG,1,0
87,161,최고,NNG,1,0
89,160,후,NNG,1,0
88,160,조회,NNG,1,0
91,159,금액,NNG,1,0
90,159,거래,NNG,1,0
92,158,비밀,NNG,1,0
93,156,사람,NNG,1,0
94,155,결제,NNG,1,0
95,154,자꾸,MAG,1,0
96,151,쉽,VA,1,0
97,150,금융,NNG,1,0
99,149,빠르,VA,1,0
98,149,추가,NNG,1,0
100,148,싶,VX,1,0
101,148,부탁,NNG,1,0
102,148,설치,NNG,1,0
103,147,친구,NNG,1,0
104,147,놓,VX,1,0
105,145,유용,XR,1,0
106,144,만,NR,1,0
107,144,그냥,MAG,1,0
108,143,나,VV,1,0
109,140,보내,VV,1,0
110,138,등록,NNG,1,0
111,134,누르,VV,1,0
112,133,많이,MAG,1,0
113,129,삭제,NNG,1,0
114,127,폰,NNG,1,0
115,127,서비스,NNG,1,0
116,126,가,VV,1,0
117,123,전,NNG,1,0
118,122,화면,NNG,1,0
119,119,비번,NNG,1,0
120,117,되,VV,1,0
121,115,고치,VV,1,0
122,114,지우,VV,1,0
123,113,문제,NNG,1,0
124,112,이체,NNG,1,0
125,109,제가,NNP,1,0
126,108,입력,NNG,1,0
129,107,바꾸,VV,1,0
127,107,하나,NR,1,0
128,107,안돼,VV,1,0
130,105,들,VV,1,0
131,105,시간,NNG,1,0
132,101,설정,NNG,1,0
133,99,개인,NNG,1,0
134,99,아니,MAG,1,0
135,97,해결,NNG,1,0
136,97,혜택,NNG,1,0
