,count,WORD,TAG,reinforcer,score
0,956,하,VV,1,0
1,583,이,VCP,1,0
2,562,안,NNG,1,0
3,510,되,VV,1,0
4,452,안,MAG,1,0
5,333,있,VV,1,0
6,300,은행,NNG,1,0
7,292,좋,VA,1,0
8,270,왜,MAG,1,0
9,264,사용,NNG,1,0
11,263,쓰,VV,1,0
10,263,어플,NNP,1,0
12,243,인증,NNP,1,0
13,229,뜨,VV,1,0
14,229,없,VA,1,0
15,217,다시,MAG,1,0
16,214,잘,MAG,1,0
17,206,오류,NNP,1,0
18,204,업데이트,NNP,1,0
19,199,주,VX,1,0
20,197,계속,MAG,1,0
21,188,우리은행,NNP,1,0
22,188,로그인,NNP,1,0
23,182,이체,NNG,1,0
24,160,이렇,VA,1,0
25,150,만들,VV,1,0
26,146,불편,NNG,1,0
27,144,않,VX,1,0
28,140,너무,MAG,1,0
29,139,못하,VX,1,0
30,135,확인,NNG,1,0
31,131,지문,NNP,1,0
32,131,때,NNG,1,0
33,128,등록,NNG,1,0
34,126,지,VX,1,0
35,124,실행,NNG,1,0
36,124,받,VV,1,0
37,121,같,VA,1,0
38,113,걸,VV,1,0
39,113,좀,MAG,1,0
40,111,깔,VV,1,0
41,111,번호,NNG,1,0
42,109,편하,VA,1,0
43,108,다,MAG,1,0
44,106,갑자기,MAG,1,0
45,103,편리,NNG,1,0
46,98,진짜,MAG,1,0
48,97,아니,VCN,1,0
47,97,보,VV,1,0
49,93,후,NNG,1,0
50,92,필요,NNG,1,0
51,90,정보,NNG,1,0
52,89,계좌,NNP,1,0
53,89,설치,NNG,1,0
54,87,게,NNG,1,0
55,85,문제,NNG,1,0
57,84,화면,NNG,1,0
56,84,바꾸,VV,1,0
58,83,지우,VV,1,0
59,81,나오,VV,1,0
60,78,나,VV,1,0
61,77,계좌,NNG,1,0
62,76,어떻,VA,1,0
63,73,자꾸,MAG,1,0
64,73,뱅킹,NNG,1,0
65,72,시작,NNG,1,0
66,70,누르,VV,1,0
67,70,가요,NNP,1,0
68,67,열리,VV,1,0
69,66,짜증,NNP,1,0
70,65,연결,NNG,1,0
71,63,삭제,NNG,1,0
72,63,들어가,VV,1,0
74,61,거래,NNG,1,0
73,61,에러,NNG,1,0
75,60,굿,NNG,1,0
76,59,접속,NNG,1,0
77,58,네트워크,NNP,1,0
78,57,보,VX,1,0
79,57,상태,NNG,1,0
80,57,알리,VV,1,0
81,57,이용,NNG,1,0
82,56,지금,MAG,1,0
83,56,금융,NNG,1,0
84,55,로그인,NNG,1,0
85,55,못,MAG,1,0
86,54,비밀,NNG,1,0
87,53,해결,NNG,1,0
88,53,가,VV,1,0
89,52,그렇,VA,1,0
90,52,있,VX,1,0
93,51,업데이트,NNG,1,0
92,51,간편,XR,1,0
91,51,오,VV,1,0
94,50,아니,MAG,1,0
95,48,변경,NNG,1,0
96,47,어쩌,VV,1,0
102,46,등록,NNP,1,0
106,46,모르,VV,1,0
105,46,더,MAG,1,0
104,46,접속,NNP,1,0
103,46,하나,NR,1,0
100,46,전,NNG,1,0
101,46,설정,NNG,1,0
99,46,처음,NNG,1,0
98,46,오늘,NNG,1,0
97,46,싶,VX,1,0
111,45,빨리,MAG,1,0
109,45,인식,NNP,1,0
110,45,공인인증서,NNP,1,0
108,45,알,VV,1,0
107,45,오,VX,1,0
112,44,정말,MAG,1,0
113,44,켜,VV,1,0
114,44,놓,VX,1,0
115,42,빠르,VA,1,0
116,42,가능,XR,1,0
117,42,사람,NNG,1,0
118,42,인식,NNG,1,0
119,42,방법,NNG,1,0
120,41,먹,NNG,1,0
121,41,하,VX,1,0
122,41,최악,NNG,1,0
123,41,나서,VV,1,0
127,40,개선,NNG,1,0
129,40,고치,VV,1,0
128,40,많,VA,1,0
126,40,시간,NNG,1,0
124,40,아주,MAG,1,0
125,40,주거래,NNG,1,0
130,39,말,VX,1,0
131,39,생체,NNG,1,0
132,39,그냥,MAG,1,0
133,38,기능,NNG,1,0
134,38,와이파이,NNP,1,0
135,38,발급,NNG,1,0
140,37,발생,NNG,1,0
143,37,드리,VV,1,0
142,37,가입,NNG,1,0
141,37,넘어가,VV,1,0
136,37,아예,MAG,1,0
139,37,입력,NNG,1,0
138,37,시도,NNG,1,0
137,37,보안,NNP,1,0
146,36,은행,NNP,1,0
147,36,며칠,NNG,1,0
144,36,데이터,NNG,1,0
145,36,걸리,VV,1,0
149,35,증,NNG,1,0
148,35,진행,NNG,1,0
150,34,멈추,VV,1,0
151,34,비번,NNG,1,0
152,34,감사,NNG,1,0
153,33,자주,MAG,1,0
154,33,급하,VA,1,0
155,32,보이,VV,1,0
156,32,오류,NNG,1,0
157,32,인증,NNG,1,0
158,32,로딩,NNP,1,0
159,32,부탁,NNG,1,0
160,32,느리,VA,1,0
161,32,자체,NNG,1,0
167,31,카드,NNG,1,0
166,31,리뷰,NNP,1,0
165,31,증서,NNP,1,0
164,31,바로,MAG,1,0
163,31,체인,NNP,1,0
162,31,보내,VV,1,0
168,30,삭제,NNP,1,0
169,30,없이,MAG,1,0
170,30,아깝,VA,1,0
171,29,공동,NNG,1,0
172,29,돈,NNG,1,0
173,28,인터넷,NNG,1,0
174,28,내역,NNG,1,0
175,28,많이,MAG,1,0
176,28,예,NNG,1,0
177,28,신분증,NNP,1,0
178,28,거지,NNG,1,0
183,27,페이,NNP,1,0
182,27,셀룰러,NNP,1,0
181,27,업무,NNG,1,0
179,27,타행,NNG,1,0
180,27,처리,NNG,1,0
184,26,이후,NNG,1,0
185,26,코드,NNP,1,0
186,25,말,NNG,1,0
187,25,입출금,NNG,1,0
188,25,메뉴,NNP,1,0
189,25,새로,MAG,1,0
190,25,통,NNG,1,0
195,24,개발,NNG,1,0
197,24,겁,NNG,1,0
196,24,창,NNG,1,0
198,24,바뀌,VV,1,0
194,24,개발자,NNP,1,0
192,24,제대로,MAG,1,0
191,24,생각,NNG,1,0
193,24,결제,NNG,1,0
206,23,폰,NNP,1,0
212,23,대체,NNG,1,0
211,23,카드,NNP,1,0
210,23,터치,NNP,1,0
209,23,고객,NNG,1,0
208,23,일,NNG,1,0
207,23,매번,MAG,1,0
205,23,비대,NNP,1,0
204,23,인,NNG,1,0
203,23,해도,NNP,1,0
202,23,무한,NNP,1,0
201,23,설치,NNP,1,0
200,23,아,IC,1,0
199,23,송금,NNG,1,0
218,22,통장,NNP,1,0
216,22,이유,NNG,1,0
217,22,도대체,MAG,1,0
215,22,들,VV,1,0
213,22,쉽,VA,1,0
214,22,참,MAG,1,0
219,21,비하,VV,1,0
220,21,바라,VV,1,0
221,21,휴대폰,NNG,1,0
222,21,한도,NNP,1,0
223,21,아이디,NNP,1,0
224,21,갈아타,VV,1,0
225,21,답답,XR,1,0
226,21,결국,MAG,1,0
227,21,끄,VV,1,0
233,20,기관,NNG,1,0
237,20,찾,VV,1,0
236,20,추가,NNG,1,0
234,20,서비스,NNG,1,0
235,20,뱅크,NNP,1,0
232,20,해보,VV,1,0
231,20,입금,NNG,1,0
228,20,복잡,XR,1,0
230,20,이,VV,1,0
229,20,폰,NNG,1,0
248,19,매우,MAG,1,0
247,19,조치,NNG,1,0
246,19,전화,NNG,1,0
245,19,패턴,NNP,1,0
244,19,다음,NNG,1,0
243,19,메시지,NNP,1,0
242,19,경우,NNG,1,0
241,19,모바일,NNP,1,0
240,19,금액,NNG,1,0
239,19,해지,NNG,1,0
238,19,실행,NNP,1,0
258,18,남기,VV,1,0
257,18,개설,NNG,1,0
256,18,버리,VX,1,0
254,18,최고,NNG,1,0
255,18,어렵,VA,1,0
252,18,이번,NNG,1,0
253,18,종료,NNG,1,0
250,18,불가,NNG,1,0
249,18,핸드폰,NNP,1,0
251,18,맞,VV,1,0
265,17,안내,NNG,1,0
268,17,답변,NNG,1,0
267,17,버전,NNP,1,0
266,17,센터,NNP,1,0
264,17,입력,NNP,1,0
263,17,버튼,NNP,1,0
262,17,회원,NNG,1,0
261,17,촬영,NNG,1,0
260,17,하루,NNG,1,0
259,17,틀리,VV,1,0
274,16,옮기,VV,1,0
277,16,항상,MAG,1,0
276,16,정도,NNG,1,0
275,16,시키,VV,1,0
271,16,관리,NNG,1,0
273,16,전혀,MAG,1,0
272,16,요즘,NNG,1,0
270,16,치,VV,1,0
269,16,넘,VV,1,0
288,15,이제,MAG,1,0
297,15,출금,NNG,1,0
296,15,전체,NNG,1,0
295,15,이건,NNP,1,0
294,15,이상,NNG,1,0
293,15,당장,NNG,1,0
292,15,신한,NNP,1,0
291,15,미치,VV,1,0
290,15,위하,VV,1,0
289,15,제거,NNG,1,0
280,15,뭘,IC,1,0
287,15,자동,NNG,1,0
282,15,하면,NNP,1,0
279,15,죽,VV,1,0
278,15,문구,NNP,1,0
281,15,쓰레기,NNP,1,0
286,15,최근,NNG,1,0
283,15,현상,NNG,1,0
284,15,남,NNP,1,0
285,15,지나,VV,1,0
309,14,고객,NNP,1,0
317,14,기존,NNG,1,0
316,14,가져오,VV,1,0
315,14,제로,NNP,1,0
314,14,아무것,NNG,1,0
313,14,반복,NNG,1,0
312,14,대기,NNP,1,0
311,14,제가,NNP,1,0
310,14,수정,NNP,1,0
308,14,속,NNG,1,0
299,14,찍,VV,1,0
306,14,아직,MAG,1,0
305,14,실패,NNG,1,0
304,14,똑같,VA,1,0
303,14,수정,NNG,1,0
302,14,알람,NNP,1,0
301,14,최신,NNG,1,0
300,14,번거롭,VA,1,0
307,14,오류로,NNP,1,0
298,14,이전,NNG,1,0
333,13,못쓰,VV,1,0
330,13,힘들,VA,1,0
331,13,동안,NNG,1,0
332,13,홍채,NNP,1,0
327,13,제일,NNG,1,0
334,13,대출,NNG,1,0
335,13,해지,NNP,1,0
336,13,만료,NNG,1,0
329,13,본인,NNG,1,0
328,13,갤럭시,NNP,1,0
319,13,수준,NNG,1,0
325,13,선택,NNG,1,0
324,13,스토어,NNP,1,0
323,13,설명,NNG,1,0
322,13,어제,NNG,1,0
321,13,문자,NNP,1,0
320,13,보니,NNP,1,0
318,13,클릭,NNP,1,0
326,13,증상,NNG,1,0
350,12,귀찮,VA,1,0
347,12,갱신,NNG,1,0
349,12,회사,NNG,1,0
348,12,메인,NNP,1,0
351,12,열기,NNG,1,0
352,12,넣,VV,1,0
345,12,제발,MAG,1,0
346,12,디지털,NNP,1,0
344,12,답,NNG,1,0
343,12,카카오,NNP,1,0
342,12,어찌,MAG,1,0
341,12,이랑,NNP,1,0
340,12,작동,NNP,1,0
339,12,다운로드,NNP,1,0
338,12,몇 번을,NNP,1,0
337,12,라고,NNP,1,0
377,11,달,NNG,1,0
371,11,공인,NNP,1,0
372,11,들어오,VV,1,0
373,11,날,NNG,1,0
374,11,이상,XR,1,0
375,11,심하,VA,1,0
376,11,표시,NNG,1,0
369,11,기본,NNG,1,0
378,11,직원,NNG,1,0
379,11,크,VA,1,0
380,11,훨씬,MAG,1,0
381,11,이미,MAG,1,0
382,11,상담,NNG,1,0
383,11,개인,NNG,1,0
370,11,쓰기,NNP,1,0
359,11,칼뱅,NNP,1,0
368,11,위,NNG,1,0
360,11,노트,NNP,1,0
354,11,종일,NNG,1,0
355,11,추천,NNG,1,0
356,11,우리카드,NNP,1,0
357,11,단계,NNG,1,0
358,11,떨어지,VV,1,0
353,11,글,NNG,1,0
367,11,페이지,NNP,1,0
361,11,통신,NNG,1,0
363,11,절차,NNG,1,0
364,11,예전,NNG,1,0
365,11,계속,NNG,1,0
366,11,하네,NNP,1,0
362,11,농협,NNP,1,0
407,10,시대,NNG,1,0
401,10,욕,NNG,1,0
402,10,편의,NNG,1,0
403,10,괜찮,VA,1,0
404,10,첨,NNG,1,0
405,10,따로,MAG,1,0
406,10,굳,VV,1,0
410,10,빼,VV,1,0
408,10,웹,NNG,1,0
409,10,저장,NNG,1,0
411,10,요구,NNG,1,0
412,10,꺼지,VV,1,0
413,10,소리,NNG,1,0
414,10,부분,NNG,1,0
400,10,언제,MAG,1,0
415,10,중요,XR,1,0
399,10,지금,NNG,1,0
398,10,적,VA,1,0
390,10,현재,MAG,1,0
397,10,잔액,NNG,1,0
385,10,살,VV,1,0
386,10,수수료,NNP,1,0
387,10,깔끔,XR,1,0
388,10,별로,MAG,1,0
389,10,월급,NNG,1,0
384,10,통장,NNG,1,0
391,10,내용,NNG,1,0
393,10,상황,NNG,1,0
394,10,조회,NNP,1,0
395,10,더럽,VA,1,0
396,10,방문,NNG,1,0
392,10,엄청,MAG,1,0
437,9,이름,NNG,1,0
433,9,멀,VA,1,0
434,9,안드로이드,NNP,1,0
435,9,친절,NNG,1,0
436,9,생기,VV,1,0
431,9,사용자,NNP,1,0
440,9,가장,MAG,1,0
438,9,문의,NNG,1,0
439,9,열,NNG,1,0
441,9,자리,NNP,1,0
442,9,튕기,VV,1,0
443,9,터지,VV,1,0
444,9,시스템,NNG,1,0
432,9,만족,NNG,1,0
424,9,화나,VV,1,0
430,9,그때,NNG,1,0
421,9,동일,XR,1,0
429,9,일시,NNG,1,0
416,9,업그레이드,NNP,1,0
417,9,만,NR,1,0
419,9,열,VV,1,0
420,9,강제,NNP,1,0
418,9,이해,NNG,1,0
422,9,비교,NNG,1,0
423,9,삼성,NNP,1,0
425,9,정상,NNG,1,0
426,9,과정,NNG,1,0
427,9,가끔,MAG,1,0
428,9,해서,NNP,1,0
474,8,다운로드,NNG,1,0
466,8,잦,VA,1,0
467,8,활성,NNG,1,0
468,8,이제,NNG,1,0
470,8,얼마나,MAG,1,0
471,8,잘못,NNG,1,0
472,8,대면,NNG,1,0
473,8,궁금,XR,1,0
481,8,직관,NNP,1,0
475,8,도돌이표,NNP,1,0
476,8,인지,NNP,1,0
477,8,안정,NNG,1,0
478,8,설정,NNP,1,0
479,8,환경,NNG,1,0
480,8,키,NNG,1,0
464,8,하,NNG,1,0
482,8,화나,NNP,1,0
465,8,스마트,NNP,1,0
469,8,사용자,NNG,1,0
463,8,가,VX,1,0
454,8,상품,NNG,1,0
462,8,맨날,MAG,1,0
446,8,대하,VV,1,0
447,8,없애,VV,1,0
448,8,뜸,NNG,1,0
450,8,불러오,VV,1,0
451,8,속도,NNG,1,0
452,8,광고,NNG,1,0
453,8,주소,NNP,1,0
449,8,어휴,IC,1,0
455,8,글씨,NNG,1,0
459,8,적금,NNP,1,0
461,8,이벤트,NNP,1,0
456,8,아래,NNG,1,0
460,8,끝,NNG,1,0
445,8,패드,NNP,1,0
458,8,곳,NNG,1,0
457,8,마지막,NNG,1,0
509,7,오픈,NNP,1,0
519,7,클라우드,NNP,1,0
510,7,거의,MAG,1,0
512,7,서버,NNP,1,0
513,7,불안,NNG,1,0
514,7,작동,NNG,1,0
515,7,딱,MAG,1,0
516,7,해당,NNG,1,0
517,7,복구,NNG,1,0
518,7,똑바로,MAG,1,0
511,7,반복,NNP,1,0
528,7,기다리,VV,1,0
520,7,아,NNP,1,0
521,7,심각,XR,1,0
522,7,조회,NNG,1,0
523,7,너무너무,MAG,1,0
524,7,물어보,VV,1,0
525,7,절대,NNG,1,0
526,7,플레이,NNP,1,0
527,7,서로,NNP,1,0
529,7,그만,MAG,1,0
530,7,장애인,NNP,1,0
507,7,스마트폰,NNP,1,0
508,7,완료,NNG,1,0
495,7,꼭,MAG,1,0
506,7,아무리,MAG,1,0
493,7,오래,MAG,1,0
505,7,느끼,VV,1,0
483,7,네트워크,NNG,1,0
484,7,모두,MAG,1,0
485,7,업,NNG,1,0
486,7,키,VV,1,0
488,7,잡,VV,1,0
489,7,마,NNG,1,0
490,7,장애,NNG,1,0
491,7,텐,NNG,1,0
492,7,검색,NNP,1,0
487,7,돌,VV,1,0
494,7,나가,VV,1,0
497,7,미,NNP,1,0
498,7,클릭,NNG,1,0
499,7,먹,VV,1,0
500,7,V3,NNP,1,0
501,7,구글,NNP,1,0
502,7,시간,NNP,1,0
503,7,시각,NNP,1,0
496,7,당황,NNG,1,0
504,7,실망,NNG,1,0
569,6,홈페이지,NNP,1,0
574,6,닫,VV,1,0
573,6,지원금,NNG,1,0
572,6,공지,NNP,1,0
571,6,문자,NNG,1,0
570,6,모양,NNG,1,0
565,6,생채,NNP,1,0
568,6,다르,VA,1,0
567,6,놓,VV,1,0
566,6,이,NNP,1,0
564,6,커서,NNP,1,0
563,6,사진,NNG,1,0
576,6,달,VV,1,0
575,6,망하,VV,1,0
588,6,연락처,NNG,1,0
577,6,둘,NR,1,0
578,6,프로그램,NNG,1,0
579,6,새롭,VA,1,0
581,6,로그,NNP,1,0
582,6,참고,NNG,1,0
583,6,끊,VV,1,0
584,6,테스트,NNP,1,0
585,6,얼른,MAG,1,0
586,6,전부,MAG,1,0
587,6,항목,NNG,1,0
589,6,멀쩡히,MAG,1,0
590,6,한눈,NNG,1,0
561,6,마찬가지,NNG,1,0
562,6,원래,NNG,1,0
580,6,초기,NNG,1,0
560,6,니다,NNP,1,0
544,6,신규,NNG,1,0
559,6,예전,NNP,1,0
532,6,사항,NNG,1,0
533,6,이리,MAG,1,0
534,6,밀리,VV,1,0
535,6,다운,NNP,1,0
536,6,어떡하,VV,1,0
538,6,무조건,MAG,1,0
539,6,크기,NNG,1,0
540,6,팝,NNG,1,0
541,6,덕분,NNG,1,0
531,6,쓰레기,NNG,1,0
542,6,굉장히,MAG,1,0
543,6,멀쩡,XR,1,0
537,6,비,NNG,1,0
545,6,폰뱅킹,NNG,1,0
553,6,푸시,NNP,1,0
546,6,뒤,NNG,1,0
558,6,리,NNP,1,0
557,6,진심,NNP,1,0
556,6,조금,MAG,1,0
554,6,문,NNG,1,0
555,6,직접,MAG,1,0
552,6,점점,MAG,1,0
551,6,국민은행,NNP,1,0
550,6,맞추,VV,1,0
549,6,해주시,NNP,1,0
548,6,하나은행,NNP,1,0
547,6,가야,NNP,1,0
647,5,이이,NNP,1,0
639,5,관리자,NNP,1,0
646,5,기업은행,NNP,1,0
645,5,잠그,VV,1,0
644,5,끌,VV,1,0
643,5,숫자,NNP,1,0
641,5,피싱,NNP,1,0
640,5,영업점,NNG,1,0
632,5,보안,NNG,1,0
638,5,가지,VV,1,0
637,5,운영,NNG,1,0
636,5,그대로,MAG,1,0
635,5,홈,NNG,1,0
634,5,눌리,VV,1,0
633,5,까다롭,VA,1,0
631,5,통하,VV,1,0
649,5,생성,NNG,1,0
648,5,건지,VV,1,0
664,5,중지,NNG,1,0
650,5,충돌,NNG,1,0
660,5,아침,NNG,1,0
667,5,겁나,VV,1,0
666,5,토스,NNG,1,0
665,5,뉴,NNG,1,0
629,5,별점,NNG,1,0
663,5,밥,NNG,1,0
662,5,기종,NNG,1,0
661,5,달,VX,1,0
659,5,아쉽,VA,1,0
651,5,다운,NNG,1,0
658,5,인터페이스,NNP,1,0
657,5,짓,NNG,1,0
656,5,매일,MAG,1,0
655,5,간단,XR,1,0
654,5,장난,NNG,1,0
653,5,깔리,VV,1,0
652,5,줄이,VV,1,0
630,5,두,VX,1,0
642,5,갖,VV,1,0
628,5,액션,NNP,1,0
609,5,국민,NNG,1,0
607,5,찾아보,VV,1,0
606,5,웬만,XR,1,0
605,5,굳이,MAG,1,0
604,5,나쁘,VA,1,0
603,5,완전,NNG,1,0
602,5,개판,NNG,1,0
601,5,사랑,NNG,1,0
600,5,보통,MAG,1,0
599,5,신뢰,NNG,1,0
598,5,하얗,VA,1,0
596,5,반응,NNG,1,0
595,5,해달,NNP,1,0
594,5,유용,XR,1,0
593,5,낫,VA,1,0
592,5,문제 해결,NNP,1,0
591,5,버,NNP,1,0
627,5,경험,NNG,1,0
608,5,머니,NNG,1,0
597,5,업체,NNG,1,0
610,5,충돌,NNP,1,0
619,5,순간,NNG,1,0
626,5,응답,NNG,1,0
611,5,해,NNG,1,0
625,5,포기,NNG,1,0
624,5,은,NNP,1,0
622,5,인출,NNG,1,0
621,5,요청,NNG,1,0
620,5,캐시,NNP,1,0
623,5,어제,MAG,1,0
618,5,키보드,NNP,1,0
613,5,얼,NNG,1,0
617,5,늦,VA,1,0
616,5,컴퓨터,NNG,1,0
615,5,게임,NNP,1,0
614,5,작,VA,1,0
612,5,막히,VV,1,0
740,4,같이,MAG,1,0
741,4,환장,NNG,1,0
742,4,링,NNG,1,0
743,4,일일이,MAG,1,0
744,4,생년월일,NNG,1,0
746,4,바쁘,VA,1,0
745,4,체크카드,NNP,1,0
749,4,봄,NNG,1,0
747,4,네이버,NNP,1,0
748,4,지속,NNG,1,0
738,4,초과,NNG,1,0
750,4,타,VV,1,0
739,4,방안,NNG,1,0
731,4,트,VV,1,0
737,4,맘,NNG,1,0
736,4,형편없,VA,1,0
735,4,해진,NNP,1,0
734,4,발전,NNG,1,0
733,4,폐기,NNG,1,0
732,4,디자인,NNP,1,0
730,4,거도,NNP,1,0
729,4,한심,XR,1,0
728,4,만족,NNP,1,0
727,4,끝나,VV,1,0
752,4,1월 2일,NNP,1,0
726,4,다시,VV,1,0
751,4,성공,NNG,1,0
771,4,어쩌고저쩌고,MAG,1,0
753,4,환경,NNP,1,0
767,4,서,VV,1,0
724,4,난감,XR,1,0
778,4,부팅,NNP,1,0
777,4,메일,NNP,1,0
776,4,자리,NNG,1,0
775,4,어머니,NNG,1,0
774,4,해외,NNG,1,0
773,4,손,NNG,1,0
772,4,분도,NNP,1,0
770,4,결과,NNG,1,0
769,4,모드,NNP,1,0
768,4,젤,NNG,1,0
766,4,갈,VV,1,0
754,4,필수,NNP,1,0
765,4,배,NNG,1,0
764,4,어둡,VA,1,0
763,4,싫,VA,1,0
762,4,진심,NNG,1,0
761,4,상담원,NNG,1,0
760,4,성질,NNG,1,0
759,4,실시간,NNP,1,0
758,4,혹시,MAG,1,0
757,4,신경,NNG,1,0
756,4,사라지,VV,1,0
755,4,새해,NNG,1,0
725,4,투자,NNG,1,0
719,4,오,NNP,1,0
723,4,어,NNG,1,0
694,4,증권,NNG,1,0
692,4,나타나,VV,1,0
691,4,입장,NNG,1,0
690,4,분명,MAG,1,0
689,4,피드백,NNP,1,0
688,4,늘,MAG,1,0
687,4,제한,NNG,1,0
686,4,사,NNG,1,0
685,4,손가락,NNP,1,0
684,4,실명,NNP,1,0
683,4,믿,VV,1,0
682,4,스트레스,NNG,1,0
681,4,막,VV,1,0
680,4,신한은행,NNP,1,0
679,4,동일,NNG,1,0
678,4,배우,VV,1,0
677,4,메모,NNG,1,0
676,4,강제,NNG,1,0
675,4,잔고,NNG,1,0
674,4,급여,NNG,1,0
673,4,기억,NNG,1,0
671,4,금방,MAG,1,0
670,4,퇴보,NNG,1,0
669,4,만나,VV,1,0
668,4,중간,NNG,1,0
722,4,터치,NNG,1,0
693,4,수시로,MAG,1,0
672,4,그레이드,NNP,1,0
695,4,참,VV,1,0
709,4,어쩌라고,NNP,1,0
721,4,황당,XR,1,0
720,4,내일,NNG,1,0
696,4,작업,NNG,1,0
717,4,정보,NNP,1,0
716,4,주님,NNG,1,0
715,4,별명,NNP,1,0
714,4,증권사,NNG,1,0
713,4,도저히,MAG,1,0
712,4,드,NNP,1,0
711,4,예정,NNG,1,0
710,4,정지,NNG,1,0
718,4,뽑,VV,1,0
708,4,보이스,NNP,1,0
701,4,말씀,NNG,1,0
707,4,떠나,VV,1,0
698,4,열,NR,1,0
700,4,연동,NNP,1,0
697,4,얼마,NNG,1,0
699,4,들,VX,1,0
702,4,돌아가,VV,1,0
703,4,기분,NNG,1,0
704,4,올리,VV,1,0
705,4,중단,NNG,1,0
706,4,딱히,MAG,1,0
913,3,후회,NNG,1,0
906,3,담당자,NNG,1,0
907,3,키우,VV,1,0
908,3,뺑뺑이,NNP,1,0
909,3,혜택,NNG,1,0
910,3,카메라,NNG,1,0
911,3,메,NNG,1,0
912,3,전환,NNG,1,0
905,3,낮,VA,1,0
918,3,벌써,MAG,1,0
914,3,최종,NNG,1,0
915,3,우,NNG,1,0
916,3,개편,NNG,1,0
917,3,유효,NNG,1,0
919,3,정,NNG,1,0
920,3,저녁,NNG,1,0
921,3,돌고,NNP,1,0
922,3,그래요,IC,1,0
923,3,파란색,NNG,1,0
924,3,안전,NNG,1,0
903,3,먹히,VV,1,0
925,3,내,VV,1,0
904,3,그런지,NNP,1,0
892,3,창구,NNG,1,0
902,3,가인,NNP,1,0
901,3,테스트,NNG,1,0
927,3,민,NNP,1,0
880,3,용량,NNP,1,0
881,3,값,NNG,1,0
882,3,지도,NNP,1,0
883,3,일어나,VV,1,0
884,3,오후,NNG,1,0
885,3,점검,NNP,1,0
886,3,방식,NNG,1,0
887,3,사인,NNP,1,0
888,3,주민,NNG,1,0
889,3,어이없,VA,1,0
890,3,지시,NNG,1,0
891,3,어이,NNP,1,0
893,3,플러스,NNP,1,0
894,3,대기,NNG,1,0
895,3,그리,MAG,1,0
896,3,개,NNG,1,0
897,3,동작,NNG,1,0
898,3,업그레이드,NNG,1,0
899,3,돌리,VV,1,0
900,3,밖,NNG,1,0
926,3,상단,NNG,1,0
954,3,무한 루프,NNP,1,0
928,3,해킹,NNP,1,0
953,3,칸,NNG,1,0
956,3,조,NR,1,0
957,3,돌아오,VV,1,0
958,3,하지,NNP,1,0
959,3,구,NNG,1,0
960,3,간소,XR,1,0
961,3,읽,VV,1,0
962,3,목록,NNG,1,0
963,3,쏘,VV,1,0
964,3,특히,MAG,1,0
965,3,일단,MAG,1,0
966,3,허구,XR,1,0
967,3,매체,NNP,1,0
968,3,톡,MAG,1,0
969,3,구성,NNG,1,0
970,3,울,NNG,1,0
971,3,폴,NNP,1,0
972,3,풀,VV,1,0
973,3,기업,NNG,1,0
974,3,얻,VV,1,0
975,3,주로,MAG,1,0
878,3,길,NNG,1,0
955,3,반영,NNG,1,0
952,3,또다시,MAG,1,0
929,3,진동,NNP,1,0
951,3,한참,NNG,1,0
930,3,버퍼,NNP,1,0
931,3,물론,MAG,1,0
932,3,명의,NNG,1,0
933,3,출시,NNG,1,0
934,3,얘기,NNG,1,0
935,3,병,NNG,1,0
936,3,이동,NNG,1,0
937,3,하나,NNP,1,0
938,3,파이,NNP,1,0
939,3,흑,NNG,1,0
940,3,거치,VV,1,0
941,3,즉시,MAG,1,0
942,3,구분,NNG,1,0
943,3,서도,NNP,1,0
944,3,잘못,MAG,1,0
945,3,다섯,NR,1,0
946,3,저번,NNG,1,0
947,3,좋아하,VV,1,0
948,3,하나님,NNP,1,0
949,3,라면,NNP,1,0
950,3,큰일,NNG,1,0
879,3,글자,NNG,1,0
860,3,솔직히,MAG,1,0
877,3,지점,NNP,1,0
802,3,코로나,NNP,1,0
804,3,정해,NNP,1,0
805,3,학생,NNG,1,0
806,3,화가,NNG,1,0
807,3,상품권,NNP,1,0
808,3,유지,NNG,1,0
809,3,시도,NNP,1,0
810,3,특정,NNG,1,0
811,3,세상,NNG,1,0
812,3,권한,NNG,1,0
813,3,관련,NNG,1,0
814,3,존재,NNG,1,0
815,3,아래쪽,NNG,1,0
816,3,입,NNG,1,0
817,3,혹시나,MAG,1,0
818,3,유독,MAG,1,0
819,3,평가,NNG,1,0
820,3,작성,NNG,1,0
821,3,고민,NNG,1,0
822,3,농협,NNG,1,0
823,3,한도,NNG,1,0
824,3,대,VV,1,0
803,3,따,VV,1,0
801,3,전액,NNG,1,0
826,3,최초,NNG,1,0
800,3,별도,NNG,1,0
876,3,기록,NNG,1,0
779,3,융,NNP,1,0
