,comment
0,중간 로고 로고K에서 로고M으로 바꾸라고 결정한 사람은 진짜 뚝배기 두 번 깨야 한다 생각함 누가 봐도 로고K가 케이뱅크라는 걸 직관적으로 나타내고 좋은데 메이크 머니는 무슨  케이뱅크 이용자들도 로고K가 더 낫다고 하고 타 은행 이용자들이 케이뱅크 쓰는 사람한테 입금할 때도 안 그래도 케이뱅크를 잘 모르는데 로고가 로고K가 아닌 로고M 글자로 되어 있어서 한참 찾게 됨 사용자에 대한 배려가 1도 없는 디자인과 실용성 심미성도 1도 없는 디자인
1,아예 케이뱅크가 다운로드가 되지 안 되며 안에 들어갔는데 국내 유심이 아니라고 하면서 가입 거부를 했습니다 이건 차별 아닌가요
2,계좌 만든 이후 쭉 잘 쓰고 있는데 이번 브랜드 리뉴얼만큼은 이해가 안 가서 리뷰 남깁니다 이거 진짜 케이뱅크 맞죠 로고M을 로고로 만드는 게 정말 맞는다고 생각한 건지 인터넷에서 고객들 반응은 보고 계시는 거죠 실제 은행 지점 없는 인터넷 기반 은행인데 이런 리뉴얼은 눈에 잘 들어오지도 않고 공식 앱이 맞는지 의심까지 하게 만드는 마이너스적인 행보라고 생각합니다 진짜 무슨 모르는 사이에 이상한 어플이라도 깔린 줄 알았습니다 케이와 엠이 대체 무슨 관련이 있다고 케이뱅크가 로고M을 로고로 합니까
3,좋아요
4,로고 색 바꿔주세요
5,로고M 케이뱅크가 뭐임 로고M 하니까 현대카드만 생각남 이전께 더 나음 앱 아이콘 색도 구림
6,못 알아보겠다 저 표시가 케이뱅크인지
7,잘 쓰고 있긴 하나 플러스 박스에 더하기하는 금액이 만 원단위라서 50만 원만 되더라도 몇 번을 더 눌러야 하는지 그 전이 더 나은 것 같네요 카카오뱅크 세이프 박스처럼 금액을 직접 기입하는 게 더 편해요 그리고 그전 케이뱅크 로고 가 더 눈에 띄어요
8,업데이트 이후 어플 로고 너무 이상하고 입출금 알림도 바로바로 안 오고 한 번에 밀려서 오고 다른 은행은 잘 오는데 케이뱅크만 안되는 거 보니 문제가 많은데 문의 메일 보내도 다 아는 내용하라는 데로 해도 해결이 안 돼요
9,해외 결제 취소가 평소엔 100원 이하의 금액이 차이 났는데요 갑자기 7천 원 넘게 나가서 문의를 넣었지만 무작정 환율 변동 때문이라고 설명하는 답변을 받았습니다 취소 처리기간 동안 환율 변동이 거의 없었고 이전에 있던 환율 변동폭과 비교하면 오히려 적은 편이었습니다 막무가내로 대응하는 케이뱅크 다신 안 씁니다
