,comment
0,이틀째 간편 로고인부터 로딩되는 것만 나오고 돼질 않아서 너무 불편합니다
1,좋아요 
2,이체정보 확인 시 내 계좌 및 받는 계좌 입력 시 키보드가 올라오면서 입력창이 사라지는 현상 확인 부탁드립니다
3,장난치나 비대몀계좌를 만들고 영업점 가서 출금 계좌를 만들으면 뭐 하러 비대면 계좌를 만듭니까 진짜 어쩔 수 없이 써야 해서 계좌 만드니깐 월탱이가 없네요 그럴 거면 아예 계좌 만드는 걸 없애든가 뭐 하는 겁니까 그럴 거면 모바일뱅킹을 만들지 마세요  급하게 입금해서 출금하려니깐 영업점 방문 하아 욕이다 나오네
4,처음에 서툴러서 조금은 짜증이 났지만 이젠 사용하기에 익숙해지니 괜찮습니다
5,사용하기 쉽고 빠르네요
6,편리하고도 좋아요
7,별 0개 못 주나 비대면 신규 가입은 본인 명의 핸드폰과 신분증만 있으면 된다더니 농협 보안카드 없으면 가입도 못하게 해놨네
8,사용하기 편리했어요
9,좋아요
10,모바일 opt하려니까 로그인하라길래 했는데 20번 해도 로그인이 안 되네 무슨
11,아래 여러 사람이 적으셨는데 이틀 전까지 잘 들어가지다가 지금은 무한 로딩이 걸리네요 다시 깔아 보고 해도 동일 현상입니다
12,이거 왜 사용 안 하는데 배터리 엄청 먹네요 너무 심하네요 5시간 사용했는데 15나
13,입출금 알림이 안 옵니다 몇 달 전에 처음 설정하고 테스트할 때는 잘 왔는데 요즘은 아예 안 오고 있어요 입출금 알림 계좌 설정도 했고 설정에서 필수 정보 push 수신 설정도 돼있는 상태입니다 같은 증상이신 분들 많은 것 같은데 복붙 답변만 달리고 있네요 설정 다 해놓은 상태이니 해결 방법 좀 부탁드립니다 ;; 해결되면 별점 올릴게요
14,엄연히 수수료 내고 이용하는데 왜 이렇게 광고가 많아 도듁놈들아
15,왜 안 들어가지냐고
16,좋아요
17,로딩에서 화면이 안 넘어가는데요
18,좋다
19,어플 잘 이용하다가 안돼서 앱 삭제하고 다시 깔아도 안되네요 원래도 어플이 빠른 편도 아니었는데 이제는 연결도 안 되고
20,급하게 처리하거나 조회할 때 너무 좋은 듯
21,민증 사진 하라는 대로 어두운 배경에서 찍었는데도 왜 계속 다시 찍으라는 건지
22,로그인이 안 되고 무한 로딩이 계속 지속됩니다
23,열리지가 않습니다 로딩만 계속되고요
24,쓰레기 앱
25,리뷰 지워도 본 붙은 쉽지 남들 다 되는데 명절이라고 제 혼자 안됨
26,아니 보안카드 분실신고하려면 간편 로그인해야 하고 장기휴면 풀려면 결국 보안카드로 로그인해야 되는 이 개떡같은 시스템은 뭐임
27,간편 인증하려니까 계좌번호랑 비번 입력하라고 하는데 비번은 외우기 쉽다 쳐 누가 계좌번호를 외우냐고 그런 게 싫어서 간편 인증하는 건데
28,파일 클리너고 청소 앱 없는데요 없는데도 자꾸 없어져요
29,갓농협 차냥해
30,불편합니다 농협 앱 몇 개 깔아야 합니까
31,모든 은행 어플 중에 제일 구림 사용자 분노 유발 물
32,로그인하기가 너무 힘드네요 몇 번이나 오류가 나는지 모르겠어요
33,예전에 등록했다가 폰 다시 밀고 깔았더니 다시 가입하라고 하네요
34,좋다
35,에이 진짜 올인 뱅크는 뭐고 이건 뭐야 좀 하나로 좀 해라
36,잘 쓰고 있습니다 개선되어야 할 부분이 몇 가지 보이는데요 이체할 때 금액 입력하는 키보드가 너무 작아요 그리고 적금계좌도 메인화면에서 확인할 수 있도록 해주세요 그 정도면 완벽해요
37,좋아요
38,좋아요
39,가입이 계좌 계설이 왜 안 돼요 영업점을 방문하라니 이럴 거면 왜 만듦
40,사진 초점이 안 맞는다고 자꾸 떠서 짜증 나요 도대체 초점이 어떻게 맞추라는 건지
41,다 좋은데 왜 이렇게 이용 못하는 시간이 자주 뜨나요
42,정말 유용한 앱입니다
43,진짜 우리나라 은행 어플 중 최악 별 하나도 아까움
44,아니 개 같은 거 팝업은 맨날 쳐 다른 걸로 맨날 뜨네요 3일 안 보기가 소용이 없어요 화나게 어차피 아무도 안 하는데 광고 좀 그만 때리세요
