,comment
0,암호 패턴은 왜 지나간 자리가 보이나요 _
1,뭡니까 6월에 앱 깔고 오류 나서 은행서 문의하고 다시 깔아 쓰다가 최근에 또 오류 나서 삭제하고 다시 쓰는데 안되네요 쓰지 말까요
2,어느 날 갑자기 미계약 이용자라고 로그인 막히고 이유도 몰라서 회원 가입을 하려니까 그것도 인식을 못 하고 정말 시간만 버리고 답답하고 화나요
3,계좌개설하는데 영업점명과 직원명이 있어야 한다는데 처음 어플 설치하는데 계좌도 있고 한데 뭐가 이리 복잡할까요 타은행 사용 안 하는 것도 아니고 문의에 답변 있다고 하더니 답변이 없고
4,다운로드가 안돼요 버퍼링만 현재 3시간째입니다
5,계속 사용하던 것인데 왜 이리 복잡한가요 내일 다 정리하고 거래를 안 하고 싶어지네요 
6,살다가 아직도 타행 이체 때 수수료 받는 어플은 우리은행이 최초일 듯
7,좋습니다 문의하나 할게요 타인 명의 휴대폰 이용 중 계좌 거래 가능한가요
8,우리 페이 등록할 때 버퍼링 어류 나오고 본인 인증에 이름이 다 쓰이지가 않아요 지금 이거 때문에 한 수업의 학점을 받을 수 없게 됐어요 좀 고쳐주세요
9,Youth otto7y58man is used is 8t
10,정확하고 빠르게 해결해주세요 돈을 적게 통장에 있는 고객도 잘 해주세요
11,좋아요 ☆☆☆☆☆
12,아주 좋아요 긴요하게 잘 사용하고 있답니다
13,알 수 없는 오류가 발생했습니다 255라고 계속 뜨면서 로그인이 한 번에 절대 안 됨 네가 모르면 누가 아냐
14,자세한 설명으로 이해가 잘 됩니다
15,좋습니다
16,왜 인증 과정을 이따위로 만들어놨는지 모르겠네요 인증방법 중 하나를 모르면 다른 방법을 통해 인증을 가능하게 해야지 a를 몰라서 b로 하려고 했더니 b를 하려면 a를 알아야 한다 그러고 a를 알려면 또 b를 알아야 한다고 하고 그래서 a 알려고 고객센터 물어보니까 무조건 영업점 방문해야 한다고 하고 직업 특성상 당장 방문할 수가 없는데 통장을 당장 사용해야 하고 이렇게 어처구니 없이 만들어놓으면 어떡합니다 타 은행처럼 다른 인증수단을 가능하게 하던가 타 기관 인증서로 그냥 가능하게 하던가 좀 사용 가능하게 수정 바랍니다
17,위젯 추가 반영해주셔서 감사합니다∼ 그런데 4×2 말고 4×1로 해주시면 안 될까요∼ 자리를 많이 차지해서요
18,뱅킹 소문자 대문자 쓸 수 있게 해주세요 아이디가 비밀번호 소문자인데 자꾸 쓰려고 하면 대문자로 바꿔요
19,제로 페이 쓰려고 하는데 도무지 알 수가 없네
20,별 한 개도 아까움 신한 쓰다 옮겼는데 UI 프로세스 총체적 난국임 너무너무 불편
21,지우고 깔아도 웹 액션 오류 떠요 언제 고쳐져요
22,결제 페이지는 안 뜨고 qr코드는 인식도 안되고
23,아무리 제대로 회원가입 신분증 사진을 찍어서 인증을 해도 얼굴이 확인 안됐다고 하고 은행원도 계속 안돼서 계좌도 못 만들고 짜증 나네요
24,인증서 인식이 전혀 안되네요 해지도 안되고 변경도 안되고 다른 로그인도 못 하게 되고  여러 앱들을 쓰지만 농협보다도 안 좋네요 하아 회사에서 쓰는 것만 아니면 어휴
25,왜 제로 페이 접속이 불가능하죠
26,댓글 달자마자 답글 빠르게 해주셔서 해결했네요 감사합니다 오래 쓸게요
27,어플에서 web action 처리 후 오류가 발생했다고 자꾸 나오는데 해결 방법이 있나요 어플 내 고객상담으로 해결하려고 하였으나 저 오류로 고객상담이 안 켜집니다
28,다른 은행 어플은 업데이트 별로 안 하는데 우리은행은 들어갈 때마다 업데이트해야 하네요 
29,WebAction 에러요 맵다 시 깔았는데도 나와서 보니까 수동으로 검색하니 업데이트가 또 뜨네요 업데이트 이후 현상 없어졌어요
30,제가 사용하는 은행 중 가장 불편합니다 모바일로 더 편리하게 간편하게 이용하고 싶어서 어플 깔고 사용하는 건데요 우리은행 모바일 어플은 정말 최악이어요 하나은행 어플 한번 다녀와보시길 추천드립니다 전 100 고객이고요 진심입니다 하나은행 모바일 시스템은 정말 간편하기도 하지만 참 심플합니다
31,그동안 온 뱅킹 잘 이용했었는데요 갑자기 상단 메뉴 중 검색 제로 페이 공지 버튼과 하단 메뉴 중 자산 메뉴 그 외 다른 화면에서도 클릭 시 오류메시지가 뜹니다 앱을 재설치해보았는데도 그런데요 해결 방법을 알 수 있을까요 WebAction 처리 중 오류가 발생하였습니다 이 문구입니다
32,홍채인증이 만료돼서 다른 방법으로 로그인하려는데 어떤 방법을 선택하던 마지막에 기존의 생체 인증을 서비스 해지 또는 지문등록하라고 뜨고 access denied 뜨고 무한 도돌이표네요 한 30분 스트레스받다가 그냥 지우고 다시 까는 중인데 무슨 이따위 버그가 다 있습니까
33,메뉴를 선택하면 Webaction 처리 중 오류가 발생했습니다 팝업이 계속 뜹니다 메뉴 이용을 할 수가 없네요
34,출금 내역을 파란색으로 입금내역을 빨간색으로 해주세요 전혀 직관적이지 않습니다
35,재설치해도 webaction 오류 계속 뜨네요 업데이트 후 이상합니다
36,쉽게 잘 사용
37,좋아요
38,사용하기 편리해요
39,자동 로그인 기능 넣어주세요
40,오늘 webaction 표시 중 오류가 발생했다는 메시지가 계속 뜨네요 그러면서 또 계속하면 사용이 되고
41,웹 액션 처리할 수 없다고 계속 떠서 이용이 안되는데 왜 그러는 걸까요
42,웹 액션 삭제하고 깔아도 똑같이 안되네요 은행 어플인데 이렇게 간단한 오류 하나 수정 못하고 있는 개발자분들 대단하다
43,제로 페이 이거 빨리 써야 하는데 왜 제로 페이 등의 기능을 사용하려고 하면 웹 액션 처리 중 오류가 발생했습니다가 뜨나요 저번엔 다른 이유로 안되더니 왜 이렇게 앱의 질이 안 좋나요 또 다른 어플들보다 압도적으로 느리고요
44,WebAction 중 오류 이거 어떻게 안 생기나요 이거 때문에 할 일도 못하고 있습니다
45,상품만 들어가면 웹 액션 처리 중 오류라고 뭐 보이질 않아요 채팅 문의하니까 전화해야 한다는데 연결도 쉽지 않고요
46,Webaction 처리 중 오류가 발생한다고 자꾸 뜨는데요 업무처리도 못하고 짜증
47,터치만 하면 오류라고 뜨니 뭘 할 수가 없어요 어떡하라는 거죠;;
48,Web action 오류 발생이 계속 떠서 금융업무 진행 불가합니다 오류 좀 수정해주세요
49,Webaction 처리 중 오류가 발생하였다고 뜹니다 이런 경우 어떻게 해야 하나요
50,WebAction 처리 중 오류 메시지가 계속 등장함 머 되는 게 없음 그냥 삭제함
51,장난하는 것도 아니고 등록하는데 도돌이표만 몇 번 째인지 18
52,종 모양 표시를 눌렀는데 WebAction 처리 중 오류가 발생하였습니다가 계속 떠요 왜 그런 거예요
53,최고예요
54,어플 오류인지 webatcion 처리 중 오류가 발생했다고 하고 아무것도 실향이 안됩니다
55,간편하고 빨라서 좋아요
56,업데이트 가 너무 자주 되며 오늘 같은 날 은 자동이체 가 안되네요
57,간혹가다 너무 느려짐 신한이나 칼뱅이랑 비교하면 속도 문제 있음
58,좋아요
59,우리인 뱅킹이랑 원터치 알림 메모랑 호환되면 더 좋을 것 같아요
60,우리은행 때문에 학자금 대출 잘 받았었습니다 Thank you
61,아주 좋아요
62,심각하게 느려진 앱 직관성을 없앤 시대에 비껴간 홈 화면
63,실시간 입출금 변동된 것 갱신이 안되고 이전 금액 그대로 나옴 이런 은행 앱 처음 봄
64,앱이 쓰레기네요 금융 인증서 등록이 안돼서 국민은행으로 갈아탑니다 우리은행이 메인이었는데 도저히 못쓰겠네요
65,즈 드
66,사용하기 편해요
67,편리하고 잘만 되는데 를 딱 들 자기들이 못하는 거 어플탓좀 배울 생각을 해라 안된다고 지론들 하지 말고 늙은이들아 부들거리면 네 얘기가 맞다
68,괜찮아요
69,편리함
70,사용이 간편해서 굿
71,아오 개불 편하네 진짜 글 안 쓰는데 진짜 암 걸리겠네
72,일반인이 알아보기 쉽게 만들었으면 더 좋았겠네요 보통 눈동자 표시로 돼있지 이건 너무 어렵죠 그런 게 톱니바퀴 안에 있을 줄 어떻게 알아요 봤다고 해도 입력값 표시가 뭔 줄 알아요 보안 키패드가 뭔지도 모르는 사람도 있을 텐데요 좀 쉽게 만드세요 이런데 문의 글 답변하시는 것도 인력 낭비 아닌가요 저는 시간 낭비고요 환경설정→보안 키패드 설정→입력값 표시 off 이것일 줄이야
73,좋아요
74,진짜 대 환장 어플이네요 타 기관 인증서 등록하려니까 생체로 그인 해지 또는 지문등록해야 한다면서 페이지 안 넘어가고 그래서 생체 로그인 해지를 눌러도 지문등록을 눌러도 공인인증서 로그인 쪽으로 넘어가고 로그인하려니까 타 기관 인증서 등록부터 하라고 하고 무한 반복 우리은행 진짜 대박이네요
75,왜 실행하지 않았는데 자꾸 멋대로 구글 스토어를 띄우나요 해킹인지 의심스럽네요
76,출금 내역이 14일에서 멈춰 있고 14일 출금 금액도 딱 하나만 뜨는 데 계속 이 상태
77,다른 은행에 비해 앱 사용 번 거스럽고 불편함
78,낚시 앱제 개인 정보 절차 밟은 것들과 신분증 제출까지 한 거 고발하기 전에 해지시켜주세요
79,비대면 확인 기능 진심 최악 이렇게 안 되는 곳 처음 봐요
80,전화연결도 안 되고 상담원도 불친절
81,잘 사용하고 있습니다
82,편리합니다
83,좋아요
84,버전 뭐임 왜 이렇게 다름
85,증권사 계좌 추가하는데 인증 전화만 받으면 앱이 강제 종료됩니다 멍청한 개발자들 덕분에 제 계좌에 1원씩 추가되네요 이러다 치킨도 사 먹겠어요
86,어제 바빠서 오늘 다시 올려요 다른 것도 문제가 있나 본데 디지털 OTP 정말 문제 많아요할 때마다 꼭 23번씩 하게 만들고 노이로제 겨우 번호 넣고 이체하기 누르면 또 렉 먹어서 먹통 되는 게 한두 번이 아닙니다 하도 열받아서 삭제하고 다시 깔려고 들어와서 보니 문제가 이렇게 많네요 프로그램 제발 보완 좀 하세요 진짜 계좌를 확대 옮겨야지 소리를 몇 번 했는지 몰라요
87,한진택배 공식 앱을 문자를 본다는 이유로 스미싱으로 보고하고 있습니다 확인 바랍니다
88,광고성 알림 너무 많이 옴 진행하는 이벤트도 예적금 가입해야 응모되는 거고 예적금 상품도 다른 금융사 대비 매력 있는 것도 아님 앱 로딩 속도도 겁나 느림 칼뱅이나 사이다 뱅크가 더 빠름
89,로또 당첨 7 최근에는 헤어지자 그리고 경영인으로서의 특별한 경험을 했습니다 난
90,스  3
91,웬만하면 리뷰 안 다는데 타은행 otp 등록에 암호만 10번째 입력함 하
92,좋아요
93,우리은행 상품 중 사잇돌중금리만 접속이 안됩니다 다른 대출은 다 확인까지 가능하데 저것만 안되네요
94,재난지원금 어디서 보나요 안 나오던데
95,오늘 지문 인증이 만료됐는데 핀번호 입력하고 다시 지문 입력하니 바로 갱신이 되네요 어디 인증센터가 서 또 이것저것 입력할 생각하니 막막했는데 자동으로 해결되니 너무 좋습니다 이런 서비스 계속 부탁드려요
96,예전에 넣었던 주택청약 확인하려는데 타행 인증서 등록이 안돼요 마지막 단계에서 출금 계좌를 왜 만들라고 하는 건지 그래서 1회용 opt 등록하려니 그것도 안되고 결국 은행 오라는 얘기죠 지문등록 아무것도 안되고 뺑뺑이만 돌리네요 몇 번을 입력하는지 최악 별 하나도 아깝네요 통합계좌 확인하는 어플에서도 우리은행 청약이 확인되는데 정작 우리은행 어플에서 확인이 안되네요
97,UI 편리성 때문에 주거래 신한 쓰고 있어요 앱 개선하는 게 어려운 일인가 싶은 생각이 들게 합니다
98,거래내역만 들어가면 어플이 튕김
99,어플 개선 좀 하세요 사용 30초 만에 열받네요
100,속도도 빠르고 사용하기에 편리했슥니다
101,아니 시 x 인증관리를 어떻게 하고 있는 거야 가이드대로 신분증 촬영을 백날 해봐야 절대 인증이 안돼요 너넨 할 수 있냐 이 앱 만들고 신분증 인증해보셨어요
104,마이 메뉴에서 코로나 국민 상생지원금 조회 가능하다는데 그런 메뉴가 어디 있나요
105,너무 어려워요
106,아 놔 지문 변경됐다고 멀 하라는데 다하니 업데이트하라고 머냐 첨부터 업데이트부터 하라고 하등 가
107,설정 그렇게 해도 광고 계속 와요 봇이 답변 달게 해놓고 아주 편하시겠어요
108,왜 여기서는 상생지원금 조회가 안 되나요 체크카드 쓰는 사람들은 이 카드로 지원금을 받았는데도 조회를 못하네요 하려면 우리카드 앱을 또 다운로드해야 되는데 거기서는 계좌조회가 또 안되고 너무 비효율적이에요
110,0점이 없는 게 아쉽다 무슨 어플을 이딴 식으로 만들어놓나 동의사항에 다 체크했는데 동의하고 계속하기 버튼이 계속 회색이다 답도 없다 신한 쏠 보고 좀 배워라
111,쓰레기 뱅크 앱이면서 카드 따로 알람 따로인 정신 나간 앱
112,예대마진을 그리 많이 챙기면 앱 좀 잘 개발하라오
113,최고입니다 
114,이 앱 까니 폰 엄청 느려짐 다른 은행 앱들은 그런 적 없었음
115,다운로드하는 데만 50분 안 쓰는 게 나을 듯
116,지문인식 데이터 오류라고 떠서 로그인 안됨
117,뭔 앱이 이래요 우리은행에서 만든 건가요 업그레이드 도 안되는데 뭘 하라는 건지 30분재 대기 중이네 우리은행 해지하러 가야겠네 짜증 나서
118,이용하기에 편리한 앱
119,좋아요
120,앱으로 출금시키려는데 너무 안되고 자주 안되고 안되니깐 짜증 나요 급할 때 앱을 쓰는데 급한데 안 되니깐 화납니다
121,굿
122,안전하고 편리해요
123,감사합니다
124,내가 이용하는 주거래 은행
125,외주 줬겠지만 잦은 오류로 우리은행 이미지를 깎아먹는 앱 좋은 업체랑 계약하시지
126,핸드폰 인증번호도 안 와요 누가 만들었길래 이렇게 만들었어요 절대 안 쓰고 싶다 진짜
127,어지간하면 리뷰 안 쓰는데 인증 문자가 3분이 지나도 안 오고 재전송 누르면 전에 거가 그때 오고 쓰고 싶어도 인증이 안되니 쓸 수 없네 급한 일이 있었으면 최악이었을 듯
128,아니 본인 핸드폰으로 인증 문자도 안 오고 뭘 자꾸 인증을 하래
129,완존 느려터짐
130,휴대폰 인증이 안돼서 삭제했어요
131,인증번호를 분명히 맞게 눌렀는데 왜 자꾸 본인인증에 실패했다고 뜨는 건가요 그나저나 해킹하고 피싱 하는 것들만 없으면 보안을 이렇게 까다롭게 해놓지 않을 건데 그런 것들 왜 사형은 안 시키고 있는 걸까요 진짜 우리나라 공산국가 옇으면 좋겠습니다 그래야 해킹 피싱 사기꾼들 사형이 가능할 테니까요
132,별 한 개도 아깝다 인터넷은행에 비해 쓸모가 없다 로그인이 몇 분이나 걸리냐 예대이자 쳐 받아 가며 뭐 하는 거냐
133,로그인이 안 돼 지문등록도 안돼 뭐같이 만들어놨다 주거래은행 아니라서 다행
134,otp 카드 변경하려는데 변경도 안되고 문자 인증번호도 안 와요 이거 뭐 쓰라는 건지
135,진짜 불편하고 쓰기 싫어집니다
136,대체 무슨 죄를 지으면 이런 앱을 만나지 지문인식 진짜 믿기지 않는다
137,비밀번호를 3회 틀려서 로그인이 안 되고 비대면 실명확인 센터에서 비밀번호 재설정을 하라고 하는데 만 19세 이상만 가능하다고 되어 있네요 저는 아직 학생이라 못하는데 이럴 때는 어떻게 해야 하나요
138,아 진짜 욕 나오네 지문인식이 안되네요 한두 번도 아니고 급할 때는 아예 사용을 못함 은행을 바꿔야 하나 진짜 뭐 같네
139,우리은행 최고예요
140,뭔 인증인 증인 증 바꾸려해도읹증인증딘드인증만7만하고로그인안되서지운
141,불편
142,폰뱅킹 필요한데 업데이트도 안되고 설치도 안되고
143,왜 이렇게 안 열려요 이것도 웹이라고 만들었나요
144,카드 결제 먹통이네요
145,번호표 한 장당 고객 업무 처리가 최고 2030분도 넘고 실적도 쌓아야겠지만 밀린 고객 배려해 빨리 처리해야 하는 거 아닌지요 은행 가서 5분도 안 걸리는 업무 보느라 거의 1시간을 기다리게 업무처리를 하는 우리은행 가고 싶지 않네요
146,계속 로딩만 되고 앱이 며칠째 안 깔리네요
147,갤럭시 z 폴드 3으로 폰을 바꾸면서 새로 인증을 받아야 하는데 카메라로 신분증 인식을 전혀 못해서 다음 단계로 넘어가질 않네요 수기 입력을 가능하게라도 하던가 카메라를 통한 신분증 인식률을 높이던가 해주셔야 할 것 같습니다
148,복잡하지 않고 바로 이체하기 쉬워요 그래서 편하고 좋습니다
149,비번 틀려서 비대면 확인으로 주민등록증 백 번 찍어도 안되네요
150,왜 계속 페이 화면에서 결제하기 비밀번호 지문인식 이 화면에서 다음으로 넘어가지지가 않을 가요 진짜 답답해서 욕게속햇네요
151,지속적으로 사용할 예정입니다
152,앱이 30분 동안 깔리지 않고 있어요 인터넷이 안되는 것도 아닌데 왜 안되는 걸까요
153,열리지가 않아요
154,편리
155,로그인 좀 하고 싶습니다 기본적인 로그인 기능에 자체 인증서 쓰면 인터넷 연결 확인하라고 오류 발생시키네요 업데이트할 때마다 주기적으로 이러니까 점점 어플 신뢰도가 내려가네요
156,로그인 안 됩니다 생체도 안되고 패턴도 안되고 은행 어플이 이래서 되겠어요
157,어제까지 잘 되던 로그인이 금일 갑자기 오류로 인해되지 않습니다 저 말고도 다른 분들도 그러는 모양인데 급한데 확인 후 빨리 해결 좀 부탁드립니다
158,지금 접속이 안되는데요
159,우리은행 좋아요
160,어느 은행보다 토스가 편해요
161,어플이 안 열려요
162,업데이트하면 온 뱅킹을 설치할 수 없다고 계속 뜹니다 잘 되다가 이게 뭔 일입니까
163,패턴 선 숨기기 기능 좀 넣어주쇼 타 은행 어플은 있던데 우리 우리은행은 왜 없슴까 그래서 4개
164,좋아요
165,삭제했다 다시 하니 다시 되네요
166,업데이트가 안돼요
167,우리은행짱
168,좋아요
169,진짜 어플 만들 때 테스트 안 하고 만드나 자기 명의 휴대폰 인증하는데 내 명의가 아니래 그럼 누구 명의입니까
170,제가 웬만하면 리뷰 안 쓰는데요 인증서 갱신 30분 동안 계속 개인키 복호화 실패 0 이렇게 오류 나서 짜증 나서 컴퓨터 켭니다 이럴 거면 앱 서비스하지 마세요 대기업이 이따위로 서비스 관리하면 고객들이 좋아할까요 요즘 같은 핀테크 시대에 이런 사소한 오류들도 안 잡으면 어쩌자는 겁니까 호환성이나 기본적인 거 좀 잡아주세요 제발 토스랑 뱅크 샐러드 칼뱅처럼 가독성 있고 오류 없고 직관적으로 좀 뭐만 하면 창 드르륵 뜨고 넘어가고 어르신들은 이거 어떻게 씁니까 홈페이지도 크롬환경에서 키패드 페이지 아래쪽에 있어 찾기 어렵고 누를 때마다 위로 올라가지는 현상이 있습니다
172,로그인이 자동으로 플레이로 이동하는데 왜 그런가요 전엔 안 그랬는데 업데이트하고 그러네요 지우고 다시 깔아도 마찬가지네요 괜찮은 거 맞나요
173,입출금 해지하고샆은데 입출금 통장을 선택할 수 없게 창이 안 나오면서 자꾸 통장 선택하라고만 나오고 해지를 못하네요
