WORD,TAG,reinforcer,score
1점 주기도 아깝,VA,1,-5
1점도 아깝,VA,1,-5
5점,NNG,1,5
5점도 부족,VA,1,5
가깝,VA,1,1
가능,NNG,1,1
가뜩이나,MAG,1.5,0
가볍,VA,1.5,2
가장,MAG,2,0
간결,XR,1,3
간단,XR,1,3
간단히,MAG,1.5,0
간략,XR,1,1
간소,XR,1,1
간신히,MAG,-0.5,0
간절,XR,1,-2
간편,NNG,1,3
간편,XR,1,3
간편히,MAG,1.5,0
갈수록,MAG,1.2,0
갈아타,VV,-1,0
감사,NNG,1,3
갑갑,XR,1,-3
갑자기,MAG,-0.5,0
강력,XR,1,1
강제,NNP,1,-0.5
같,VA,1,0
개선,NNG,1,1
개판,NNG,1,-5
거지,NNG,1,-3
겁나,MAG,2,0
겨우,MAG,-1,0
계속,MAG,-1,0
고리타분,XR,1,-3
고맙,VA,1.5,1
괜찮,VA,1.5,1
굉장,XR,1,4
굉장히,MAG,2,0
구리,VA,-2,-3
군더더기,NNG,1,-1
굳,VA,2,3
굳이,MAG,-0.5,0
굿,NNG,1,2
귀엽,VA,2,2
귀찮,VA,-2,-2
그냥,MAG,1,0
그렇,VA,-0.1,-0.1
그지,NNG,1,-3
급하,VA,1,0
기다리,VV,-0.7,0
기발,XR,1,1
기특,XR,1,1
까다롭,VA,-1,-1
깔끔,XR,1,3
깨끗,XR,1,1
꺼지,VV,-1,0
끊,VV,-0.5,0
끊기,VV,-0.5,0
끔찍,XR,1,-5
나쁘,VA,-1,-2
나아지,VV,1.5,0
난감,XR,1,0.5
난잡,XR,1,-2
난해,XR,1,-2
남아돌,VV,-0.3,0
남혐,NNG,1,-3
낫,VA,1,1
낮,VA,-0.5,-2
너무,MAG,2,0
너무나,MAG,2,0
너무너무,MAG,4,0
넘,VV,2,0
넘,MAG,2,0
넘넘,MAG,2,0
넘어가,VV,-0.2,0
논란,NNG,1,-0.5
높,VA,1.5,2
느리,VA,-1,-1
능숙,XR,1,1
늦,VA,-1,-1
다,MAG,1.5,0
다섯,NR,1,5
다섯개도 부족,VA,1,5
다소,MAG,1.2,0
다시,MAG,-0.5,0
다채,XR,1,1
단순,XR,1,3
단연,MAG,1.5,0
단점,NNG,1,-2
답답,VA,-1,-3
답답,XR,1,-3
답답,NNG,1,-3
당황,NNG,1,-1
대기,NNP,1,-2
대단,XR,1,1
대박,MAG,2,0
더,MAG,1.5,0
더러움,NNG,1,-2
더럽,VA,1.5,-2
더욱,MAG,1.5,0
더욱더,MAG,1.5,0
덜,MAG,0.3,0
도대체,MAG,-1.5,0
도움,NNG,1,1
도저히,MAG,-1.5,0
도통,MAG,1.5,0
뒤지,VV,-1,0
든든,XR,1,1
딜레이,NNP,1,-2
따뜻,XR,1,1
때리,VV,-1,0
떨어지,VV,-1.5,0
또,MAG,0.3,0
똑같,VA,1,0
똑똑,XR,1,1
뛰어나,VA,2,4
로딩,NNP,1,-2
리뉴얼,NNG,1,1
막히,VV,-0.5,0
만족,NNG,1,3
많,VA,1.5,0
많이,MAG,2,0
말,VX,-1,0
망하,VV,-2,0
매우,MAG,2,0
먹통,NNG,1,-4
멈추,VV,-1,0
멋지,VA,1.5,2
멍청,XR,1,-3
메갈,NNG,1,-4
명료,XR,1,2
모르,VV,-0.8,0
모호,XR,1,-1
못,MAG,-1,0
못쓰,VV,-1,0
못하,VX,-1,0
무료,NNG,1,1
무료,XR,1,1
무척,MAG,1.5,0
무한,NNG,1,-1
문닫,VV,-0.5,0
문의,NNG,1,-1
문제,NNG,1,-2
문제 해결,NNP,1,1
문제없,VA,2,4
문제없이,MAG,2,0
문제점,NNG,1,-2
문책,NNG,1,-1
미숙,XR,1,-1
미치,VV,-1.5,0
미흡,XR,1,-2
민감,XR,1,-1
믿음직,XR,1,1
바라,VV,-0.3,0
바로,MAG,1,0
반복,NNG,1,-2
밝,VA,1.5,1
버리,VX,-0.7,0
버퍼,NNP,1,-1
버퍼링,NNP,1,-1
번거롭,VA,-1,-2
번잡,XR,1,-2
별 1개,NNG,1,-5
별 다섯개,NNG,1,5
별 하나,NNG,1,-5
별 하나도 아깝,VA,1,-5
별1개,NNG,1,-5
별로,MAG,-0.5,0
별점 1점,NNG,1,-5
별점1점,NNG,1,-5
별하나,NNG,1,-5
병신,NNG,1,-3
복잡,XR,1,-3
부담,NNG,1,-2
부족,NNG,1,-2
부탁,NNG,1,-1
부탁 드려,VV,-0.5,0
부탁 드립니,VV,-0.5,0
부탁 해,VV,-0.5,0
부탁드려,VV,-0.5,0
부탁드립니,VV,-0.5,0
부탁해,VV,-0.5,0
불가,NNG,1,-1
불만,NNP,1,-3
불만족,NNP,1,-3
불쌍,XR,1,-1
불안,NNG,1,-2
불안정,NNG,1,-2
불쾌,XR,1,-4
불편,NNG,-1,-3
비하,VV,0,0
빛,NNG,1,1
빠르,VA,1.5,1
빨리,MAG,1.5,0
뻔뻔,XR,1,-1
뿌옇,VA,1,-1
사라지,VV,-0.7,0
사랑,NNG,1,0.5
삭제,NNP,1,-4
산만,XR,1,-2
살짝,MAG,1.2,0
상냥,XR,1,2
상당히,MAG,1.7,0
상세,XR,1,1
상쾌,XR,1,1
상큼,XR,1,1
새롭,VA,1.5,1
선명,XR,1,2
성공,NNG,1,0.5
세련,XR,1,2
세밀,XR,1,1
세심,XR,1,1
손색없,VA,2,5
손쉽,VA,2,2
수없,VA,-1,0
수월,XR,1,3
수정,NNG,1,1
쉽,VA,1.5,3
스마트,NNG,1,1
스트레스,NNG,1,-2
시답잖,VA,-1,-1
시원찮,VA,-1,-1.5
신선,XR,1,1
신속,NNG,1,1
실망,NNP,1,-3
실용,NNG,1,1
실패,NNG,1,-3
싫,VA,-1,-2
심각,XR,1,-3
심지어,MAG,1.5,0
심플,NNP,1,3
심하,VA,1.5,-2
싸우,VV,-0.5,0
싹,MAG,1.5,0
쓰레기,NNG,1,-5
쓸데없,VA,-1,-2
아깝,VA,0.5,-0.5
아니,VV,1,-1
아닌,VV,1,-1
아무리,MAG,1.5,0
아쉬움,NNG,1,-2
아쉽,VA,0.3,-0.7
아예,MAG,1.5,0
아으,IC,1,-1
아이고,IC,1,-1
아주,MAG,2,0
아휴,IC,1,-3
안,MAG,-1,0
안 돼,VV,-1,0
안 되,VV,-1,0
안돼,VV,-1,0
안되,VV,-1,0
안심,NNG,1,2
안전,NNG,1,2
안정,NNG,1,2
안타깝,VA,-1.5,-1
않,VX,-1,0
알맞,VA,1.5,1
알차,VA,1.5,2
암,NNG,1,-2
애매,XR,1,-1
애매모호,XR,1,-1
애용,NNG,1,3
약간,MAG,0.8,0
어둡,VA,-0.5,-1
어떻,VA,0.3,0
어떻게,MAG,0.3,0
어려움,NNG,1,-2
어렵,VA,-1.5,-1
어마어마,MAG,2,0
어수선,XR,1,-2
어이없,VA,-1,-3
어지간,XR,1,-1
어쩌,VV,-1,0
어쩌라고,NNP,1,-3
어처구니없,VA,-1.5,-3
어휴,IC,1,-3
엄청,MAG,2,0
엄청나,VA,2,0
업그레이드,NNG,1,2
없,VA,-1,-1
없애,VV,-1,0
없이,MAG,-1,0
엉망,NNG,1,-3
에라,IC,1,-1
에러,NNG,1,-3
에이,IC,1,-1
여전히,MAG,1.2,0
열,NNG,1,-1
열악,XR,1,-1
예쁘,VA,2,2
옜다,IC,1,-1
오,IC,1,2
오류,NNG,1,-3
오류로,NNG,1,-3
완벽,NNG,1,5
완전,MAG,2,0
완전히,MAG,2,0
왜,MAG,0.3,0
요구,NNG,1,-0.5
욕,NNG,1,-3
용이,XR,1,3
우습,VA,-1,-1.5
원 큐,NNP,1,2
원규,NNP,1,2
원큐,NNP,1,2
원하,VV,-0.3,0
원활,NNG,1,2
원활히,MAG,1.5,0
유용,XR,1,3
유익,XR,1,3
응원,NNG,1,0.5
이따구,NNG,1,-3
이따위,NNG,1,-3
이딴,VA,-1,-3
이렇,VA,1,0
이쁘,VA,2,2
이상,VA,1,-2
일목요연,XR,1,2
일시적,VA,1,0
자꾸,MAG,2,0
자주,MAG,2,0
자질구레,XR,1,-2
자체,VA,1.5,0
작,VA,-1,-2
작작,MAG,-1,0
잘,MAG,2,0
장난,NNG,1,-3
장난 아니,VV,1.5,0
장난 치는 것도 아니,VA,1,-3
장난 하는 것도 아니,VA,1,-3
장난아니,VV,1.5,0
장난이 아니,VV,1.5,0
장난이 아닙,VV,1.5,0
장난치는 것도 아니,VA,1,-3
장난치는것도 아니,VA,1,-3
장난치는것도아니,VA,1,-3
장난하는 것도 아니,VA,1,-3
장난하는것도 아니,VA,1,-3
장난하는것도아니,VA,1,-3
장난하시는것도아니,VA,1,-3
장애,NNG,1,-3
장점,NNG,1,2
잦,VA,1.5,-1
재미,NNG,1,0.5
재미있,VA,1,0.5
재밌,VA,1,0.5
저렴,XR,1,2
적절,XR,1,2
적합,XR,1,2
전부,MAG,1.5,0
전혀,MAG,1.5,0
절대,MAG,2,0
절실,XR,1,-2
점점,MAG,1.5,0
정말,MAG,2,0
정상,NNP,1,1
제거,NNG,1,-1
제기랄,IC,1,-3
제대로,MAG,1.5,0
제발,MAG,2,0
제일,MAG,2,0
젠장,IC,1,-1
조금,MAG,0.5,0
조잡,XR,1,-2
좀,MAG,1.5,0
좀 그렇,VA,-0.5,-0.5
종료,NNG,1,-0.5
종일,NNG,1,-1
좋,VA,2,3
좋겠,VV,-0.5,0
좋아,IC,1,4
좋아서,NNP,1,3
좋아하,VV,2,3
주세,VV,-0.5,0
죽,VV,-0.5,0
중단,NNG,1,-1.5
중지,NNG,1,-1.5
즐겁,VA,1.5,1
지겹,VA,-0.5,-1
지긋지긋,XR,1,-3
지나치,VA,-1,-1
지루,XR,1,-1
지연,NNP,1,-2
지저분,XR,1,-3
직관,NNP,1,2
진짜,MAG,2,0
짜증,NNG,1,-4
짱,MAG,2,0
쭉,MAG,1.2,0
쯧쯧쯧,IC,1,-3
찜찜,XR,1,-1
참,MAG,1.5,0
참신,XR,1,3
처참,XR,1,-4
초라,XR,1,-2
최고,NNG,1,5
최악,NNG,1,-5
최적화,NNP,1,1
추천,NNG,1,3
추하,VA,-1.5,-3
취약,XR,1,-2
친근,XR,1,1
친절,NNG,1,3
쾌적,XR,1,1
타임 아웃,NNG,1,-1
타임아웃,NNG,1,-1
탁월,XR,1,3
탈퇴,NNG,1,-3
터지,VV,-1,0
퇴행,NNG,1,-2
튕기,VV,-2,0
특별,XR,1,1
특별히,MAG,1.5,0
특출,XR,1,4
특히,MAG,1.2,0
틀리,VV,-1,0
페미니즘,NNG,1,-3
편리,NNG,1,3
편안,NNG,1,3
편하,VA,2,3
편히,MAG,2,0
평이,XR,1,1
포기,NNG,1,-1
풍부,XR,1,2
풍성,XR,1,2
필요,NNG,1,-1
한 방,NNG,1,2
한 큐,NNP,1,2
한눈,NNG,1,2
한방,NNG,1,2
한심,XR,1,-3
한참,NNG,1.5,-1
한큐,NNP,1,2
해 주세,VV,-0.5,0
해결,NNG,1,1
해주세,VV,-0.5,0
해킹,NNG,1,-2
허송,NNG,1,-1
허술,XR,1,-2
허전,XR,1,-1
헤매,VV,-0.8,0
헷갈리,VV,-0.8,0
형편없,VA,-2,-4
혜택,NNG,1,2
화,NNG,1,-2
화가,NNG,1,-2
화나,VV,-1.5,0
화려,XR,1,1
화병,NNP,1,-2
화사,XR,1,2
확,MAG,2,0
확실히,MAG,1.2,0
환장,NNG,1,-2
황당,XR,1,-2
효율,NNG,1,2
훌륭,XR,1,4
훨씬,MAG,2,0
흐릿,XR,1,-2
흐뭇,XR,1,1
힘들,VA,-1,-2
힘이 드,VA,-1,-2
힘이 들,VA,-1,-2
