,score,comment
17,2,다른 은행 어플보다 로딩도 길고 죄여 하령 너무 버벅대고 답답해 미치겠어요 개선 좀 해주세요
22,1,어제 초기화 시 켜는데 또 튕기네요 다른 타 은행 앱 들어갔다 나오면 이런 일이 생기네요 문제 많아요 간편 비밀번호는 괜찮은데요 인증서 로그인만 하면 앱 충돌이 심하네요 제대로 된 업데이트를 부탁드립니다 안 그래도 주거래 은행인데 이런 일이 자주 발생하는 거는 너무 심하네요
37,3,다른 로그인 방식은 잘 되는 거 같은데 유독 공동 인증 로그인 누르면 어플이 중단되면서 자꾸 꺼지는데 왜 이러나 요 모든 어플 최신 업데이트도 하고 구글 캐시 데이터 정리 메모리 정리 휴대폰 재부팅 아무리 해도 안됩니다 이거 어플 문제 있는 거 아닙니까 해결 좀 해주세요
44,2,하나 원류를 앺 다운로드해서 하려 했더니 다운이 안되네요 뭐 때문에 자꾸 설치가 안되는지 답변 부탁드려요
68,2,빨리 이체해야 할 상황에 앱이 멈추거나 로딩이 너무 느려요 개선 시급합니다
87,1,별 한 개도 아깝다 회원가입하려고 하니까 뭔 진행조차 가지도 않은 사진촬영 시간 초과 문구 나오고 xx로 시간 초과 이딴 이 짓거리 4번 당하니까 더 이상 가입할 마음도 없다 살다 살다 고객 입구 컷 시키는 어플은 처음 본다 약 올리는 거냐 내참 더러워서 그냥 평일 중에 고객상담으로 해결할게 고맙다 앱 추가 설치 안 하게 해줘서
88,1,제가 계속하나 원류 지문인증으로 하고 싶은데 안 된다고 지문인 증 등록하려 해도 안 된다고 문의드렸는데 못 알아듣겠다고 하셔서 전화로도 문의해도 원인들을 파악 못하시더라고요 입출금 알림도 설정돼있는데 오지도 않고 결국엔 제가 고민하다 알아냈습니다 저는 거래내역 조회만 되게 돼 있었고 폰뱅킹 신청 안 해놓은 상태였거든요 이걸 안 했었기 때문에 지문인증 기능을 사용 못 했던 겁니다 제가 굳이 여기 쓰는 이유는 앞으로 저 같은 비슷한 문의 들어올 시폰 뱅킹 가입해야 사용할 수 있다고 안내해주세요
97,3,앱 깔끔하고 좋은데 오픈뱅킹 로딩 속도 개선 좀 어떻게 안 되나요 다른 앱에 비해서 너무 늦어서 속 터지네요 아 제발 속도 개선 좀 해주세요
114,1,어플에 필요한 메뉴는 꽁꽁 숨겨두고 온통 산품 판매 메뉴뿐 어찌어찌 분실신고를 했는데 재발급이 어플로 안됨 분실신고한 것도 다시 찾으려니 어딨는지 안 보이고 메뉴 검색도 안됨 다른 대기업 꺼 써야지 만들다만 중소기업 어플 수준임
121,3,지금 외국에서 와이 파이로 접속 중인데 갑자기 어느 순간부터 앱 정보 확인 중 도중에 원활한 접속 실행을 위해서 확인해주세요 나오고 네트워크 오류 9999 뜹니다 좀 해결방안 좀 알려주세요 다시 지우고 깔아도 안되고 고객센터에 전화해도 안돼요
127,1,공인인증서 내보내기 복사 예전보다 직관적이지 않습니다 수정 부탁드립니다
154,3,잘 되다가 요즘 왜 펀드 입금액을 변경하려고 했는데 계속 안되죠 다른 건 되는데 펀드 입금액 변경하려 했더니 안돼요 어떡해야 하나요 다른 건 다 좋아요 특히 다른 은행 계좌까지 한 번에 볼 수 있는 게 너무 편해요 펀드만 어떻게 해결해주세요 답글 주셔서 다시 달아요 추가 입금은 되는데 그 매달 입금하는 입금액을 변경하려는데 계속 오류라고 안돼요
168,1,입출금 알림 때문에 몇 번을 지우고 설치하는지 모르겠네요 몇 번 잘 되다가 뜬금없이 안되는데 관리 부탁드려요
199,1,제발 속도 개선 좀 급하게 이체해야 하는데 이체가 한방에 안됨 무조건 제 로그인 여러 번 해야 겨우 한뱐 성공원큐 같은 이름 집어치우고 딜레이 큐롯 바꾸시길
200,1,회사 월급계좌가 하나은행으로 한다고 해서 앱으로 개설하려는데 아이디 중복 확인하고 비밀번호 입력 쪽에서 입력하면 지워지고 입력하면 지워지고 해서 다음으로 못 넘어가네요 수정 점해주세요
206,4,나름 괜찮습니다 케이뱅크 쓰다가 하나 쓰고 있는데 앱 로딩 속도 및 반응속도 개선만 잘 하셔도 될 거 같아요 로딩이 좀 오래 걸려요
225,1,공과금 들어갈 때마다 속 터져 죽겠네요 한 번에 바로 조회는 빨리 되어야 편리한 거지 최소 23분씩 기다려야 넘어가는데 이걸 도대체 어떻게 쓰란 건지 구 뱅킹 앱처럼 그냥 골라서 조회하게 좀 해주세요
226,1,타사 앱 대비 너무 느린데 조회화면 좀 빠르게 전환되게 개선 좀 해주세요 할 때마다 성질나서 타사 앱 오픈뱅킹으로 잔고를 빼고 있습니다 하나은행은 앱이 느려터져서 고객과 멀어져만 가는군요
248,1,지금까지 몇 개월 사용해왔는데 오늘 갑자기 사진 등 액세스 여부 묻는 팝업창이 열려서 거부 답변했더니 앱이 아예 안 열립니다 대책 말씀 부탁합니다
254,1,이체할 때 무조건 얼굴인식부터 되는 거 제발 개선해주세요 마스크 써서 얼굴인식도 안되고 기다렸다가 간편 비밀번호 쳐야 하는데 기다리는 시간도 꽤 걸려서 이체할 때마다 너무 불편하네요 얼굴인식 말고도 바로 간편 비밀번호 입력할 수 있게 개선 부탁드립니다
271,3,돈 통 atm 출금을 할 수 있게 해주세요
282,1,자주 아예 안 들어가지네요 문의해도 지우고 다시 깔으라는데 얼마나 이렇게 더 개선해주세요
285,3,언제부터인가 거래내역 조회가 들어가기 어렵게 바뀌었더라고요 예전처럼 첫 화면에서 볼 수 있도 롤 해주셨으면 좋겠습니다
291,1,하나은행 양행 중복이라면서 내방해야지만 해결 가능하다는 게 어이가 없네요 몇 가지 루트 다 막히고 본인인데도 휴대폰인 증 금융인증 뭐 별쌩쑈를 다해도 로그인 막힘 개선 좀 해요 이거
292,1,앱 다운이 안돼요 매번 다운로드 시도할 때마다 설치할 수 없다고 뜹니다 조치 부탁드려요
303,4,이 전 업데이트에서는 하나원큐시간이 좀 걸리더라도 들어가졌는데 최근 업데이트 이후에는 오래 걸리는 것도 되지 않고 네트워크 다시 확인 해달라는 말과 9999라는 코드와 함께 꺼지게 되는데 이 경우에 대처법이 있다면 알려주셨으면 합니다 하나 데이터나 집에서 흔히 쓰는 와이파이같이 빠른 게 아닌 속도가 상당히 느린 와이파이라서 오래 걸립니다 국내로 들어갈 수 있는 날도 아직 걸리고요 해결해주실 수 있으실까요
311,1,자동 로그인하려고 하면 간편 얼굴인증 등록하라고 하는데 어디서 누를 수 있나요 간편 인증 등록하는 건 찾을 수 없고 얼굴인증은 하기 싫은데 얼굴로 무조건 해야 하나요 지문등록도 하려고 하니까 계속 로그인 페이지로 가지고 등록하는 방법 좀 가이드 부탁드립니다
313,1,듀얼 유심 폰 사용자입니다 휴대폰 정보가 조회되지 않아 다른 방식으로 인증을 진행합니다 ex USIM 미장착 등 다른 방식도 모두 안 됩니다 하나은행에 처음 가입이시군요 본인 명의의 핸드폰일 경우에만 신규 가입이 가능합니다 타인 또는 법인 명의의 핸드폰을 사용 중이시면 영업점에 방문해주세요 오류코드  NOMEMBER
323,3,얼마 전부터 입출금 푸시 알림이 안 와서 설정 다시 하고 몇 번 알림 오다가 다시 늦게 오거나 아예 푸시 알림 안 옴니다 푸시 알림 에러가 한두 명도 아니고 자체 하나 앱이 문제입니다 타은행권은 초기 설치 시 앱에 필요한 부분을 기본 설정하게 도와줍니다 은행은 칼같이 이체 완료 버튼 누르면 바로 출금 푸시 알림 옴니다 계속 푸시 알림 에러 생기면 유료 문자 알림 써야 되네요
326,1,수정한 줄 알았는데 체감상 8090의 확률로 다시 종료 팝업 나오고 오른쪽에 커다랗게 가입 버튼이 나오는군요 이미 앱을 이용하는 사람들은 고객이고 적절한 상품이 있다면 앱 안에서만 광고해도 충분하고 이용할 사람은 다 이용하지 않을까요 굳이 정말 굳이 종료 팝업창에 커다랗게 오픈 뱅킹 쓰라고 광고까지야 그렇다고 쳐도 종료 버튼을 왼쪽에 조그맣게 넣을 필요가 정말 있었나요 상식적으로 종료 버튼이 크고 끄기 편해야지 이게 진짜 무슨 행태입니까 이런 식으로 하면 반발만 생길 겁니다 팝업이나 버튼을 없애달라는 것도 아니고 평범한 종료 팝업창으로 바꿔달라는 게 그렇게 어렵고 무리 가는 일인가요
330,1,몇 번이고 다시 깔아도 앱 정보 확인 중 c2에서 안 넘어갑니다 빨리 처리 좀 해주세요
341,4,저번에 타은행 계좌로 계좌이체할 때는 otp 카드 없이 계좌이체가 가능했는데 지금은 또 필요하다고 뜨네요 혹시 바뀐 건가요
354,1,평소에 이체 잘 되다가 갑자기 보안매체 인증 필요하다고 이체 안되네요
357,1,쓰면서 너무 스트레스 통장은 가서 만들까 봐요 휴대폰 인증으로 넘어가면 눌리긴 하나 체크가 안됨 수정이 필요할듯합니다
358,1,로그인할 때 하단에 간편 인증 등록을 누르면 무조건 첫 화면으로 넘어갑니다 개선 부탁드립니다
359,1,앱이 자꾸 튕겨요 아예 들어가질 못하고 있어요 삭제하고 다시 깔아도 똑같네요 문제 해결 좀 해주세요
371,2,갤럭시 5 사용자인데 앱 실행이 안됩니다 도움 부탁드립니다
422,1,대출 예상 이자 조회 찾기가 너무 어려워요 그래서 새로운 앱 이용 안 하고 기존 원류 앱 이용합니다 기존처럼 눈에 보이는 조회 메뉴가 편합니다 대출계좌를 클릭해서 이자 조회는 누구 아이디어인가요 보물찾기 하는 것도 아니고 빠른 개선 바랍니다
424,2,뭘 이렇게 자주 바꾸는지 모르겠네요 그때마다 서비스나 이용 경험이 확 개선되는 것도 아닌데 괜히 불편하기만 합니다 잦은 앱 개편 반대합니다
426,3,결제할 때 얼굴인식이 아닌 지문이나 비밀번호가 기본 수단이었으면 좋겠습니다 가뜩이나 코로나 때문에 마스크 쓰고 다녀서 내리기도 불편한데 인식도 잘 안됩니다 결국 간편 비밀번호를 입력하게 되는데요 처음부터 비밀번호를 입력하는 게 훨씬 나을 것 같습니다 왜 이렇게 업데이트되었는지 모르겠어요 혹 제가 설정을 바꿀 수 있는 건가요 그 외의 것은 다 잘 쓰고 있습니다
445,2,네트워크 연결 안 되는 오류가 며칠째 캐시 삭제해도 그러네요 개선 좀
452,2,종료를 위해 스마트폰 뒤로 가기 누르면 최초 종료 창은 순식간에 사라져 로그아웃 안되고 엉뚱한 버튼을 누르게 되고 한 번 더 뒤로 가기 해야 팝업창이 안 사라지는데 개선이 필요합니다
467,1,2021322일자 업데이트 내역엔 기타 사용성 개선이라고만 덜렁 쓰여있네요 너무 무성의 무심하네요 업데이트 내역 상세히 꼭 써주세요 금융앱은 투명해야 합니다
