,score,comment
12,4,요즘 들어서 체크카드 사용내역 알림이 바로바로 안 오네요 사용 즉시 재깍 알림이 왔으면 좋겠어요
17,3,업데이트 부탁드립니다 업데이트 이후로 출금 내용이 지연 알림 되는데 이거 때문에 가계부 어플 사용에 문제가 생기네요  바로 알림 될 수 있도록 신속한 업데이트 부탁드립니다 케이뱅크 체크카드 잘 쓰고 있어요
21,3,잘 쓰고 있은 드 업데이트한 순간부터 결제 내역 팝업이 안 떠요 매번 어플 들어와야 하니 너무 번거롭네요 버그 확인 좀 해주세요 갤럭시 플립 3입니다
28,1,주변에서 칼뱅 써도 꾸역꾸역 케이뱅크 썼는데 케이뱅크라고 하면 알지도 못해서 이체할 때 한참 찾는데 로고를 저렇게 바꿔버리면 어쩌자는 건지 사용자들이 불만이 많으면 수용하고 다시 고칠 생각을 해야 저 무슨 답변 붙여넣기 중인지 이러니 절대 카카오뱅크를 이길 수가 없지 그리고 입금 알림도 왜 이리 늦게 오냐고요 개선이 안되면 결국 카카오 이용하는 수밖에
35,3,그동안 잘 이용해오다가 갑자기 오늘 오전 접속하려니 v3 모듈 초기화에 실패하였다는 에러 메시지가 뜨면서 접속 불가 고객센터 전화했더니 V3 모바일 플러스 앱 삭제 후 재설치하래서 했는데 역시 안됨 그러자 안내하시는 분 왈 우린 전산팀이 없어서 더 이상 어렵고 v3 만든 안랩에 직접 전화해서 해결하셔야겠어요 그래서 제가 제가요  했더니 그분 왈 예 고객님이 하셔야 합니다 예  전화 끊고 K뱅크 앱 지우고 v3 플러스 앱도 지우고 휴대폰 껐다 켜서 k뱅크 앱 재 설치하니까 다시 접속되네요 음 이거 믿을 수 있는 은행인가 하는 의구심이‍ 그동안 가지고 있던 신뢰가 한순간에  고객 불편에 좀 더 적극적으로 대응해주면 좋겠어요
62,1,느리고 버벅거리는 건 해결을 못하시나 봐요 칼뱅 개발자랑 케뱅 개발자랑 수준 차이가 많이 나요 개선한다더니 개선이 되는지도 모르겠네요 업비트만 아니면  
71,1,어플 렉이 너무 심함 업비트 때문에 쓰고 있는데 역대 은행 어플 중 최악인듯싶네요 어플 개선 좀 하세요
80,2,샤오미폰 쓰는데 며칠 전부터 샤오미 시스템 날씨 앱을 트로이목마로 인식해서 작동할 수가 없네요 신한은행 앱도 그랬었는데 이젠 잘 작동합니다 케이뱅크 앱도 개선해주시기 바랍니다
86,1,그동안 잘 썼기에 감히 한마디 드리자면 지금 이렇게 고객들 불만이 쏟아져 나오는데도 똑같은 매크로 답변으로 양해만 구하고 있을 뿐 이미 개선한 것을 못 받아들이는 고객 탓이라는 모습은 인터넷전문은행은커녕 일반 사기업에서도 찾아보기 힘든 관료제의 모습이네요 치킨 맛이 바뀌어서 별로라고 말해주는데 바뀐 맛에 적응 못하는 손님이 문제라는 건 참  105 토스 뱅크 출범하게 되면 저뿐만 아니라 대거 이탈할 텐데 2개 중 2위였던 자리 그 2위 자리마저 내주려는 관용의 큰 그림인가요 사실 이미 칼뱅의 서브 개념으로 쓰는 분들이 많을 텐데 수많은 투자금이 허공으로 사라지는 모습은 언제나 안타깝네요 가까운 미래에 MBA 케이스스터디에서 활용될 자료로도 좋겠네요 IPO 하시려면 토스 뱅크 나오기 전에 하시던가 이래저래 안타깝네요
87,1,외국인도 사용할 수 있도록 해주세요
88,1,하여 왜 점점 퇴보하는지 촌스럽고 메일 앱이랑 혼동되면서도 회사 슬로건을 로고로 만들어버린 기행도 그냥 그러려니 하고 넘어갈려 해도 정말 보통은 회사 로고인 k를 강조하고 슬로건을 kbank 자리에 넣죠;;; m만 보고 누가 회사 슬로건을 알아요 슬로건을 강조하고 싶은 건 알겠는데 1도 강조 안돼요 고객들 반응을 보세여 귀 닫고 문 닫고 매크로성 답만 남기지 말고 임원들이나 개발자 마케팅 담당자들은 좀 반성 들 즘 하세요 그리고 예전엔 로그인 화면에서 바로 지문인 식장 바로 떠서 편했는데 이제는 지문인식하려면 버튼 한 번 더 눌러야 하게 번거롭게 만들었네요 다시 원래대로 될 돌려주세요 비밀번호 로그인으로 할지 지문으로 바로 로그인할지는 고객이 선택할 수 있게 해주시고요 가뜩이나 웹 기반이라 칼뱅보다 느려터젔는데 이런 거라도 편하게 해줘야죠 이럴 때마다 몇 년을 썼지만 진짜 이제라도 칼뱅으로 갈아탈까 연타 옵니다 앱이라도 좀 세련되고 편의성 있게라도 해주시면 안되는 건가요
91,3,m이 뭡니까; 헷갈리게 참 퇴보하는 방법도 가지가지네요 색상도 최악에 가깝고 요즘 아이콘 느낌이 절대 아닙니다 복구시켜 주시길 간곡히 부탁드립니다
105,1,신분증 인식을 왜 저렇게 안 대는지 개선 좀 하세요 불편합니다 30분째 인식 안 대서 있는데 제가 잘못된 건지 어플이 잘못인지는 모르겠으나 이건 너무하네요
111,1,아니 잘 쓰던 앱이 너무 느려요 이거 개선 안 하나요 접속할 때마다 몇 분째 기다리는 거 같은데
119,3,해외에서 구매한 폰에서는 계좌 개설이 되지 않아 문제가 있습니다 개선 부탁드립니다
