,score,comment
2,4,오픈뱅킹으로 다른 은행 계좌 추가할 때 약관을 PDF 파일로 다운로드하려고 하면 손상된 파일이라고 나옵니다 이거 좀 빨리 해결해주세요
6,4,모임 통장 너무 좋아요 잘 쓰고 있는데 모임 통장 기능이 있으니 회비 알림 설정도 있었으면 좋겠어요 매달 1일 이런 식으로 알림이 모임 톡 방이나 카카오뱅크 알림으로 뜨면 더 편할 것 같아요
7,2,기기변경하고 신분증 촬영 후 잘 쓰다가 어제저녁에 갑자기 신분증 재확인으로 인한 거래 제한 걸렸는데 빨리 확인해 부탁드립니다 돈 카카오뱅크에 다 들어있는데 쓰지도 못하고 돈 옮기 지도 못하고
57,1,전세대출하는데 서류는 제출되지도 않고 필요한 서류를 제출했더니 추가 서류만 산더미고 무슨 사람 가지고 훈련 시킵니까 없는 서류 만들어서 낼까요 발급할 수 없는 서류를 계속 요구하지 말고 차라리 대출을 받지 말라고 하던가 시스템도 맘에 안 드는데 사람 기분 망치는 데는 도가 텄네요 진짜 
92,1,재가 미니 카드 신청을 하려고 로그인을 하는데 이전 이력이 있다고 해서요 저는 예전에 카카오뱅크을 쓴 기억이 없어서요 해결해주세요 미니 카드 만들고 싶어서 영상통화 등록까지 해도 않된다내욤
107,1,실수로 다른 계좌로 인증하기를 눌렀은데 다시 뒤로 가지도 못하고 지웠다 다시 깔아도 계속 다른 계좌로 인증하기가 떠서 매우 불편합니다 최소한 뒤로 다시 갈 수 있게 만드셨으면 좋겠네요 실수로 인해서 30일이나 기다렸다가 해야 할까 싶네요
144,1,업데이트가 떠서 눌렀는데 하루 동안 진행이 안돼서 폰도 재부팅해보고 여러 방법을 시도해 보았으나 진행이 안됩니다 최후의 방법으로 앱 제거 후 설치 눌러보았으나 진행이 안됩니다 카카오뱅크을 주거래은행으로 사용 중이어서 굉장히 난감한 상황입니다 해결 좀 해주세요
165,2,왜 이렇게 다운로드가 안되는지요 그럼 어떻게 카카오뱅크을 쓰라고요 어제저녁부터 지금까지 다운로드 실행 중이라는 동그라미만 뱅뱅뱅 돕니다 어지럽게 이미 모두의 은행이라더니 되는 사람들만의 카카오뱅크인가요 왠지 억울하고 열받는 심정입니다 내가 뭔가 자격이 안되는 사람 같아 슬프기도 하고요 참 앱 하나로 한 사람을 정말 무기력하게 만들어 버리네요 옛말에 촌절 살인이라더니 딱 그 짝인 거 같아 정말 기분 좋지 않습니다 어떻게 해결 좀 해주세요 기존 앱을 삭제하고 진행해도 똑같이 뱅뱅 돌기만 합니다
197,4,정말 좋은데 자신의 명의가 아닌 핸드폰을 사용 중일 때 이미 가입을 했더라도 로그인을 할 수가 없어 카카오뱅크 이용이 너무 힘듭니다 이 점 해결된다면 정말 잘 좋을 것 같네요
205,1,권한 허용 버튼을 계속 눌러도 터치가 안되네요 혹시나 해서 다른 앱들 켜서 허용 버튼이 있던 부분 다 터치해봤습니다 폰이 이상한 건 아니고 앱에서 안 눌러지는데 확인 부탁드려요
