,score,comment
10,1,이런 글 처음 쓰는데요 이체는 자유롭게 해줘야 하는 거 아닌가요 되지를 않네요
12,1,4대 은행 앱 다 써봤는데 최악인 거 같습니다 가입하려는데 모바일 인증 관련 앱 다운로드하라고 하더니 그거 받으면 다른 앱들이 먹통이 되고요 국민은행 앱도 계속 버벅거리고 계속 붙들다가 사용 포기합니다 그냥 모바일뱅킹은 안 쓰고 인터넷뱅킹만 하려고요 다른 앱들 참고하셔서 개선 좀 해주세요
13,1,폴드 3 사용자입니다 구공 인증서 패드워드 칠 때 자꾸 튕깁니다 빠른 해결 부탁드려요 로그인을 못해요
16,2,UXUI 너무 별로이네 다른 앱 비해 너무 부족합니다 개선 좀 해주세요
34,1,신분증 인식 왜 안 돼요 민증 운전면허증 둘 다 안돼요 다른 은행 어플은 다 잘 되는데 국민은행만 안돼요 어플 늘릴 생각 말고 하나를 만들어도 똑바로 만들었으면 좋겠다
38,1,앱 로그인 좀 하게 해주라 로그인 화면 멈췄다 이거 개선 좀 해라 월급 루팡 개발진들아 쌉소리 오류 해결이라고 해놓고 정작 다해봐도 안되는 건 무슨 심보냐
46,1,Nt008 오류 설치 다시 해도 무한 반복 이거 몇 주째인데 해결해줘요 은행 갈아타고 싶네 개 짜증
53,1,며칠 전부터 푸시 알람이 안 뜨네요 매우 불편합니다 개선해주세요
55,3,로그인 안 돼요 조치해주세요
71,1,아 미치겠네 자꾸 첫 화면에서 먹통이에요 안 들어가죠요 다시 깔고 하는데도 짜증 나네요 이거 처리 좀 해주세요
72,1,몇 년째 잘 사용했는데 최근 들어서 로그인 문제가 계속되네요 인증에서 먹통 되어버립니다 답글 달아놓으신 방법 다해봐도 여전히 먹통이네요 빠른 조치 부탁드립니다
82,1,왜 계속 멈추나요 답글대로 해봐도 안되고 사용을 못 하고 있어요 계속 어플이 멈추고 인증센터도 인증하다 멈춰요 해결해주세요
88,4,금융상품으로 안 들어가고 상품마다 펀드 계좌에서 기준가를 매일매일 볼 수 있게 해주셨으면 합니다 다른 은행들은 상품마다 기준가가 전부다 설치되어 있습니다
101,1,로그인이 안 돼요 며칠째 쓰질 못해요 멜로 보냈어요 확인해주세요 이체해야 돼요
110,3,폴드 3에서 태블릿으로 인식되는 건 그렇다 치고 모바일 인증서로 로그인하는 메뉴가 없네요 로그인 선택에서 모바일 인증서 고를 수도 없게 되어있고 자동 로그인 창이 안 뜹니다 수정해주세요
129,3,스타뱅킹 리브 둘 다 오류로 인해 로그인 진행이 안됩니다 음 최근에 썼을 땐 괜찮았는데 이상하네요 폰을 껐다 켜도 마찾가지 입니다 고객센터에 전화하라고 안내받았지만 15xx 이런 번호는 지금 제 요금제로는 전화 시간이 거의 안 남아서 없네요 다른 분들 리뷰를 보니 비슷비슷한 문제가 발생 중인 게 꽤 오래되어 보이는데 고객센터로 전화하란 말 말고 방안을 말해주세요 해보겠습니다
135,1,거래 처리 중 일시적인 오류 현상이 시도 때도 없이 뜹니다 버그 수정 부탁드립니다
137,3,전보다 나아진 거 같긴 한데 그래도 좀 더 사용하기 편하면 좋겠어요
151,1,폴드 3에서 화면 가로방향 강제전환 공인인증서 비밀번호 입력 먹통 아이디 로그인 입력창 먹통 빠른 개선 바랍니다
161,1,이체할 때 최근 이체 기능은 대체 언제쯤 한 번 누르면 리스트가 노출되게 해주실 건가요 이 앱을 꽤 오래 쓴 것 같은데 이슈 자체를 아예 찾지를 못한 건지 알고 있는데 고치지 않는 건지 모르겠습니다 이체 진입 후 최근 이체 버튼을 눌러서 최초 진입하면 이체한 상대 리스트가 노출되지 않고 흰 화면만 노출되며 뒤로 가기를 했다가 다시 최근 이체를 진입해야 이체한 사람들 리스트가 노출됩니다 금융 어플이면 기능들을 좀 꼼꼼히 봐주세요 이게 뭡니까
165,2,로그인 화면에서 화면 멈춤 현상 나타납니다 앱 재설치 권한 설정 V3 설치 및 사용 상태 엘지 벨벳 폰 확인 부탁드립니다
166,1,국민은행 주 사용자로서 건의드리고 싶은 건 제발 어플 통합 좀 했으면 좋겠습니다 뭘 할 때마다 새 어플을 깔고 또 깔고 진짜 오늘 업무처리하면서 갈아타고 싶은 마음 수십 번은 한거 같습니다 다음엔 부디 편리하게 이용할 수 있었으면 좋겠네요
175,1,문제 인터넷이 불안정하다고 1시간째 어플 못 쓰고 있는데 조치 안 합니까 데이터도 안되고 와이파이도 안되는데 전액 다 kb에 넣어뒀는데 빼지도 못하고 빨리 조치해주세요;;
181,1,아니 그럼 같은 내용으로 문의 반복하면 안 된다는 겁니까 제정신이 있으면 답변그리 하지마세쿄 2년 넘게 선불폰 이용자들이 본인인증할 수 있는 다른 방안을 마련하던가 그냥 안됩니다 어쩌라고요 이런 말 할 거면 그냥 님 사직서나 내세요 위에는 보고는 합니까 작년에 올린 글 선불폰은 모바일 인증서 사용이 불가능하다는 게 말이 되나요 일반 공인인증서는 너무 불편한데 선불폰이라는 이유로 안된다 해서 지문 사용을 못 하고 있습니다 빨리 해결해주세요
185,1,이건 너무한 거 아닌가 아니 이틀 동안 메인화면이 안 넘어가지고 토스로 매일 잔액 확인하고 정작 메인 KB 잔액은 확인 못하고 혹시나 해서 안 들어져 가지고 업데이트도 했는데 안 들어가져가는 건 이건 일을 안 하고 있다는 생각밖에 못 하겠는데 KB 국민 대기업 치고는 대기업답게 행동하지 못하고 국민이라는 이름을 빼야 될 거 같네요 너무 화나서 안 쓰는 리뷰를 씁니다 일 처리 좀 부탁할게요
186,1,폴드 3에서 내부 화면으로 열면 태블릿 모드로 들어가져서 로그인이 안 됩니다 항상 전면 화면만 이용 중입니다 개선 부탁드립니다
193,1,앱이 로그인이 안 돼요 에러 떠서 자꾸 안 들어가지는데 겨우 로딩돼서 들어가면 튕기고 하 이용을 하려면 일단 들어가져야 되는 거 아녜요 7월에 앱 깔고 쓴 적이 없어요 들어가지지가 않아서 오류 뜨는 거 튕기는 거 재정비 좀 해주세요
200,1,비밀번호 재설정할 때 필수 항목 적으라고 오류 뜨네요 다 적었는데 결국 은행 방문해야 되는데 앱의 필요성이 사라짐
202,3,요즘 인증하고 인증하고 무 반응일 때가 많습니다 폰 한번 껐다 실행이 되는데 이게 무슨 일인가요 빨리 해결 부탁드립니다
209,2,제발 제발 이체 확인증 저장 기능 좀 추가해주세요 어쩔 수 없이 국민은행 쓰는데 매달 이체 확인증 제출해야 한단 말이에요 쓰고 있는 다른 은행들은 다 되는데 여긴 왜 안돼요
210,4,kb 페이처럼 앱 아이콘을 확대 수정해주세요
227,1,급하게 이체가 필요한데 계속 모바일 인증서 확인 화면에서 안 넘어가고 에러가 납니다 학생 때부터 십몇 년간 국민을 주 거래로 쓰는데 너무 화가 나네요
228,2,이번에 폴드 3로 바꾸고 나서 사용하는데 폰을 접었을 때 작은 화면으로는 지문인식이 잘 돼서 접속이 되는데 폰을 펴고 접속을 하면 지문인식도 안 뜨고 제 맘대로 화면은 돌아가고 공인인증서 비번 누늘려고하면 꺼지고 유일하게 국민은행만 안되네요 아직 최적화가 안된 부분인 건지 확인 부탁드립니다
233,1,LG 폰 초기화면 멈춤 현상 언제 개선되는 건가요
238,1,사진 기능 좀 개선해줘 제발 나 미치겠어
244,1,스타뱅킹에서 계좌 만들고 PC로 로그인하는데 30분 걸렸다 제정신 박혔으면 이것도 빼라 저것도 빼라 했어야 했는데 스타뱅킹 앱 개발할 때 토스 카카오뱅크 한 번도 안 써 본 인간들이 이것도 넣으면 좋겠다 저것도 되면 좋겠다 이딴 소리 한 인간들이 여러 명이었겠지 그래놓고 자기들은 스타뱅킹 안 써요 뭐가 문제인지도 몰라 윗대가리들은 자기들이 멍청해서 개발팀은 고생하고 성과는 없고 국민은행이 망해간다는 걸 모르겠지 앱 사용하다 이렇게 열받기는 오랜만이네요
246,1,어플이 안 들어가지네요 v3 모바일 플러스도 안 켜져서 삭제했다 다시 까려고 했더니 다시 시도 만 뜨고 다운로드 자체가 안되네요 필수 보안 프로그램이 필요하다고 뜨면서 안 들어가져서 금융 문제 해결을 못하고 있습니다 어떡하나요
259,2,폴드 3를 사용 중입니다 내부 화면에서 키면 1자동으로 가로 모드로 전환되어 불편 2공동 인증서 비번 입력하는 와중 9번째 단어 입력하는 순간 로그인 화면이 꺼지네요 3 다른 은행 어플은 다 잘 됩니다 4폴드에서 사용 가능하도록 신속핰 개선 바랍니다
284,1,왜 자꾸 앱을 열면 렉 걸린 거 같이 아무것도 안 눌러지고 결국 강제 종료돼요 중요한 일 있을 때 계속 이럴까 봐 걱정돼서 돈을 못 넣어 좋겠어요;;
285,1,지문 사용으로 한 번에 승인이 안되는 이 불편한 거 개선 안 되나요 로그인할 때나 송금 승인할 때나 지문인증하면 몇 번 안되다가 서너 번 다섯 번 인증해야 화면 넘어가는데 언제까지 이렇게 놔둘 건지
286,1,쿠키 삭제해도 오류 알림도 안 오고 쓸모없는 앱이 된듯합니다 ;; 빠른 수정 부탁드립니다
300,1,전화번호 바꿨는데 정보 변경하려면 인증서를 발급해야 하고 인증서를 발급하려면 민증이 필요한데 아직 발급 못 받은 미성년자는 어쩌라는 겁니까 아무것도 못하고 리프만 막혀서 토스 쓰고 있네요 그냥 오늘 은행 가서 계좌 카드 다 삭제하렵니다 
311,3,오늘 하루 종일 앱이 기동되지 않아서 앱마켓에서 업데이트도 해보고 앱을 삭제 후 재설치도 해 보았으나 여전히 모바일 인증서에서 정보를 불러오는 중입니다 메시지 보낸 후 기동되지 않고 비정상 종료되었다는 구글 메시지가 옵니다 확인하시고 어떻게 하면 되는지 안내해주시면 감사드리겠습니다
316,1,지금 거래 끝나면 은행 바꾼다 1 어플 캐시 삭제 및 재설치 2 V3 재설치 및 권한 변경 안내사항 2회 따라 함 3 Android 어쩌고 업데이트 제거했는데도 초기화면에서 안 넘어가고 계속 오류로 꺼짐 빨리 남은 거래하게 해결해주세요 빨리 은행 바꾸게 해결해주세요 
318,1,개발자님들 실 사용해보신 건가요 비번 틀려서 재설정하는데 kb 모바일 인증서 필요하다 해서 발급받으려면 푸시 설정 하라 그러고 푸시 설정은 모바일 인증서가 있어야 한다는 건 뭔 개떡같은 경우냐고요 신분증 촬영은 백 번 하면 백번 다 안되고 지금 비번을 재설정 못해서 이자를 확인을 못하는데 문제 생기면 책임져요 살다 살다 이런 시스템 처음 보네 진짜
327,1,모바일 인증서를 통해 로그인을 할 경우 메인화면으로 넘어가질 않아 메뉴를 일일이 눌러 계좌를 조회해야 합니다 매번 고객들에게 책임을 전가하며 시키는 핸드폰 재부팅 쿠키 기록 삭제 앱 삭제 후 재설치 다 했는데도 똑같습니다 자 이제 뭐라고 하실 건가요 이래도 고객 과실로 인한 오류인가요 앱 오류 나는 것들 개선 좀 시키시죠 알람 어플도 매번 고장 나서 포기하고 삭제했습니다 왜 이렇게 오류만 나는 어플을 써야 하는 거죠 이래도 주거래 은행 국민은행으로 쓸 거냐고 물어보시는 건가요
328,1,진짜 주거래은행 딴 데로 갈아타고 싶을 만큼 열불 터짐  느린 건 논외로 하더라도 대체 왜 중간에 계속 멈춤이나 튐 김연상이 있음  개선의 여지가 앞으로 있을지도 모르겠다 국민은행 진심으로 좋아하고 계속 써왔는데 이쯤 되니 그냥 핀테크 잘하는 타 은행으로 갈아탈까 진심으로 고민됨
332,1,왜 로그인 오류가 개선이 아직도인가요 언제 해결되는지 지문 로그인을 주로 사용하는데 어플 실행 자동 지문인식 팝업 지문인 식후로 그인 되는 패턴인데 1번 로그인 창 안 뜨고 터치하면 팝업 지문인식하면 오류 번호 생기고 재접속 요청 2번 로그인 창 안 뜨고 터치하면 팝업 지문인식하면 화면 전환 없고 깜깜무소식 재어 프로 실행 위 상황 반복 이런 오류 1년 동안 지속되고 있습니다 사용 기종은 LG V30입니다 주 은행인데 많이 불편합니다
337,1,폴더블 폰에서 최악이네요 사용하는데 모바일 인증서 쓰려고 해도 펼친 상태에선 아예 V3 구동부터 막히고 접힌 상태에서만 되는데 그건 또 정부 앱에서 막히고 빠른 조치 부탁드립니다
342,1,타은행 어플에 비해 너무 느리고 로그인 안 돼서 폰을 몇 번을 껐다 켰다 하는지 어플 정말 구립니다 쓴 지가 꽤 됐는데도 그동안 개선이 하나도 안 되어 있네요 언제쯤 이런 부분들 바뀌나요
344,3,인증서 재발급 시 휴대폰 번호 입력이 터치가 안되는 현상 빠른 수정 부탁드려요
346,1,간편 비밀번호 설정하려면 인증서 필요한데 왜 그거 뽑을 때 전화번호 입력 키는 안되는 건지 의문 다른 건 눌려지는 게 이러면 로그인 3번 틀리면 어떻게 풀라는 겁니까 간편 비밀번호라도 없애든지 참
355,1,앱 좀 똑바로 만들었으면 좋겠네요 들어가지지도 않고 뭐 하자는 건지
374,4,왜 로그인이 안되죠 앱을 몇 번을 껐다 켜야지 겨우 로그인 되는데 이거 해결 좀 해주세요 답답해서 못쓰겠네요
376,1,인증서 등록하려니 요즘 시대에 무슨 보안카드 입력을 하래 누가 들고 다닌다고  보안인증 개선 좀 해요 구시대 구닥다리들 돈 벌어서 어따씀 다른 은행 편의성이 훨씬 좋다 국민은행 답답해서 못쓰겠네
384,1,왜 자꾸 네트워크 연결이 안 되었다고 뜨는지 급한데 빨리 해결 부탁합니다
