,score,comment
1,3,이체정보 확인 시 내 계좌 및 받는 계좌 입력 시 키보드가 올라오면서 입력창이 사라지는 현상 확인 부탁드립니다
8,3,입출금 알림이 안 옵니다 몇 달 전에 처음 설정하고 테스트할 때는 잘 왔는데 요즘은 아예 안 오고 있어요 입출금 알림 계좌 설정도 했고 설정에서 필수 정보 push 수신 설정도 돼있는 상태입니다 같은 증상이신 분들 많은 것 같은데 복붙 답변만 달리고 있네요 설정 다 해놓은 상태이니 해결 방법 좀 부탁드립니다 ;; 해결되면 별점 올릴게요
26,4,잘 쓰고 있습니다 개선되어야 할 부분이 몇 가지 보이는데요 이체할 때 금액 입력하는 키보드가 너무 작아요 그리고 적금계좌도 메인화면에서 확인할 수 있도록 해주세요 그 정도면 완벽해요
38,3,앱이 너무 많아요 NH 뱅크 NH 페이 올인 뱅크 다 깔았는데 최근에 콕이 나지 쿡인지 또 나왔더라고요 사실 무료 송금이 가능한 토스 앱으로 은행 업무를 다 처리해서 농협 앱에 직접 들어가는 일은 적지만 통폐합해서 앱 정리가 필요할 것 같아요 앱을 안 써도 배터리를 소모시켜서요
45,1,다른 농협 어플은 실행하면 자동으로 v3 mobile plus 보안 프로그램이 자동으로 실행이 되는데 NH 스마트뱅킹은 갑자기 실행이 안됩니다 원래는 됐는데 이번 주부터 안돼요 정말 찝찝해서 글 남깁니다 어찌하면 좋을까요 스마트폰 종료 후 어플 삭제 후 다시 어플 새로 깔았는데도 똑같습니다 
47,1,기능은 개선되지 않고 여전히 같은 증상이 발생한다 스마트하지도 뱅킹도 안 되는 이 앱의 이름을 그냥 NH빡통이라고 해야 하지 않을까
58,1,이체 중 스스로 500원을 이체금액에 추가해서 처리하지 않고 이체할 금액에서 차감해서 처리하여 입금 금액이 500원 부족한 상황이 벌어져 울며 겨자 먹기로 수수료 500원을 더 내고 입금했습니다 이 체내 역에도 수수료 얼마 수입금 금액 얼마 이렇게 보이게끔 해주세요
65,1,신분증 촬영이 너무 안돼요 농협 찾아가 직원분이 해보셔도 안돼요 개선 좀 해주세요
83,1,앱 개발자를 해고하면 좋을 듯
85,2,로그인이 잘 안돼요 급할 때 몇 번씩 다시 해야 하니 불편하네요 개선 바랍니다
102,1,농협 앱은 도대체 뭘 어찌 써야 할지 몰라서 토스로 쓰는데 좀 개발 좀 해줘요
115,1,잔액 확인하려는데 2개월 전거만 표시되는 이유는 뭘까요 현 재 금액을 알 수 없네요 앱 재정비가 필요해요
126,1,민증 촬영이 노 답이고 어두운 곳에서도 시도했는데도 안됨 수동 기능 필요
127,1,원격 프로그램 실행 중이라는 안내 창 뜨면서 사용이 불가한데 어플을 모두 강제 종료하여도 개선되지 않습니다 하나은행 KB 은행은 다 사용 가능한데 농협은 왜 사용이 안 되나요 또 NH 카드는 실행이 되는데요 이상하네요
137,1,왜 이렇게 자주 오류라 뜨나요 너무 불편합니다 자주 오류라 뜨고 농협 앱이 이상한 건데 비번 오류라 그러고 황당하네요 수정 좀 해주세요 아고 답답
141,1,아니 19세 미만도 가입되게 해주세요 제발
145,1,대출상품 한도 알아보는 과정에서 공동 인증서 로그인 시 아래의 인증서를 선택하세요라는 메시지 아래가 아무것도 없는 흰 텅 빈 바탕입니다 개선해 주세요
189,1,지금 토스라든지 농협 잔액 확인하는 거 다 막히고 안 보이는데 지금 개인 개인 한 사람마다 메일로 받아서 조치하는 거보다 지금 저 뿐 아니라 많은 사람이 그런 거 같은데 서비스를 점검해서 잘 되도록 하는 게 우선인 거 같고요 빨리 해결해주세요
203,1,얼마 전부터 한두 번이 아니고 로딩만 돌아가고 계속 접속이 되지 않습니다 얼른 조치 부탁드립니다
205,3,오늘 거래할 일이 있어 스마트뱅킹 이용하려는데 로그인이 계속 안되네요 무한 로딩 중이고 어쩔 수 없이 급하게 인터넷 뱅킹으로 해결하긴 했는데 스마트뱅킹을 주로 이용하는데 너무 불편하네요 해결 부탁드립니다
220,1,저만 안 되나 해서 리뷰들 보니 앱 문제인 것 같은데 같은 답만 주시네요 빠른 시일 내 해결해주세요
230,1,간편 비번 등록 시 ars 번호 입력해도 시간 초과만 뜸 시스템 개선요망
232,1,와이파이 환경에서 돈이 한 번에 이체되지 않고 무한 로딩되는 오류가 있네요 모바일 데이터를 쓰거나 아님 와이파이 상태에서 앱을 한번 끄고 두 번째로 다시 실행해야 그제서야 이체됩니다 이체정보를 대체 몇 번이나 두 번씩 입력했던 건지 문제는 다른 nh 나무나 국민은행 카카오뱅크 같은 다른 금융앱이나 모바일앱은 같은 와이파이 환경에서 멀쩡히 다 잘 된다는 거 와이파이 신호가 문제일수가 없는 게 이게 문제면 nh 스마트뱅킹 앱 전체가 작동을 안 해야 하는데 자동이체 등록이나 계좌조회할 땐 멀쩡히 작동하다가 이체할 때만 무한 로딩되는 오류가 뜬다는 거죠 리뷰 보니 다른 분들도 같은 경험을 하고 계신 거 같네요 nh는 모바일앱 편의성이 너무 떨어져요 개선해주세요
240,1,진짜 돌겠다 신분증 검은 배경으로 열심히 찍으면 뭐 합니까 진위 여부를 못 알아차리는 멍청한 시스템 밖에 없는데요 그냥 가입 자체를 할 수가 없습니다 거기가 계좌 비번 치는 칸은 왜 이렇게 밑에 놓으셨나요 아예 누를 수 없게 만드셨습니다 가입하는데 혈압 높이는 재미없는 퍼즐 푸는 기분입니다 앱만 들 시간에 이런 불편함을 개선하세요;;
244,1,어느 순간부터 앱 실행이 잘 안되고 무한 로딩 상태입니다 와이파이 연결 상태에서 안 돼서 데이터로 바꿔서 해봤고 앱 몇 번 지웠다가 다시 깔아봤는데도 안 됩니다 혹시나 내 핸드폰 문제 인가해서 다른 앱들 금융앱 포함도 실행시켜봤는데 잘만 되는 거면 이 앱에 문제가 있는 것 아닌가요 다른 리뷰 보니 저랑 똑같은 증상이 많은데 다 똑같은 답변으로만 응답하는 건 아닌 것 같습니다 적극적으로 나서서 앱을 손볼 필요가 있는 것 아닌가요
252,1,거래 기록에 메모 다는 기능이 없는 거 보고 깜놀 너무나 기본적인 기능이고 다른 은행 어플에는 다 있는 기능인데 왜 농협스뱅 어플엔 없는지 개선이 시급하다고 봅니다
262,1,그냥 다 필요 없고 짜증 나네요 이 어플 개발하신 분 대단하네요
272,1,앱을 하나만 만들어서 그거나 관리 잘 하세요 필요한 것들은 이상한 데다 박아두고 상품 소개랑 광고만 주야장천 있는데 왜 다 갈아타는지 써보면 알 수 있음
276,1,인터페이스라는 개념이 없는 에러 문구들의 남발로 사용 포기 다음에 만나요 개발할 때 사용자 입장에서 시뮬레이션을 제대로 했으면 좋겠다
301,1,농협은 대표 어플을 개선할 생각도 의지도 없나 보고 나절이 싫으면 중이 떠나야지
307,1,오류 나면 무조건 어플 다시 설치하라고 함 다시 깔아서 정상이면 문제없다고 안내함 개선할 의비가 없어 보임
332,4,부모님 스마트폰에 설치해드렸는데 불편함이 있어서 리뷰 작성합니다 일단 큰 글씨 모드에서 이체 누르면 금액부터 누르라고 나옵니다 계좌부터 선택하고 금액 설정화면으로 넘어가게 해줬으면 좋겠어요 그리고 은행 선택 시 기본으로 설정된 농협 로고나 옆에 아래 화살표 누르면 선택 창이 뜨는데 처음 하는 어르신들은 헷갈려 하시네요 송금은행 선택이라는 문구를 추가해주셨으면 좋겠습니다
341,1,20년 넘게 고객이고 웬만하면 리뷰 같은 거 안 쓰는 사람인데 지난번 삭제 조치 후 상담원 하란 대로 했는데 다시 로그인 안 됨 답답해서 올인 뱅크 했다가 안되면 스마트뱅킹했다가 했는데 이제 둘 다 안됨 게다가 계좌이체는 오만 년 걸림이 것만 붙잡고 계속 기다려야 될까 말까 함 리뷰에 단 댓글 보고 와이파이 개선 등등해도 마찬가지임 농협은 앱 관리를 근본적으로 뜯어고치지 않으면 나 같은 몇십 년 고객 금방 다 잃을 게 뻔함
353,1,왜 가끔가다가 로그인이 안 되고 계속 로딩 중임 한두 번도 아니고 필요할 때 쓰지도 못하거 개짜증이네 이거
367,1,하루 종일 로그인하려고 하면 동그라미만 돌아가고 작동 안 함 어플 지웠다 깔아도 안됨 고객센터 전화하면 해당 부서 퇴근해서 조치해주지 못한다고 함 어플도 제대로 못 만들고 관리도 나 몰라라 하는데 무슨 돈을 맡아서 관리한다는지 모르겠음 밑에 6월 19일 리뷰단 거랑 같은 오류 같은데 며칠 동안 오류 개선도 안됨 최악
394,1,역시 꼰대들이 만든 앱 이체하려면 전화번호 인증이 필요한데 새 번호로 바꿔도 전 번호가 뜸 농협이 제 안 쓸 거임
400,3,앱 삭제하면 간편 뱅킹 비번도 없어지는 거 같은데 개선 안 해주시나요
403,1,전산 시스템 오류는 무슨 24시간 내내 계속 있나 들어갈 때마다 이용을 못하면 앱을 만들지 말던가 뭐 하자는 거지 전산 시스템 오류 적당히 좀 뜨게 조치 좀 취해주세요 
417,1,농협 자기들 번호로 스팸문자나 겁나날리고 하는 게 없네 진보가 없냐 나는 국민으로 갈아탄다  농협 쓰는 흑우들아  딴 은행가라  진짜 농협 직원들도 그렇고 농협 진짜 망했으면 좋겠다 나 하나 안 쓴다고 망하진 않겠지만  진짜 절실히 망해 버렸으면 좋겠다 소원이다
418,4,근 폰 번호 변경을 해서 정보 수정란에 번호 변경을 한 후 인증서 발급을 하려 했지만 전화 ars 번호에는 계속 변경 전 번호가 나와 발급을 할 수 없는 상황인데 해결 방법 부탁드리겠습니다
422,1,아니 왜 깔리지를 안는지 답답하네요 2시간을 이거에 매달리고 있었으니 짜증 나네요 빠르게 조치 좀 취해주세요
423,1,접속이 잘 안됨 필요할 때 쓸 수가 없어 짜증 난 은행을 갈아타야 할 듯ᆢ
429,4,사용하기 쉽고 편리하여 좋네요 다만 같은 농협의 다른 계좌에서 대표 계좌로 이체도 될 수 있으면 더 좋을 것 같습니다 개선 바랍니다
439,2,어제부터 접속이 안됩니다 다시 깔기를 10번 껐다 키 기를 수십여 번을 해는데 아직도 접속이 안됩니다 이거 좀 문제가 심각하네요 이런 글 안 남기는데 너무 답답해서 남깁니다 빠른 조치 부탁드립니다
441,1,간편 뱅킹 로그인 이용해 보려다가 어처구니가 없다 별 하나도 아깝다 긴 설명 필요 없고 해보니 왜 다른 사람들이 비난하는지 알겠다
444,1,오류가 한두 번도 아니고 개선할 생각이 없는 건가요 아니면 고객을 그냥 개로 보는 건가요 건의사항이 이렇게나 많은데 해결하려고는 한 건지 의문입니다 그냥 무슨 게임 어플도 아니고 중요한 은행 어플이 계속 오류가 나면 되겠습니까 
449,1,우리은행 신한은행 하나은행 다 쓰고 있지만 이렇게 오류 많은 어플 첨이네요 어찌 이리 개선을 안 하는지 답답합니다 정말 망한 어플
457,1,정말 쓰레기 같은 어플이네요 정말 필요할 때 접속이 안되는 신기한 어플
479,1, 은행을 옮겨야 암이 나을 듯
493,1,앱이 실행되지 않습니다 며칠 지나면 조치될 줄 알았는데 아닌 거 같아 리뷰 남깁니다 우선 삭제 후 재설치를 했습니다 간편 비밀번호가 해제되어 다시 재등록을 시도합니다 이때 농협 계좌를 입력해야 하나 외우지 않기에 다른 앱을 띄우고 다시 농협 앱을 들어가면 앱 크래시 현상이 발생합니다 이후 농협 앱은 실행되지 않습니다 확인 부탁드립니다
496,1,폴드 2 접속 자체가 안됩니다 로그인하려고 해도 뱅글뱅글 돌아가기만 할 뿐 진행이 되질 않고 있습니다 부산 케이 하나 다 되는데 농협만 안되는군요 빠른 해결 부탁드립니다
