,score,comment
4,1,어제 업데이트하고 나서부터 로그인 불가합니다 그냥 로고만 뜨고 로그인 화면 자체가 안 뜨네요 은행사는 여기만 쓰는데 너무 불편하네요 조치 부탁드립니다
18,3,폴드 시리즈 화면비율 호환성 개선 좀 해주세요 화면만 극단적으로 늘려놔서 펼쳤을 때 사용하기 너무 불편합니다
33,3,어플이 안 열릴 때가 많네요 확인 후 개선 필요
46,3,모바일 otp 발급이 안됩니다 핸드폰을 최근에 바꾼 후 재등록하려고 모바일 otp 재발급을 선택하여 진행하는데 서버 접속이 원활하지 않습니다 잠시 후 다시 진행해주세요 MAF9003라고 나옵니다 와이파이도 해보고 껐다 켜보고 재설치도 해보았는데 전혀 진행이 안됩니다
49,1,금융 어플이 이렇게 허술할 수 있나요 며칠째 로그인이 안 되면 빠른 조치 부탁드립니다
57,1,어플 실행 자체가 안되는데 로딩하다가 계속 꺼지기만 하고 몇 주째 은행 업무도 못 보고 내역 알림도 안 뜨고 어플 점검 좀 하세요 진짜 지웠다 다시 깔아도 봤고 휴대폰 재부팅도 해봤고 v3까지 지웠다 깔아도 안됩니다 리뷰 보니까 로그인 안 된다는 사람이 상당히 많던데 왜 개선이 안되는 거죠 진짜 은행 갈아타고 싶은 심정입니다 일 좀 하세요
67,1,제발 좀 로그인 좀 되게 해줘요 프로그램 업데이트 좀 합시다 다른 은행기관들은 잘만 들어가지는데 왜 요기만 로그인이 안 됩니까 어쩌다 들어가죠도 시간도 오래 걸리고 답답해서 못쓰겠네 이런 걸 프로그램이라고 만들었어요
78,1,1 안녕하세요 어제 휴대폰 기기를 변경한 후부터 로그인이 안 됩니다 아이디 번호도 카카오페이 인증서로도 계속 로딩 중인 상태만 지속되고 있어요 왜 그러는 건지 로그인이 안 되어 오늘 이체해야 할 게 있는데 로딩만 하루 종일 하고 있어요 2 아 정말 짜증 나네요 고객센터로 연락했더니 어플 재설치하고 v3도 재설치한 후 데이터를 사용할 시엔 휴대폰 껐다 다시 재부팅 후 작동해보라 해서 그렇게 했는데도 안됩니다 다른 은행은 문제없이 기기변경 후 원활히 사용하고 있는데 왜 이 어플만 이 모양인지 거래 끊고 싶네요 조속히 문제 해결 좀 해주세요
85,1,로그인이 안 됩니다 지문인식으로 등록해놓고 잘 썼는데 오늘 로그인이 안 되고 지문인 식후 화면이 멈춥니다 은행서비스가 이런 장애가 있으면 너무 문제가 큰 거 아닌가요 빨리 조치해주세요
86,3,로그인이 안 돼요 확인 좀 해주세요
98,2,회원 아이디로 로그인 시 로그인이 되지 않습니다 확인 부탁드립니다
101,1,로그인이 안 됩니다 개발자님께 메일을 2번이나 드렸는데 며칠째 답이 없으시네요 로그인 안 되는 문제도 지금 두 번째 발생하는데 최신폰에서도 이렇게 호환 충돌 문제 생기는 거면 어플 자체에 문제가 있는 거 아닌가요 지금 접속도 못해서 입출금도 못하고 있어요 메일 보내드린 이력이 있으니 빠른 연락 부탁드립니다
117,1,로그인이 안 되고 멈춰버려요 갑자기 오늘 안 되네요 다시 깔아도 안되고 조치해주세요
123,1,계속 로그인이 안되네요 폰도 신형이고 집에서 와이 파이로 연결해서 사용하는데 유난히 이 앱만 자주 이런 현상이 발생합니다 패치 프로그 랭을 보완해주든지 다른 앱을 개발해서 배포하든지 좀 해주세요 너무 불편합니다
124,1,로그인 멈추는 것 좀 제발 개선하세요 요즘 어느 시댄데 처리가 이따 군직 1점도 아깝다
125,1,로그인이 깁자기 안되네요 폰을 껐다가 켜도 안되고요 문제 좀 해결해주세요
126,1,로그인이 안 됩니다 랩 정리하고 리부팅해도 동일하고요 언제 고칠 겁니까 피해는 어떻게 보상해주실 겁니까
128,2,업데이트 이후 앱 접속 자체가 안되네요 빨리 확인하여 수정해주세요
134,1,로그인이 왜 계속 안 되나요 하 서버 접속 실패했다고 하는데 제 폰 문제는 아닌 거 같네요 네트워크 잘 되고 폰도 지난주에 바꾼 거고요 어떤 문제인지 모르겠네요 확인 좀 부탁드립니다
151,1,키보드 오류 갑자기 나길래 나만 그런 줄 일 있더니 밑에 분도 정확히 같은 상태네요 괜히 애꿎은 키보드 세팅만 새로 하고 지우고 깔고 어휴 빨리 수정해서 업데이트해주세요
178,2,디지털 인증서가 먹통입니다 디지털 인증서로 로그인도 안 될뿐더러 재등록도 되지 않습니다 서비스 이용에 불편이 있으니 빠른 조치 부탁드립니다
180,1,로그인 좀 하게 해주세요 업데이트도 안 했는데 왜 갑자기 로그인이 안 되나요
181,1,앱 유지 업데이트도 제대로 못하면서 무슨 영업을 하겠다는 건가요 며칠이 지나도록 개선된 건 없고 휴일이라 또 오늘은 안된다 정말 대 단들 하십니다 있는 돈 다 인출하고 다신 이용 안 합니다
185,1,아니 삭제 후 다시 깔아도 앱이다 운 돼버리고 하루 종일 은행 앱이 안되다니 너무하네요 아래에도 다 같은 증상인데 개인 문제가 아니라 앱 개선을 하셔야죠
187,1,저도 잘 쓰던 간편 인증이 재발급 안됩니다 혹시나 싶어 해지는 해보니 되는데 재발급 안돼요 지문도 발급되는듯하더니 그냥 꺼져버리고요 개선 바랍니다
192,1,자꾸 오류 나서 인증 재발급 신청 끝나면 앱이 꺼져요 아 진짜 이거 빨리 어떻게 좀 해줘요
200,1,전체적으로 속도 개선이 필요
202,1,신분증 인식이 젤 안됨 카카오가 젤 잘되고 다른 은행들도 서너 번에 되는데 이건 진짜 인식률이 개구리 개선을 안 함  이따위로 만들고 모바일뱅킹 사용자가 있겠나 온라인은 포기한 건가 진심 욕 나온다
219,1,지금 몇 달째 로그인이 안 돼서 사용을 못 하고 있습니다 정말 화가 날 정도입니다 그전 앱에서는 잔액 확인 이체할 수 있었는데 로그인만 누르면 검은 화면에 원만 계속 돌고 로그인이 안 됩니다 앱을 여러 번 제거하고 깔아도 사용이 안 돼요 제일은행 거래를 그만하고 싶어요 잔액 확인을 할 수가 없어서 자동이체 미출금되서 일이 복잡해졌습니다 앱을 제대로 관리 좀 해주세요
233,2,요 며칠 접속이 안되네요 수정 부탁드립니다 월 말도 다가오고 부탁드립니다
250,1,타 기관 인증서 등록하려니 단말기 지정하라고 하고 단말기 지정은 로그인 필요하다고 나오고 로그인하려니 타 기관 인증서 등록해야 하고 어떻게 하라는 건지 잘 모르겠네요
256,1,급여 이체 통장으로 사용하고 있습니다 2주 전부터 네트워크가 연결이 안 된다고 에러 메시지만 뜨고 연결이 안 됩니다 지웠다가 다시 깔고 업데이트를 해도 안됩니다 갤럭시 노트 10 사용하고 있습니다 해결 좀 해주세요
258,1,우리 동네 딜리버리와 함께하는 이벤트에 신청하려고 sc제일은행 앱도 깔고 그래서 몇 시간에 걸쳐서 겨우 통장 하나 만들고 또 통장 내역을 알려고 앱을 깐 뒤 뭐 인증서니 신분증 복사니 다해서 겨우겨우 다 된 것 같은데 그래서 이 앱을 로그인해서 들어갈려는데 또다시 핀테크 뭐 어쩌고를 또 하라고 하고 와 진짜 미쳐죽겠네요 전화해도 자동응답기만 돌아가고 받지도 않고 아니 무슨 통장 하나 만드는 게 그렇게 해놨나요 저 신분증도 몇 번이나 촬영해서 올렸고요 무슨 인증도 수도 없이 했어요 그 sc제일은행 그 앱 왜 로그인이 안 되냐고요 인증서도 만들고 진짜 몇 시간을 헤매면서 했는데 또 핀테크 어쩌고만 나오고 진짜 어떻게 좀 해줘요
261,3,입출금 통장 입금내역이나 출금 내역 조회할 때 기간으로 밖에 조회가 안되는데 기간별 내가 찾고자 하는 단어문자기 이로 조회할 수 있게 해주세요  어디서 들어온 건지 날짜 기억도 안 나는데 입출금 내역 많으면 사람 미침
268,4,해외 거주 중입니다 장기 이체를 안 하여 이체 서비스를 사용 못 하고 있네요 하나은행처럼 얼굴인식 등으로 이체 서비스를 원활하게 이용할 수 있게 해주세요
278,4,홍채인식 며칠 동안 안되는데 별짓 거리 다해봐도 안되는데 변명이라도 해주세요
285,4,평소 앱을 잘 이용하고 있습니다 한가지 요청사항은 이벤트  종료 이벤트도 최신순으로 정렬 부탁드립니다 최근 응모한 이벤트 결과를 확인하려고 했는데 종료 이벤트는 오래된 날짜부터 2019년부터 조회돼서 한참을 내려야 보이네요 
289,1,아니 금액을 이체해야 하는데 계속 오류가 며칠째 지속되고 어떻게 업무를 보라는 건가요 개선되기는 하는 건가요 주말이라 지점 영업도 안 하는데
