,score,comment
2,1,앱이 기본적으로 너무 무겁고 일반 고객이 쓰지 않는 기능이 너무 많아 불편합니다 쏠 라이트로 필요한 기능만 넣고 직관적으로 빠르고 가볍게 만들면 다른 인터넷은행들과의 경쟁도 가능할 것 같네요
37,4,안드로이드 12를 지원하는 대응 업데이트를 해주면 좋겠습니다
39,1,지금은 1점도 아깝네요 전화비만 해도 엄청 썼을 듯요 빠른 조치해 주시길 바랍니다 아니면 앱 자체를 없애셔야죠 희망고문입니다 웬만하면 이런 글 안 올리는데 아까운 시간만 낭비해서 어서 개선되길 바라며
64,1,필요한 정보나 서비스 이용하고 찾는 게 너무너무 불편함
94,3,느려요 오픈뱅킹 타행계좌는 다른 메뉴에서 따로 볼 수 있게 업데이트해주세요 신한은행 계좌 입출금 적금 대출은 한 번에 보고 싶어요
95,1,가끔 어플 켜지도 않았었는데 접속하면 지문인식 5회 실패라고 뜹니다 이거 너무 불편합니다 필요할 때 이러니까 사용하는데 지장이 있네요 수정 부탁드리겠습니다 일부러 일정 시간마다 이렇게 되도록 해놓은 건지 모르겠는데 꽤 자주 이러네요
104,4,이번에 폰을 변경하고 접속하려고 허니 계속 서버에 오류가 났다고 하며 접속이 안됩니다 폰은 s21 울트라입니다 확인 부탁드릴게요
113,1,핸드폰 바꿔서 다시 시작하는데 휴대폰인 증 단계에서 인증번호 요청 그게 안됩니다 몇 번이고 다시 깔고 다시 하고 그래도 인증번호 문자가 안 와요 모든 금융권 모든 인증번호 필요한 어플 중 유일하게 여기신 한만 안돼요 여기만 이게 고급 기술도 아니고
121,1,웬만하면 신한은행은 이용 안 하는 게 좋을 거 같네요 거지 같아요 다 
126,3,V3 좀 안 쓰게 해주세요 너무 거슬립니다
128,1,자잘한 오류 및 앱 자체 버벅임이 너무 심함 개선이 시급함
158,3,찾기 힘든 메뉴 ui ux 개선 좀
159,2,계좌번호를 왜 1자리밖에 안 적히는지 모르겠어요 앞에 한자리만 쳐지고 안 쳐져서 맨날 메모장이나 그런 곳에 복사해놓고 붙여넣기로 적습니다 몇 년 전부터 이런데 개선 좀 해주세요
161,2,에러코드 2121 개선 부탁드립니다
165,1,구 타행 공인인증서 등록 시 모바일 OTP 요구하면서 영업점 방문 강요함 모바일 인증서 발급으로 우회 시 영상통화 강요함 이런 구멍 똥 구를 최근 KB는 개선했으니 보고 배우상 지문 영상 개인 정보 민감하니 강요하지 말고 빠른 개선으로 기쁘게 해주세요
176,1,로그인 후 홈 화면의 이체 버튼으로 이체를 할 때 상대 계좌번호 입력이 안되는 버그가 있습니다 메뉴에서 계좌 이체를 따로 찾아서 해야 하는데 상당히 불편합니다 개선 부탁드립니다
178,1,언제부턴가 갑자기 실행하면 악성코드가 감지되었다고 삭제하라고 하는데 악성코드가 아니고 잘 쓰던 롯데시네마 앱입니다 삭제 안 하면 실행이 안되는데 조치 좀 해주세요
191,1,아니 내가 사용하는 신한 계좌가 없는데 계좌번호랑 보안카드번호는 왜 필요한 건지 이해가 안가네
197,3,자동이체 연장하려고 상담하니 어플에서 하라는데 로그인도 안 돼서 다시 깔아서 하니까 인증 문자가 10번도 안 와서 문제가 되네요 다른 분 리뷰도 보니 뭔가 에러가 있는듯해요 상담전화 연결이 늦어서 개선 요청드립니다
199,1,농협콕뱅크 우리은행 위비 뱅크 평점보다 낮아졌네요 원인이 뭔지는 회사 개발부서에 돈을 더 투자해보셔야 알아내실 듯 참고로 우리은행 간편 비밀번호 지정 시에는 보안카드 따윈 필요 없었습니다 오티피도 마찬가지고요 그럼 어떻게 보안을 책임지냐 투자를 하셔야죠 뭐 이제껏 공인인증서로 이용자에게 부담을 지었던 방식을 제거해야죠 보안카드 오티피따윈 필요 없는 편리함 그러면서도 강력한 보안 시스템을 갖춘 앱이 고객 접근성을 높일 테고 접근성은 귀사의 국내 이용자 점유율을 늘리는 유일한 길이라 이미 생각하셨을 겁니다 안 해서 문제지
235,2,이벤트 때문에 이런 건가요 몇십 분째 접속도 안되고 정작 필요할 때 이러네요 뭔 이런
240,1,왜 접속이 안되나요 페이 판도 은행거래는 안되고 내 금융자산도 안 보여요 불안해하는 이용 고객에게 적어도 공지 정도는 띄워야지요 빠른 복구 부탁드립니다
241,1,왜 안 켜져요 오류수정 부탁해요
251,1,빨리 써야 되는데 왜 자꾸 접속 안되게 하나요 개선 안 해요
252,1,와 무슨 거래량 증가로 어플이 안 되나 안 그래도 느려터졌는데 역대급이네요 신한 말고 다른 은행 써야겠어요 거르게 해줘서 고맙습니다
265,1,안 들어가죠요 뭔가요 이용자 많아서 안 들어가진다는데 빨리 해결해주세요
275,1,필요할 때 안 켜짐
280,1,현재 쏠 접속이 안됩니다 이용량이 증가했디고하는데 오류 원인 파악해서 빠른 조치 부탁드립니다
293,1,아 이체해야 되는데 먹통이네요 이거 선해 배상해줘야 되는 거 아닌가요 은행이 뭐 이래요
312,1,접속이 안됨 왜 이런 거여요 빠른 복구해주세요 은행문도 닫았는데
324,1,이거 이체한도 금액 오만 원 장난하는지 이전에 쓰던걸 계속 쓰게 하지 머 하러 만든지 모르겠어요 왜 로그인이 안 돼요 장난도 아니고 개선책 마련해요 723
326,1,아니 업데이트하고 왜 다른 기기에 로그인했다고 나오나요 이체하려다 하도 열받아서 씁니다 개선을 빨리해주던가요
338,1,인증 절차 몇 차례나 거치게 했으면 원하는 기능 잘 쓰도록 해줘야죠 오류 못 잡을 거면 인증 절차나 간소화하세요
352,4,신한솔 앱 들어가 때 에러가 걸리네요 에러 좀 안 나게 해주세요
364,2,얼마 전에 휴대폰 메모리 정리하려고 초기화를 했다가 이 앱을 재설치 하게 됐습니다 즉 처음부터 다시 인증을 하는데 2일 전 오늘 총 10회는 넘게 신분 인증을 하는데 무한 오류 납니다 운전면허증을 평소 신분증으로 사용해서 인증하는데 번호를 인식하지 못하다가 겨우 인식되면 실명인증을 못하고 있습니다 안내에는 어두운 배경에 신분증을 올려두고 촬영하라 해서 그렇게 시도해도 오히려 스크린만 더 흐려지고 정확도만 더 떨어집니다 요즘같이 모바일 금융이 필수인 시대에 이렇게 허술하게 관리한단 게 굉장히 놀랍네요;; 진짜 관리자님 일하시는 건지 이상한 신기능 추가할 시간에 기본 인증 시스템부터 개선 부탁드립니다;
366,2,타행 인증서 등록하려고 하니 안되네요 IDPW로는 펀드 가입도 안되고 타행 인증서는 등록도 안되고 더운 날씨에 은행까지 가고 싶지는 않은데 수정해주세요 수정 안 되면 다른 은행으로 갈아타겠습니다
375,4,안녕하세요 신한은행 어플 사용 중인 이용자인데요 개선사항이 필요한 게 보여서 이곳에 글 남깁니다 매번 이체할 때마다 발생하는 문젠데요 계좌이체 창에서 내 통장 메모 터치하고 메모하면 하단에 확인 란이 사라져서 바로 송금이 안돼요 그래서 현재는 다른 사람에게 이체 눌러서 이체하는데 이 부분 개선 좀 해주세요 날씨 더운데 건강에 유념하세요 운영자님
379,1,차라리 이전 상태로 되돌려줘요 바이오 인증으로 편하게 계좌이체했었는데 업데이트 이후 바이오 인증은 재등록도 되지 않고 공동 인증서와 금융 인증서는 보안카드 필요하다는데 항상 소지할 수도 없고 갑갑하잖음
382,1,며칠째 오류 문제가 있는데 왜 점검 및 개선을 안 하지요 잘 쓰던 거 업데이트해서 이상하게 만들고 돈 보내야 하는데 안 되고 며칠째 이럼 거래를 하라는 건지 말라는 건지
387,3,Irp Isa 관리 메뉴에 꼭 필요한 기능 보기가 너무 번거로워요 수익률 상품 변경 소득공제액 조회 비단 이 메뉴뿐만 아니라 개발자분 제발 인터페이스 보기 쉽게 좀 만들어줘요
388,3,안드로이드 12에서 루팅 된 단말로 나오면서 실행이 안됩니다 12에서 실행 가능하도록 수정 부탁드립니다
394,1,안드로이드 12 베타 3에서 API Level이 31로 올라가면서 루팅을 하지 않았는데 루팅을 했다면서 앱 진입을 맞네요 작년 안드 11 베타 때도 같은 문제가 있었는데 버그 패치 좀 해주세요
408,3,인터페이스가 바뀌고 나서부터 계속 오류네요 관리 좀 부탁드립니다 답답해서 못 쓰겠네요
415,3,신한 플러스 첫 화면은 개선이 아니라 개악인 것 같네요 어플 화면이나 메뉴가 날이 갈수록 난해해지고 있습니다
417,1,왜 신한 플러스 인터페이스를 바꿉니까 너무 불편해요 업데이트 전이 훨씬 직관적이고 이용하기 편했는데 투자 메뉴를 2번 이상 눌러야 찾아 들어갈 수 있고 그마저도 어디 있는지 헤매야 하고 제발 전 버전으로 롤백 해주세요
422,3,잘 쓰고 있는 바로 이체 서비스가 주말에 점검하고부터 쓸 수가 없네요 오류인 거 같은데 상담사 연결해서 문의를 넣어도 상담사들도 모르고 있고 신한은행 어플 쓰는 이유가 진짜 바로 이체 서비스 때문에 쓰는 건데 빨리 어떻게 좀 해주세요
437,1,무선 통신상의 일시적인 문제로 처음부터 다시 시작해주세요 오류는 몇 년 전에도 있지 않았나요 결제를 못합니다 지금
