,score,comment
3,3,리뷰가 지워지는 느낌인데 카카오뱅크나 카카오카드 내역을 볼 수 있게 해주세요
27,1,토스로 보험과 돈 관리 등 참 잘 쓰고 있어서 매우 만족하며 쓰는데 만보기로 장난이 거 너무 심한 거 아닌가요 처음엔 만보로 잘하던걸 5만 보로 올려 사람 개고생도 시키고 하더니 이젠 무슨 알피지 게임도 아니고 이게 뭐 하는 건지 그냥 만보기 하지 말라 하시던가 지우던가 하는 게 좋을듯싶네요 되돌리지도 못한다 하고 실망이 크네요 만보기에 진심이었는데
28,1,토스가 요새 오류가 많네요 좀 개선 좀 부탁드립니다
31,4,삶에 도움이 되네요 많은 정보 부탁해요
32,4,퀴즈풀이가 하나씩 나오는데 많이 풀었으면 좋겠습니다
43,4,입출금이 편리해서 토스 증권을 사용 중입니다만 몇 가지 기능이 추가되면 좋겠습니다 1 장외거래 2 매수매도 주문 유지 주문을 한번 걸어놓으면 주문할 때 설정한 기간 동안 주문이 유지되면 좋겠습니다 같은 금액으로 매수 혹은 매도 주문을 넣을 때가 많은데 매일매일 주문을 다시 넣어야 하는 점이 꽤 귀찮은 점입니다 3 외인 및 기관 거래 동향을 장중에도 실시간으로 볼 수 있게 해주셨으면 합니다 사람들마다 투자방법이 다르지만 저의 경우 외인 및 기관의 거래 동향을 보고 투자를 하는 타입인데 이 실시간 거래 동향을 보기 위해 토스 증권 이전에 사용하던 중권 앱을 아직도 사용 중입니다
61,4,저 토스 잘 쓰고 있습니다 근데 제가 이번에 차이 카드 발급했는데 차이 카드는 토스 연결이 안 되네요  소비 분석 기능 너무 잘 쓰고 있어서 이 카드까지 다 연결되었으면 좋겠어요
85,3,만보기가알림창에서자꾸사라지네뇹빠른저티부탁드려뇨핸드폰기종은갤럭시노트울트라20입니다
93,3,이전에는 받는 분께 표시가 계좌별로 마지막에 입력한 게 나와서 편했는데 지금은 계속 제 이름으로 나와서 매번 수정해야 하네요 이거 원래대로 좀 부탁드립니다
94,3,계좌 입출금 이력이 7일 간이 반복으로만 나옵니다 빠른 조치 부탁드립니다
101,3,상담원 연결 느려도 되니까 연결된 후에는 한두 사람씩 문의사항에 답해주셨으면 해요 쿠팡 st로  연결은 되었는데 한마디 하고 10분 기다리고 한마디 하고 10분 기다리고 너무 불편해요
105,4,오늘 보니 거래내역 날짜가 뒤죽박죽 섞여있어 확인하기 불편하네요 수정 부탁드립니다
108,2,토스 만보기가 예전처럼 친구 추가를 해서 같이 만보기를 사용했으면 좋겠다
112,4,만보기 미션 지도 업데이트가 필요해 보입니다 목적지가 아닌 곳으로 설정되는 곳이 있어요
114,1,업데이트 후 기존 만보기가 없어졌어요 되돌릴 수 있게 해주세요
121,4,지금 내역 뜨는 게 이상합니다 날짜순으로 안 나오고 뒤죽박죽에 최근 처리한 지출 내역이 반복되어 나옵니다 확인 부탁드려요
122,1,나이는 14세인데 만 14세 여 가지고 토스 사용이 불가하네요 만 14세 이하도 토스를 사용할 수 있게 해주시면 좋겠어요
128,4,다 좋은데 원래 볼 수 있었던 사용내역 달력이 지금은 너무 쓰기가 불편해요 예전으로 롤백 시켰으면 좋겠어요
