,score,comment
12,1,뱅킹 소문자 대문자 쓸 수 있게 해주세요 아이디가 비밀번호 소문자인데 자꾸 쓰려고 하면 대문자로 바꿔요
27,2,출금 내역을 파란색으로 입금내역을 빨간색으로 해주세요 전혀 직관적이지 않습니다
39,3,Web action 오류 발생이 계속 떠서 금융업무 진행 불가합니다 오류 좀 수정해주세요
47,3,우리인 뱅킹이랑 원터치 알림 메모랑 호환되면 더 좋을 것 같아요
74,1,UI 편리성 때문에 주거래 신한 쓰고 있어요 앱 개선하는 게 어려운 일인가 싶은 생각이 들게 합니다
76,1,어플 개선 좀 하세요 사용 30초 만에 열받네요
90,1,다운로드하는 데만 50분 안 쓰는 게 나을 듯
100,1,인증번호를 분명히 맞게 눌렀는데 왜 자꾸 본인인증에 실패했다고 뜨는 건가요 그나저나 해킹하고 피싱 하는 것들만 없으면 보안을 이렇게 까다롭게 해놓지 않을 건데 그런 것들 왜 사형은 안 시키고 있는 걸까요 진짜 우리나라 공산국가 옇으면 좋겠습니다 그래야 해킹 피싱 사기꾼들 사형이 가능할 테니까요
110,1,폰뱅킹 필요한데 업데이트도 안되고 설치도 안되고
123,1,어제까지 잘 되던 로그인이 금일 갑자기 오류로 인해되지 않습니다 저 말고도 다른 분들도 그러는 모양인데 급한데 확인 후 빨리 해결 좀 부탁드립니다
161,3,며칠째 입출금 알람이 뜨지 않네요 개선 바랍니다
164,1,업데이트 때문에 옮깁니다 업데이트 오류 심하네요 필요할 때 바로 이체 못 시키는데 이게 과연 필요할까요
165,1,아 정말 너무 짜증 나서 설치했어요 아니 잠금 해제할 때나 앱 실행할 때 자꾸 설치하라고 플레이스토어가 자동으로 실행되는데 정말 너무너무 짜증 나네요 쓰지도 않는 앱인데 제거하고 싶으니 이런 에러 사항 신속히 처리해주세요
168,1,업데이트하라 해서 했더니 로그인도 안 되고 잘 되던 생채인식도 안되고 다른 방법으로 로그인하려고 해도 생채인식 보증서가 없다고 안되네요 웬만하면 이런 거 가지고 리뷰 안 쓰는데 이럴 거면 왜 업데이트했나요 CERA0081 자꾸 이렇게 뜨니까 해결해주세요
