userName,score,date,thumbsUpCount,comment
황재원,1,2021-09-29,0,사용 5분만에 왜 별점이 3점인지 알겠습니다. 3점도 후해보이네요.
미키마우스,1,2021-09-29,0,타은행보다 앱이 보기편한데 계속 튕겨서 이체 이외엔 뭘 못함
캡틴아메리카노,1,2021-09-29,0,앱이 기본적으로 너무 무겁고 일반 고객이 쓰지않는 기능이 너무 많아 불편합니다 쏠 라이트로 필요한기능만 넣고 직관적으로 빠르고 가볍게 만들면 다른 인터넷은행들과의 경쟁도 가능할것 같네요
dotobe0929,1,2021-09-29,0,이거 왜 실행도 안되고 팅겨요?
Ji Ae Hwang,1,2021-09-29,0,자꾸 튕기고 안눌리고 난리도 아니네요..
장종인,1,2021-09-29,0,다른앱을 사용 중에도 광고가 뜨네요ㅡㅡ 신한 쏠을 삭제한 후에는 광고가 안뜨구요
Coala Cho,1,2021-09-28,0,"골드 실버 투자할 때 99%의 확률로 오류가 뜨는데 이거 왜 안고칩니까? 똑같이 시행해서 될 때가 있고 안 될 때가 있다는 것은 명백하게 오류가 있다는 건데, 이거 투자하는 사람이 저밖에 없나요? 누가 안 알려줍니까? 누가 알려주기 전에 에러를 잡아야지 몇달을 두고 보는데 고치지를 않아요."
방귀할매,1,2021-09-27,1,번호인증이 왜 안 돠는거죠? 개인이 만든 어플보다 못하네 진짜
동물의 숲,1,2021-09-27,6,다른건 다 모르겠고... 타은행에 비해서 사용하기 너무 불편해요. 통장내역 표시가 입금. 출금이 다에요?? 아니 기존 잔고는 도대체 어디서 봐야하나요? 예를들어 통장에 잔고가 5만원 있는데 10만원이 입금되었으면 10만원 입금 뜨고 그 밑에 잔고 15만원 뜨는게 일반적이지 않나요? 이건 뭐 입금 얼마 출금 얼마만 있고 그래서 총 얼마인지 확인이안돼요. 이거 사용자가 일일이 계산하고 기억하고 있어야해요?? 타은행에 비해 엄청 편하고 특출나지는 않아도 기본은 해야하는거 아닐까 싶은데 신한은행 어플은 관리자가 없나요??
김준제,1,2021-09-27,0,요새 왜이럼? 로그인안되고 튕기고 먼 짓거리를 했길래
Demi,1,2021-09-27,0,요즘 왜 이렇게 로딩이 오래걸리고 중간에 네트웍 연결이 끊기는지..
I Han,1,2021-09-27,5,"비밀번호 입력하면 ""지점 상태 오류입니다. 해당 영업점에서 거래 불가입니다. 고객센터로 문의주세요. "" 도대체 이것은 무슨 오류인가요???"
kevin lemon,1,2021-09-26,3,홈화면 변경시 로그아웃되며 변경안됨.기본화면 로딩 오래걸리고 멈춤 현상 잦음
빈이,1,2021-09-25,0,지문 변경되었다고 몇번을 인증페이지만 보여주나 아 진짜
