userName,score,date,thumbsUpCount,comment
1,1,2021-09-29,0,암호 패턴은 왜 지나간 자리가 보이나요 -_-?
Renne Lee,2,2021-09-29,0,뭡니까 6월에 앱깔고 오류나서 은행서 문의하고 다시깔아 쓰다가 최근에 또 오류나서 삭제하고 다시 쓰는데 안되네요 쓰지말까요
비비빅,1,2021-09-29,0,어느날 갑자기 미계약 이용자라고 로그인 막히고 이유도 모르겠어서 회원 가입을 하려니까 그것도 인식을 못하고...정말 시간만 버리고 답답하고 화나요...ㅎㅎ
OROZY,3,2021-09-29,0,계좌개설 하는데 영업점명과 직원명이 있어야 한다는데? 처음 어플 설치하는데 계좌도 있고 한데 뭐가 이리 복잡할까요? 타은행 사용 안하는것도 아니고.. 문의에 답변 있다고 하더니 답변이 없고
조성현,5,2021-09-29,0,다운로드가 안되요 버퍼링만 현재 3시간째입니다
김문자,1,2021-09-28,0,계속 사용하던것인데 왜 이리 복잡한가요 내일 다 정리하고 거래를 안하고 싶어지네요 ㅠ
진진,1,2021-09-28,0,살다가 아직도 타행 이체때 수수료받는 어플은 우리은행이 최초일듯
조봉래,4,2021-09-28,0,좋습니다 문의하나 할께요 타인명의 휴대폰 이용중 계좌거래 가능한가요?
Bondook's channel,1,2021-09-28,0,"우리페이 등록할때 버퍼링, 어류 나오고 본인 인증에 이름이 다 쓰이지가 않아요. 지금 이거 때문에 한 수업의 학점을 받을 수 없게 됐어요 좀 고쳐주세요"
김기사,4,2021-09-28,0,Youth otto7y58man is used is 8t
천영경,5,2021-09-28,0,정확하고 빠르게 해결해주세요 돈을적게 통장에 있는고객도 잘 해주세요
sua kang,5,2021-09-28,0,좋아요 ☆☆☆☆☆
김동희,5,2021-09-28,0,아주 좋아요. 긴요하게 잘 사용하고 있답니다.
zhongxi li,1,2021-09-27,0,알수없는 오류가 발생했습니다[255] 라고 계속뜨면서 로그인이 한번에 절대안됨.. 너가모르면 누가아냐..
운봉,5,2021-09-27,0,자세한 설명으로 이해가 잘됩니다
최진규,4,2021-09-27,0,좋습니다.
박진권,1,2021-09-27,1,"왜 인증과정을 이따구로 만들어놨는지 모르겠네요, 인증방법중 하나를 모르면 다른 방법을 통해 인증을 가능하게 해야지 a를 몰라서 b로 하려고 했더니 b를 하려면 a를 알아야 한다 그러고, a를 알려면 또 b 를 알아야 한다고 하고 그래서 a 알려고 고객센터 물어보니까 무조건 영업점 방문해야 한다고 하고, 직업 특성상 당장 방문 할 수가 없는데 통장을 당장 사용해야 하고, 이렇게 어처구니 없이 만들어놓으면 어떡합니다, 타 은행처럼 다른 인증수단을 가능하게 하던가, 타 기관 인증서로 그냥 가능하게 하던가, 좀 사용가능하게 수정 바랍니다."
최정우,5,2021-09-27,0,위젯추가 반영해주셔서 감사합니다∼ 그런데 4×2 말고 4×1로 해주시면 안될까요∼? 자리를 많이 차지 해서요.. ^^
오리역,1,2021-09-26,0,뱅킹 소문자대문자 쓸수있게 해주세요 아이디가 비밀번호 소문자인데 자꾸쓰려고하면 대문자로 바꿔요
이찬형,2,2021-09-26,0,제로페이 쓰려고 하는데 도무지 알수가 없네?
Chanwoo Kim,1,2021-09-26,0,별 한개도 아까움. 신한쓰다 옮겼는데 UI 프로세스 총체적 난국임. 너무너무 불편
오늘부터1일차,3,2021-09-26,0,지우고 깔아도 웹액션 오류떠요.언제 고쳐져요?
히이,1,2021-09-25,0,결제 페이지는 안뜨고 qr코드는 인식도안되고
김동하,1,2021-09-25,0,아무리 제대로 회원가입 신분증사진을 찍어서 인증을해도 얼굴이 확인안됫다고하고 은행원도 계속안돼서 계좌도못만들고 짜증나네요
뼈맞았어잠깐만,1,2021-09-24,11,"인증서 인식이 전혀 안되네요. 해지도 안되고 변경도 안되고, 다른 로그인도 못 하게 되고 ㅋㅋㅋ 여러 앱들을 쓰지만 농협보다도 안좋네요^^ 하아 회사에서 쓰는 것만 아니면 에휴"
김진혁,1,2021-09-24,0,왜 제로페이 접속이 불가능하죠?
나미리,5,2021-09-24,0,댓글달자마자 답글 빠르게 해주셔서 해결했네요 감사합니다 오래쓸게요
Songyi Han,3,2021-09-24,0,어플에서 web action 처리후 오류가 발생했다고 자꾸 나오는데 해결방법이있나요?어플 내 고객상담으로 해결하려고 하였으나 저 오류로 고객상담이 안켜집니다
Jiyeon Lee,1,2021-09-24,0,다른 은행 어플은. 업데이트 별로 안하는데 우리은행은 들어갈때마다 업데이트 해야 하네요 ㅜㅜ
Kina Ya,4,2021-09-24,1,WebAction 에러요 앱다시깔았는데도 나와서 보니까 수동으로 검색하니 업데이트가 또 뜨네요. 업데이트 이후 현상 없어졌어요
김소영,1,2021-09-24,24,제가 사용하는 은행 중 가장 불편합니다 모바일로 더 편리하게 간편하게 이용하고 싶어서 어플깔고 사용하는건데요 우리은행 모바일어플은 정말 최악이어요 하나은행어플 한번 다녀와보시길 추천드립니다 (전 100% 고객이고요 진심입니다) 하나은행 모바일 시스템은 정말 간편하기도하지만 참 심플합니다 ~!!!
홍성실,4,2021-09-24,23,"그동안 온뱅킹 잘 이용했었는데요. 갑자기 상단메뉴 중 '검색/제로페이/공지' 버튼과 하단메뉴중 '자산'메뉴 그외 다른 화면에서도.. 클릭시 오류메시지가 뜹니다. 앱을 재설치해보았는데도 그런데요. 해결방법을 알수 있을까요. (""WebAction 처리중 오류가 발생하였습니다"") 이 문구입니다."
zz1 zza1,1,2021-09-24,0,홍채인증이 만료되서 다른방법으로 로그인 하려는데 어떤방법을 선택하던 마지막에 기존의 생체인증을 서비스 해지 또는 지문등록하라고 뜨고 access denied 뜨고 무한도돌이표네요? 한 30분 스트레스받다가 걍 지우고 다시까는중인데 무슨 이따위 버그가 다있습니까?
두현김,1,2021-09-24,1,메뉴를 선택하면 'Webaction 처리중 오류가 발생했습니다.' 팝업이 계속 뜹니다. 메뉴이용을 할수가 없네요
Yoomin Kim,2,2021-09-23,0,"출금내역을 파랑색으로, 입금내역을 빨간색으로 해주세요. 전혀 직관적이지 않습니다.."
Seung-hyun Sur,1,2021-09-23,0,재설치해도 webaction오류 계속 뜨네요 업데이트 후 이상합니다
이재만,5,2021-09-23,0,쉽게잘사용
배성모,4,2021-09-23,0,좋아요
최종필,5,2021-09-23,0,사용하기 편리해요
김찬호,1,2021-09-23,0,자동로그인 기능 넣어주세요..
Victor Last,3,2021-09-23,0,오늘 webaction 표시중 오류가 발생했습니다. 라는 메시지가 계속 뜨네요. 그러면서 또 계속하면 사용이 되고.
유정아,3,2021-09-23,0,웹액션처리할수 없습니다 라고 계속떠서 이용이 안되는데 왜 그러는걸까요
미니마니,1,2021-09-23,0,웹액션 삭제하고 깔아도 똑같이 안되네요 은행어플인데 이렇게 간단한 오류하나 수정못하고잇는 개발쟈분들..대단하다...
박주희,1,2021-09-23,3,제로페이 이거 빨리 써야하는데 왜 제로페이 등의 기능을 사용하려고 하면 '웹 액션 처리 중 오류가 발생했습니다'가 뜨나요? 저번엔 다른 이유로 안되더니 왜이렇게 앱의 질이 안좋나요? 또 다른 어플들보다 압도적으로 느리고요
Soeun Ryu,4,2021-09-23,0,WebAction 중 오류 이거 어떻게 안생기나요. 이거때문에 할 일도 못하고 있습니다
자연인,2,2021-09-23,0,상품만 들어가면 웹 액션 처리중 오류라고 뭐 보이질 않아요.. 채팅 문의하니까 전화해야한다는데 연결도 쉽지 않구요 ㅠ
SH Kim,3,2021-09-23,0,Webaction 처리중 오류가 발생한다고 자꾸 뜨는데요 업무처리도 못하고 짜증..
환희박,2,2021-09-23,0,터치만 하면 오류라고 뜨니 뭘 할 수가 없어요.. 어떡하라는거죠?;;
Dani Lee,3,2021-09-23,0,Web action 오류 발생이 계속 떠서 금융업무 진행 불가합니다. 오류 좀 수정해주세요.
김소연,2,2021-09-23,0,Webaction 처리중 오류가 발생하였습니다. 라고 뜹니다. 이런경우 어떻게 해야하나요??
keep Calm,1,2021-09-23,0,WebAction 처리중 오류 메시지가 계속 등장함. 머 되는게 없음. 그냥 삭제함.
Sangseok Moon,1,2021-09-23,0,장난하는 것도 아니고 등록하는데 도돌이표만 몇번 째인지. 18
BenignnessBeads Gold,1,2021-09-23,0,종모양표시를눌렀는데 WebAction 처리중 오류가발생하였습니다가 계속떠요 왜그런거예요?
김상휘,5,2021-09-22,0,최고예요
김예림,2,2021-09-22,0,어플 오류인지 webatcion 처리중 오류가 발생했다고 하고 아무것도 실향이 안됩니다..
