,noun,counts
0,앱,237
1,로그인,164
2,안,159
3,사용,157
4,카드,112
5,오류,112
6,어프,95
7,인증,92
8,은행,77
9,업데이트,76
10,불편,72
11,계좌,67
12,결제,60
13,후,60
14,편리,53
15,이체,53
16,씨티,52
17,모바일,50
18,화면,47
19,등록,41
20,번호,39
21,메뉴,38
22,이용,37
23,때,37
24,개선,35
25,확인,34
26,통신,33
27,설치,32
28,조회,30
29,인증서,29
30,접속,29
31,최악,28
32,속도,26
33,거래,26
34,내역,25
35,입력,25
36,전화,24
37,이후,23
38,삭제,23
39,에러,22
40,고객,22
41,반응,22
42,비밀번호,21
43,기능,20
44,한눈,20
45,정보,20
46,짜증,19
47,씨티은행,19
48,필요,19
49,로딩,19
50,문제,19
51,폰,18
52,처음,18
53,전,18
54,사용자,17
55,상태,17
56,이전,17
57,아이디,17
58,금액,17
59,쓰레기,16
60,시티,16
61,비번,16
62,돈,16
63,이,15
64,휴대폰,15
65,디자인,15
66,실행,14
67,본인,14
68,금융,14
69,공동,14
70,지금,14
71,스마트,14
72,시간,14
73,시도,14
74,쿠폰,14
75,지문,13
76,진행,13
77,포인트,13
78,가입,13
79,반복,13
80,버전,13
81,이상,13
82,시티은행,13
83,설정,13
84,해결,13
85,업,13
86,업그레이드,13
87,눈,12
88,장애,12
89,한국,12
90,지점,12
91,계속,12
92,서비스,12
93,안드로이드,12
94,생각,12
95,혜택,12
96,왜,12
97,사람,12
98,버튼,11
99,도안,11
100,신용카드,11
101,리뷰,11
102,!!!,11
103,한번,11
104,무한,11
105,변경,11
106,이번,11
107,창,10
108,클릭,10
109,카드사,10
110,통장,10
111,가능,10
112,자체,10
113,지정,10
114,종료,10
115,만족,10
116,원활,10
117,일시,10
118,대출,10
119,요,10
120,!!,10
121,해지,10
122,뒤,9
123,문자,9
124,별,9
125,최고,9
126,공인인증서,9
127,인터넷,9
128,결재,9
129,수정,9
130,건지,9
131,현상,9
132,불가,9
133,신청,9
134,먹통,9
135,개발자,9
136,메인,9
137,웹페이지,9
138,달,8
139,상품,8
140,기존,8
141,현황,8
142,답,8
143,글,8
144,정도,8
145,굿,8
146,부탁,8
147,느낌,8
148,연결,8
149,하나,8
150,페이지,8
151,단계,8
152,발생,8
153,리뉴얼,8
154,바이오,8
155,말,8
156,자리,8
157,처리,8
158,아주,8
159,아무것,8
160,정말,8
161,진짜,7
162,예전,7
163,답변,7
164,오늘,7
165,메세지,7
166,한,7
167,다음,7
168,곳,7
169,아니,7
170,아,7
171,심플,7
172,터치,7
173,수준,7
174,하루,7
175,다운,7
176,이유,7
177,구성,7
178,기본,7
179,관리,7
180,해외,7
181,업무,7
182,선택,6
183,문구,6
184,한도,6
185,해도,6
186,어제,6
187,앞,6
188,복구,6
189,조치,6
190,하면,6
191,보유,6
192,뱅크,6
193,세련,6
194,투자,6
195,완전,6
196,동안,6
197,최근,6
198,웹,6
199,요즘,6
200,검색,6
201,테스트,6
202,타행,6
203,하,6
204,경우,6
205,공지,6
206,철수,6
207,세상,5
208,센터,5
209,증액,5
210,관련,5
211,점검,5
212,시대,5
213,거지,5
214,인터페이스,5
215,시스템,5
216,한참,5
217,개판,5
218,개발,5
219,강제,5
220,작동,5
221,통신사,5
222,가요,5
223,코드,5
224,마찬가지,5
225,오류로,5
226,방법,5
227,발급,5
228,러,5
229,핸드폰,5
230,구동,5
231,요한,5
232,보안,5
233,부분,5
234,평점,5
235,외화,5
236,마지막,5
237,내용,5
238,종일,5
239,이벤트,5
240,문의,5
241,인식,5
242,요구,4
243,입출금,4
244,안되나요,4
245,안보,4
246,예정,4
247,임,4
248,일,4
249,예금,4
250,이제,4
251,엉망,4
252,배포,4
253,아래,4
254,레,4
255,댓글,4
256,대금,4
257,단말기,4
258,다시,4
259,남,4
260,회사,4
261,기간,4
262,금융사,4
263,글로벌,4
264,그때,4
265,관리자,4
266,결제일,4
267,후에,4
268,결과,4
269,갤럭시,4
270,개설,4
271,감사,4
272,동작,4
273,로그아웃,4
274,신분증,4
275,홈페이지,4
276,신경,4
277,스트레스,4
278,스토어,4
279,통화,4
280,속,4
281,세요,4
282,선결,4
283,상담원,4
284,사용성,4
285,부팅,4
286,전체,4
287,방식,4
288,바코드,4
289,문,4
290,명세서,4
291,며칠,4
292,마일리지,4
293,잘못,4
294,송금,4
295,펀드,4
296,편의,4
297,타,4
298,초기,4
299,정리,4
300,팝업,4
301,중,4
302,평가,4
303,지원,4
304,참고,4
305,출금,4
306,이미지,3
307,이메일,3
308,이해,3
309,핀,3
310,촬영,3
311,그레이드,3
312,손,3
313,알,3
314,뱅킹,3
315,개인,3
316,알뜰,3
317,응대,3
318,타사,3
319,존,3
320,불안,3
321,뜸,3
322,이거,3
323,신,3
324,이건,3
325,평소,3
326,이랑,3
327,결국,3
328,날,3
329,시적,3
330,체크카드,3
331,온라인,3
332,콜,3
333,즉시,3
334,제거,3
335,스냅샷,3
336,다운로드,3
337,보니,3
338,승인,3
339,순간,3
340,봄,3
341,구글,3
342,용,3
343,그동안,3
344,부서,3
345,청구,3
346,서버,3
347,예,3
348,데이터,3
349,맘,3
350,연장,3
351,정상,3
352,노트,3
353,축소,3
354,개도,3
355,방문,3
356,노력,3
357,반영,3
358,설명,3
359,카,3
360,중간,3
361,아침,3
362,아이폰,3
363,주,3
364,저장,3
365,트,3
366,입장,3
367,중복,3
368,대기,3
369,자료,3
370,세월,3
371,사항,3
372,신속,3
373,발전,3
374,채팅,3
375,사업자,3
376,장난,3
377,잠시,3
378,점,3
379,잔액,3
380,상담,3
381,직관,3
382,대비,3
383,기가,3
384,신규,3
385,프로그램,3
386,신한,3
387,인지,3
388,동의,3
389,좀,3
390,실패,3
391,안내,3
392,다,2
393,끝,2
394,나니,2
395,로드,2
396,새로운,2
397,광고,2
398,열람,2
399,보험,2
400,영상,2
401,구림,2
402,영업점,2
403,나,2
404,길,2
405,사전,2
406,로기,2
407,예고,2
408,오질,2
409,펌뱅킹,2
410,제자리,2
411,실적,2
412,링크,2
413,실제,2
414,직원,2
415,생체,2
416,썬,2
417,동네,2
418,기업,2
419,화가,2
420,기대,2
421,어진,2
422,어이,2
423,카카오,2
424,불친절,2
425,할인,2
426,금욜,2
427,상환,2
428,안내문,2
429,애니메이션,2
430,앞으로,2
431,페이,2
432,알람,2
433,하위,2
434,파란색,2
435,비버,2
436,그지,2
437,신뢰도,2
438,연동,2
439,얼마,2
440,사업,2
441,조,2
442,사양,2
443,로그,2
444,상황,2
445,낭비,2
446,시작,2
447,주말,2
448,시중은행,2
449,조선,2
450,업체,2
451,채널,2
452,할,2
453,친절,2
454,그전,2
455,올,2
456,고생,2
457,체시,2
458,가짜,2
459,일부,2
460,일반,2
461,모델명,2
462,접근,2
463,찬,2
464,함,2
465,인창이,2
466,값,2
467,추천,2
468,몇일,2
469,인내심,2
470,차이,2
471,이틀,2
472,면,2
473,이질,2
474,개인정보,2
475,정,2
476,손해,2
477,플레이,2
478,이자,2
479,개편,2
480,이용자,2
481,탈퇴,2
482,이야기,2
483,쿠키,2
484,추가,2
485,일주일,2
486,거부,2
487,일치,2
488,전송,2
489,전산,2
490,10,2
491,대면,2
492,퍼,2
493,문제 해결,2
494,적립,2
495,대출금,2
496,205,2
497,미,2
498,미국,2
499,미만,2
500,90년대,2
501,밑,2
502,섹터,2
503,잔고,2
504,모션,2
505,합계,2
506,표기,2
507,자주,2
508,가독성,2
509,자동,2
510,절차,2
511,입금,2
512,합산,2
513,피드백,2
514,메일,2
515,쇼핑,2
516,짓,2
517,필수,2
518,제공,2
519,원래,2
520,이동,2
521,원격,2
522,회원,2
523,운영,2
524,왕,2
525,우체국,2
526,만원,2
527,외주,2
528,날짜,2
529,요화,2
530,증상,2
531,요청,2
532,출시,2
533,외국,2
534,파란,2
535,요새,2
536,요망,2
537,월,2
538,효과,2
539,해킹,2
540,매우,2
541,백그라운드,2
542,첨,2
543,최신,2
544,걸,2
545,완료,2
546,을해,2
547,게,2
548,버,2
549,완벽,2
550,유출,2
551,유지,2
552,유저,2
553,수령,2
554,머,2
555,유도,2
556,경로,2
557,단말,2
558,위주,2
559,경험,2
560,제가,2
561,활성화,1
562,도심,1
563,환율,1
564,돈거래,1
565,동아리,1
566,도움,1
567,동반자,1
568,환영,1
569,돌기,1
570,데이,1
571,데,1
572,돌대가리,1
573,더나은,1
574,전형,1
575,리볼빙,1
576,최소,1
577,매일,1
578,메뉴얼,1
579,호구,1
580,메가,1
581,멋,1
582,먼지,1
583,첨부,1
584,매시,1
585,팝업창,1
586,말씀,1
587,말라,1
588,호환,1
589,만땅,1
590,만기일,1
591,만기,1
592,메시지,1
593,처,1
594,청하,1
595,무료,1
596,무통,1
597,무진장,1
598,무안,1
599,무스,1
600,무성의,1
601,무선,1
602,모양,1
603,책임자,1
604,모바일 결제,1
605,모래시계,1
606,모드,1
607,모두,1
608,모델,1
609,모니터,1
610,마케팅,1
611,체액,1
612,최선,1
613,디스플레이,1
614,뜻,1
615,뜨게,1
616,화나,1
617,디테일,1
618,디지털,1
619,화풀이,1
620,디,1
621,래,1
622,환경,1
623,드,1
624,듀얼,1
625,뒷자리,1
626,최,1
627,두,1
628,라너,1
629,램,1
630,마이너스,1
631,루프,1
632,마음,1
633,마다,1
634,홈,1
635,대응,1
636,리만,1
637,리다,1
638,롤백,1
639,초정,1
640,로봇,1
641,쳐,1
642,로고,1
643,련,1
644,레이디,1
645,레벨,1
646,대체,1
647,기술력,1
648,대안,1
649,경기은행,1
650,고급,1
651,고간,1
652,고,1
653,계획,1
654,효율,1
655,계산기,1
656,팅,1
657,키워드,1
658,고등학교,1
659,킴,1
660,결정권자,1
661,킹,1
662,게임,1
663,겁,1
664,검증,1
665,타임머신,1
666,고급지,1
667,고맙습니다,1
668,대도시,1
669,과거,1
670,교체,1
671,관심,1
672,관상,1
673,컴퓨터,1
674,관리도,1
675,코로나,1
676,과잉,1
677,공항,1
678,고민,1
679,콜백,1
680,공식,1
681,공백,1
682,회신,1
683,공개,1
684,골,1
685,고정,1
686,건강보험,1
687,걱정,1
688,타자,1
689,3월 20일,1
690,가,1
691,ㅂ사,1
692,UI,1
693,SK텔레콤,1
694,PC,1
695,5월 1일,1
696,4월 1일,1
697,30년,1
698,거절,1
699,2월,1
700,2021년,1
701,2020년,1
702,2012년,1
703,12월,1
704,10분,1
705,흠,1
706,휴대전화,1
707,가면,1
708,후회,1
709,가편,1
710,후지다,1
711,갱신,1
712,탭,1
713,테두리,1
714,후퇴,1
715,테이트,1
716,토,1
717,개그,1
718,톤,1
719,강구,1
720,갑,1
721,감지,1
722,특수문자,1
723,감,1
724,간,1
725,교환,1
726,구,1
727,구데기,1
728,낭패,1
729,놀라움,1
730,내일모레,1
731,내일,1
732,취소,1
733,회,1
734,내야,1
