userName,score,date,thumbsUpCount,comment
Yongwon Choi,5,2021/09/29,0,편하게 잘 사용하고 있어요. 미국계 은행이라 외국에 나가면 공항. 대도시 중심가에 ATM기가 항상 있어 시티은행을 이용합니다.
han,1,2021/09/28,0,편리성이 너무 떨어짐 앱 다루기가 힘듬
이승환,5,2021/09/27,0,편해요
Ab Kim,1,2021/09/27,0,저도 몇일 동안오류로 뜨네요. 혹시몰라 은행 가기전 다시 깔고 다시 시도 하려고 합니다
박태석,5,2021/09/26,0,조아
예에에,1,2021/09/25,0,설정들어가면 아무것도 안되고 먹통이되요 그리고 원하는걸 하기에 너무 난잡하고 찾기도힘들어요 앱자체가 렉도심하고 끊김이 있어요
이수빈,1,2021/09/24,0,앱 ui 진짜 너무 답답하고 불편해요 디자인은 말할것도 없고... 그리고 어플로 주소지 변경하라길래 했는데 10번 다 에러뜨고 튕기네요....답답해 돌아버릴지경
Geunhyeong Lee,2,2021/09/24,0,생에 첫 간편결제 - 그동안 계좌이체와 무통장입금으로 온라인쇼핑을 하다가 간편결젤 한번 하고나니까 무통 계좌이체 안쓰게됨.... 세상세상 편리함 굳굳 이었으나....어느순간부터 간편결제할라치면 앱정보가 정확하지 않으니 재실행하라고 문구가 뜨는데 재시작해도 문제는 해결되지 않네요... 해외에서 한국결제 유용하게 히고있었는데 너무 불편합니다. 코로나 때문에 한국도 못 들어가고 있는데 답답하네요..
GaKyung Yi,4,2021/09/24,0,시티은행 카드혜택이 아주 좋아요~ 오래오래 가능하길
inwoo kong,1,2021/09/24,0,"최악입니다. 오류떠서 지우고 다시 깔았는데, 인증 무한루프입니다. 짜증나네요"
정국지민제이,5,2021/09/24,0,씨티카드 문닫음 안돼요~~ 내가 얼마나 오래 사용한 카드인데..
이종민,5,2021/09/24,0,심플하고 좋아요
이주훈,5,2021/09/23,0,완벽
아룽,1,2021/09/22,0,터치가 안먹혀요 ... 답답답답답답 속터짐 ㅎㅎ 언제 고쳐주시나요
바이뉴,1,2021/09/20,1,차라리 앱을 없애는게 나을 것 같아요. 2021년에 사용중인 어플이라니 끔찍할 정도.. 씨티은행 계좌 없이 대출금 조회 해보셨나요? 공동인증서 갱신 이후부터 로그인이 안됩니다. 타행인증서 등록하려는데 왜 씨티은행 계좌를 입력해야 하나요? 결국엔 공동인증서로 로그인을 막아서 회원가입률 올리는 거겠죠? it서비스 기획자는 씨티은행이라는 회사에 없나요? 애꿎은 사람들 놀리지 말고 은행 창구나 늘리세요.
이병천,5,2021/09/20,0,이체무료에 정말 빠른... 외화도 가능할까?? 테스트해봐야지..
박수인,5,2021/09/16,0,최고
Super Phoenix,1,2021/09/15,0,죄송하지만 빠른 반응속도 위주의 새로운 어플 출시를 부탁 드립니다
Sehui Oh,1,2021/09/15,0,느려도 너무 느리다
정건수,5,2021/09/14,0,좋아요~^^
차경남,3,2021/09/14,0,정이 ㄱ
Sunmoon Ki,5,2021/09/14,0,편하고 안전하네요.
GS Kim,1,2021/09/14,0,카뱅제휴카드신청하고 씨티모바일앱설치 하려고 하는데 계속대기중으로 설치가 되지 않음....첨부터 이런데 서비스가 제대로 제공될지 의구심이 드네요 씨티카드수령거부하고 탈회신청 해야겠습니다.
권혜림,5,2021/09/14,0,씨티은행짱^^
이진숙,5,2021/09/14,0,매우 편리
바다헌터,1,2021/09/13,0,시티카드만 사용하는데 인증서등록해서 로그인할려면 시티은행 계좌번호를 쓰라는데 있어야쓰죠 카드사 앱중에서 가장 허접하고 가장 불편합니다
현일,4,2021/09/13,0,앱이 너무 느립니다!!!빠르게 개선좀됐으면 좋겠어요.
NEO GEO,3,2021/09/12,0,간편한데 앱이 최적화가 잘안되어있는것같아요. 너무 무겁게 느림.
나비부인,1,2021/09/11,0,로그인이 안되요
jonghyun kim,5,2021/09/11,0,좋아요
서범열,5,2021/09/10,0,빠른처리에 감사~~!!
회복,3,2021/09/09,0,시티카드는 멤버스앱이나 어떤페이나 이런게없나요? 시티모바일앱만있는거맞나요?
SH YOO,3,2021/09/08,0,pc에서 시티스마트 간편결제하려는데 앱에서 어디서 하는지못찾겠어요. 다른카드사처럼 팝업뜨게해주던거 qr코드로 바꾸던가 누가바코드를써요. 완전 메인ui는 쓸데없는메뉴만 돈빨리갚는 머그런것만있고..검색어로도 스마트 간편결제 결제코드 인터넷 다넣어도 없는단어라고하고..젊은사람도이렇게못찾는데. 어르신들은어떻게이용하실까싶네요
강창호,5,2021/09/08,0,편리해요
김병윤,5,2021/09/07,0,편리해요
hanmo kang,5,2021/09/07,0,지문인식도 되고 쓰기 좋네요.
vicky lee,1,2021/09/07,0,진짜 아침부터 짜증나게 오류인지 먼지 계속안되네여. 왜이러나여
S.M. Choi,2,2021/09/06,6,개인적으로 통장이나 카드나 이벤트등 시중은행중에서는 나름 괜찮은 편입니다. 그러나 고객서비스는 소통할 채널자체가 부족하고 그나마 용이한 채팅은 상담원이 전문성이 없이 여러 분야를 응대해서그런지 친절도도 짜증안내면 다행. 그냥 채팅봇이 더 나을정도이고 답변수준도 자기도 잘 모르면서 잘못된 답을 알려줘서 직접 해당부서에 전화해서 알려준대로 이야기진행했더니 완전 바보됐습니다. 그리고 앱자체로만 봤을때 은행앱중에서 반응속도가 꼴찌에 속합니다. 뭔가를 누르면 반드시 2-3초정도 로딩시간이 흘러야 넘어갑니다. 다른건 다 만족하는 편인데 이게 뭐라고 이거 하나땜에 별을 다 깍았냐면 반응속도 느린거로 몇 년 전부터 개선해줄 것을 요청했지만 아직도 그대로입니다. 업뎃할 때마다 사용자들에게 가장 불편하고 급한건 놔두고 뭘 개선하는 건지 알 수가 없고요. 놀고 있는건 아닐테고 몇 년째 같은 반응속도인걸 보면 그냥 속도 하나 개선 못할 정도로 능력이 없거나 그만큼 투자를 안한다고밖에 생각이 안드네요. ㅉ
풋볼스튜드오,5,2021/09/06,0,빠름
변쉰또굴또굴,1,2021/09/06,0,비대면 만들려다가 본사 뛰어갈 판.. 이따구로 만들다니 ㅋㅋㅋ 웃기다
쿠쿠솝,1,2021/09/06,2,"본인인증 문자 하나 기다리는데 언제까지 기다려야되는지,,, 몇번을 다시해도 문자가 안오다가 오길래 입력했더니 번호오류 미치겠네요 로그인도 못하고"
HO!,1,2021/09/06,0,간편결제 어딨는데????? UI 누가 만들었냐
임정능,4,2021/09/05,0,편해요
정현일,5,2021/09/05,0,최고의 카드
유희숙,4,2021/09/05,0,탭반응너무느려서 여러번오류남
이상진,2,2021/09/05,0,PC기반 웹싸이트는 괜찮은데 앱은 타 금융이트보다 에러가 많음
dynamics boston,2,2021/09/05,0,카드내역조회만 터치하면 먹통이 되네요 카드사 어플 중 하위권
박혜선,2,2021/09/05,2,로그인을하고 이체를 하려고하면 로그인이 필요하다며 다시 로그인창이 나오고 또 로그인해도 똑같고..가끔 이런증상이 있는데..참 답답하네요. 다른은행어플에서는 한번도 일어나지 않은오류가 시티에서는 자주 생기는듯..
Cheonseo Park,1,2021/09/05,0,메뉴 누를때마다 로그인하라고 뜸. 가뜩이나 반응속도 최악인데 아주 좋은 기능 추가했네. 대단들 하십니다
초이,1,2021/09/05,7,분명히 로그인하고 사용계좌 들어가서 이체신청하면 로그인후 사용가능하다는 메세지가 뜨고 다시 로그인하면 경로 오류 뜨고 다시 경로 찾아 계좌이체 하려면 오류로 인해 사용이 불가하니 잠시 뒤에 하라고 합니다. 잠시 뒤? 이걸 한시간을 하고 있는 내가 너무 화가 나네요. 삭제하고 다시 깔아도 마찬가지입니다. 황당하고 어이가 없네요
대박이다 ᅳᅳᅳ올해는,4,2021/09/04,0,좋아요 ~^^
김경규,5,2021/09/02,0,사용하기 편하고 여러 혜택이 있어요
김미경,5,2021/09/01,0,좋아요
김궁금,5,2021/09/01,0,한도증액감사합니다
Sungjin Kim,5,2021/09/01,0,사용하기 편합니다
Hyolenn Gold,3,2021/09/01,0,카카오페이통해 신용대출 받으려고 하는데 건강보험자료 인증에서 계속 오류발생합니다.
정이의하루,1,2021/09/01,0,왜계느려진거죠...
WB KIM,5,2021/09/01,0,사용하기 편하고 아주 좋아요. 👍
최경지,3,2021/08/31,0,기업고객은 서비스이용이 불가능한가요? 기업카드확인하는곳이 없네요
강태윤,1,2021/08/30,10,"모든 은행 어플을 써보지는 못했지만, 사용해본 중에 제일 별로예요. 한번 접속하면 꼭 5번이상 삭제하고싶어져요. 반응도 느리고 뭐가 잘안되요. 누르면 활성화되는데 너무 오래걸려요. 원하는 메뉴 찾기도 힘들어요. ㅡㅡ디자인도 별로예요"
이현주,1,2021/08/30,0,안열려요ㅡㅜ
YONGWOO KIM,1,2021/08/29,6,2021년에 이런앱이 있다는것이 놀라울따름이고..평점이 4.6이라는것에 한번 더 놀라움. 카드 혜택도 별루인데 앱은 정말 이상하게 만들어짐. 씨티는 다름 금융사 앱은 않보는것이진지...3개월 사용하다가 해지할거라 앱지웠는데...마지막 남은결재건이 있다고해서 다시 깔면서 평점 남김
이재택,1,2021/08/27,0,씨티는 가끔 오류가 발생 골때립니다
박창주,5,2021/08/27,0,사용하기 편리하게 잘 만들어졌어요!!
오마이걸유아린 TV,1,2021/08/27,0,신분증 ocr인증 이렇게 안되는 앱은 천이네요.. 대안방식을 강구하던가 지점 방문 안내를 해두건가.. 가뜩이나 시티은행 지점도 별로 없는데 비대면이 이렇게 불편해서야... 어쩝니까?
do do820,2,2021/08/26,0,이체시 확인버튼 클릭이 되질않네요 두번이나 지웠다 다시깔아도
focustone,1,2021/08/26,0,너무느립니다. 결재 조회도 안되구요.
김종진,1,2021/08/26,0,제발 이체좀 하게 해주세요 이체버튼 누르면 모바일인증 하라고 하고 모바일인증 하려하면 이미 되어 있다하고.. 내돈 내가 빼가고 싶은데 왜 못하게 하나요. .
민다혜,5,2021/08/26,0,너무편해용
Lu pang,2,2021/08/26,0,대충만든...느림
킴제이,1,2021/08/25,0,왜 이렇게 만드세요? 접속도 안되요 글로벌은행이 이렇게 운영하면 위에서 뭐라 안하나요???
A Reum Ham,1,2021/08/25,0,계속 오류 남!!!!!
임한석 원장,1,2021/08/24,0,오류
박종선,5,2021/08/24,0,쉽게 보고 이용할 수 있어 좋네요.ㅎ
LIME KIM,1,2021/08/24,0,너무느려요..
김영만,5,2021/08/24,0,편하게 사용하고 있습니디.
김세연,1,2021/08/24,0,세상에서 가장 불편한 금융앱!! 씨디모바일
전송실,5,2021/08/23,0,좋아요
조승제,1,2021/08/23,0,어플관리 안하냐...
KS YANG,1,2021/08/22,0,아니 앱 설치하면 들어갈 수는 있게 만들어야지 수십번 지웠다 깔아도 계속 첫화면에서 먹통 그냥 이전 앱으로 돌려놔라 도대체 어떤 빠가들이 만든거냐
콘미교,5,2021/08/22,0,"사랑하는 국제 메가뱅크 은행, 한국 철수하지말고 앞으로도 계속 함께해줘 별5점 줄께!!! ㅜㅜ"
M M,2,2021/08/22,16,앱에서 이체안되는 문제 해결안하시나요.. 오류가 너무 많고 이체도 종종 안되고 씨티앱 이용하기에 위험성이 너무많아 참고참다 이용 종료합니다. 한국에서 비지니스 축소하는건 알겠는데 기본적인건 제대로 하셔야합니다.
한승윤,1,2021/08/22,0,거지같은앱 어느순간 오류투성이 카드확인 및 결제다안돼고 모든 메뉴 눌러도 오류만뜨네요
박준범,1,2021/08/22,0,에러가 왜케 뜨는지 999999 이거 뜨면서 아무것도 안됨...
손정임,1,2021/08/22,0,내카드가 안보입니다 . 없다고 나와요 하.. 앱을 타 카드사 처럼 만드시던지.. 사용하기 불편해요
안영훈,1,2021/08/22,0,빨리철수부탁드립니다
Sung Ook Han,1,2021/08/20,0,10여년 전 앱오류로 결제가 안되는 답답함을 21년에 느끼네요 타임머신을 타시고 싶으시면 사용하시기 바랍니다
정나미,4,2021/08/20,0,계좌이체시 잘않넘어가요 돈보낼때마다 꼭 그러더라구요 핸펀 껏다가 다시켜요 개선요망요 다른은행건 문제없는데 여기만요ㅠ
Hong Kim,1,2021/08/19,0,본인 핸드폰인데도 SMS비번과 OTP비번을 요구하는 것은 과잉보안으로 보임
hs2 her,1,2021/08/19,0,스마트간편결제 안됩니다. 스마트간편결제에 카드 등록되어 있는데 결제화면으로 안넘어가고 자꾸 구글플레이로 열립니다.
김하늘,1,2021/08/19,0,로그인 자체가 안돼요ㅡㅡ 도저히 쓸 수가 없음
뇌락,5,2021/08/18,0,편리합니다
2,3,2021/08/18,9,"아이디 로그인시 사용하는 비밀번호 변경시, 기존 비밀번호와 신규 비밀번호만 입력하는 것으로 수정 하면 안될까요? 변경하려는데 계좌번호와 출금 비밀번호 혹은 신용카드번호와 카드 비밀번호를 입력하라고 합니다(씨티앱 버젼 2.0.01.00). 간편 비밀번호지정이나 공동인증서 지정할때도 모두 계좌번호와 출금 비밀번호, 신용카드번호와 카드비밀 번호 입력요구합니다. 혹시 해킹인가? 본인 확인을 위해 필요 한 것이라면, 다른 어플들 처럼, 공동 인증서나 등록된 이메일 또는 핸폰 번호 콜백기능으로 대체 하면 안될까요?"
희원,5,2021/08/18,0,앱 들어가집니다 감사합니다!!
한찬숙,4,2021/08/18,0,사용이 아주 편리합니다
민경미,5,2021/08/17,0,엄청 편함
주식초보_상한가,1,2021/08/17,0,대출 정보 볼려고 클릭하면 오류코드 9999999 뜨면서 유통오류라고 뜨네요ㅠ 해결부탁합니다
정연진,1,2021/08/17,0,머하자는거에요 카드쓰지말라는거에요 모바일결제한번하려다인내심한계오고 분노조절장애올것같애요 별하나주는것도 아까워서손이덜덜
김순희,5,2021/08/17,0,간편해서 좋아요
박상걸,4,2021/08/16,0,좋고 편리해요
niceguy,1,2021/08/16,4,너무 느립니다. 입력시 반응이 너무 느려서 도저히 사용할 수 없을 정도입니다. 계좌하나 개설하는데 얼마나 많은 오류가 발생하게 되는지.. 담당부서에서는 직접 한번 사용해보시고 개선부탁드립니다
David Kim,5,2021/08/16,0,베리굿
곰지눙,3,2021/08/15,0,"즉시결제 주말에 안되는거 진짜 불편.. ㅇㄹ, ㄹㄷ는 시스템적으로 잘 만들어놓아서 바로바로 즉시결제를 했는데 확실히 씨티는 시스템이 구려요ㅜㅜㅜㅜ"
이개현,5,2021/08/14,0,이용하기 편해요
YN Kim,1,2021/08/14,8,이렇게 오류 많은 뱅킹앱 처음. 안드로이드에선 휴대전화 인증 후 오류로 가입불가. 아이폰으로 가입은 했는데 이번엔 이체한도증액 하려는데 마지막 인증서인증 후 오류만 계속 안드나 아이폰 둘다 이체한도증액 오류.. 이 앱으로 할 수 있는 것이 없다.
김명희,1,2021/08/14,0,온라인사용등록 진짜 더럽게 안됨 겨우겨우했는데 카드등록안되어있음. 신분증 촬영인식도 더럽게 잘 안됨 진짜 안쓴다 그냥
Seyoung Lee,1,2021/08/12,0,스마트 간편 결재 안되요 1577-7000으로 전화해도 돌리고 또 돌리고 10분이상 시간 낭비하다가 그냥 일반 결재 등록해서 결재했습니다
Foxs Red,1,2021/08/11,0,금융앱이 어떻게 이렇게 쓰레기일 수가? 로그인후 뭐 조회만 하려고 하면 로그인해야 조회 가능한 메뉴래..? 기가찬다..
이선미,1,2021/08/11,0,전보다 불편해진 느낌
수염고래,1,2021/08/11,0,앞 버전으로 바꿔주세요 비번로그인도 안되고 그래서 카드결제도 미리미리 못하고 결제금액도 모르네요
이혜숙,5,2021/08/10,0,good bank citi..
신우종,5,2021/08/10,0,만족
최순필,5,2021/08/10,0,포인트 굿!!!
구은주,5,2021/08/10,0,좋아요
myoungjin lee,1,2021/08/10,0,이용항목을 찾아보기가 힘듭니다. 그리고 5G프리미엄휴대폰으로 유독 요앱에서만 반응속도가 느린것은 뭐가 문제일까요..
차원용,5,2021/08/10,0,한도가늦게 올라감.이자도비싸고
헬헬,1,2021/08/10,0,디지털OTP불편
구보형,4,2021/08/09,0,굳ㆍ아주 편해요
나성준,5,2021/08/09,0,편리합니다
JoonIl KIM,5,2021/08/09,0,넘 좋아용
