,date,thumbsUpCount,comment,score,review score
0,2021-09-29,0,암호 패턴은 왜 지나간 자리가 보이나요 _,1,0.3
1,2021-09-29,0,뭡니까 6월에 앱 깔고 오류 나서 은행서 문의하고 다시 깔아 쓰다가 최근에 또 오류 나서 삭제하고 다시 쓰는데 안되네요 쓰지 말까요,2,-5.5
2,2021-09-29,0,어느 날 갑자기 미계약 이용자라고 로그인 막히고 이유도 몰라서 회원 가입을 하려니까 그것도 인식을 못 하고 정말 시간만 버리고 답답하고 화나요,1,-4.5
3,2021-09-29,0,계좌개설하는데 영업점명과 직원명이 있어야 한다는데 처음 어플 설치하는데 계좌도 있고 한데 뭐가 이리 복잡할까요 타은행 사용 안 하는 것도 아니고 문의에 답변 있다고 하더니 답변이 없고,3,-6.0
4,2021-09-29,0,다운로드가 안돼요 버퍼링만 현재 3시간째입니다,5,-2.0
5,2021-09-28,0,계속 사용하던 것인데 왜 이리 복잡한가요 내일 다 정리하고 거래를 안 하고 싶어지네요 ,1,-1.4
6,2021-09-28,0,살다가 아직도 타행 이체 때 수수료 받는 어플은 우리은행이 최초일 듯,1,0.0
7,2021-09-28,0,좋습니다 문의하나 할게요 타인 명의 휴대폰 이용 중 계좌 거래 가능한가요,4,3.0
8,2021-09-28,0,우리 페이 등록할 때 버퍼링 어류 나오고 본인 인증에 이름이 다 쓰이지가 않아요 지금 이거 때문에 한 수업의 학점을 받을 수 없게 됐어요 좀 고쳐주세요,1,-2.5
9,2021-09-28,0,Youth otto7y58man is used is 8t,4,0.0
10,2021-09-28,0,정확하고 빠르게 해결해주세요 돈을 적게 통장에 있는 고객도 잘 해주세요,5,1.25
11,2021-09-28,0,아주 좋아요 긴요하게 잘 사용하고 있답니다,5,8.0
12,2021-09-27,0,알 수 없는 오류가 발생했습니다 255라고 계속 뜨면서 로그인이 한 번에 절대 안 됨 네가 모르면 누가 아냐,1,2.8
13,2021-09-27,0,자세한 설명으로 이해가 잘 됩니다,5,2.0
14,2021-09-27,1,왜 인증 과정을 이따위로 만들어놨는지 모르겠네요 인증방법 중 하나를 모르면 다른 방법을 통해 인증을 가능하게 해야지 a를 몰라서 b로 하려고 했더니 b를 하려면 a를 알아야 한다 그러고 a를 알려면 또 b를 알아야 한다고 하고 그래서 a 알려고 고객센터 물어보니까 무조건 영업점 방문해야 한다고 하고 직업 특성상 당장 방문할 수가 없는데 통장을 당장 사용해야 하고 이렇게 어처구니 없이 만들어놓으면 어떡합니다 타 은행처럼 다른 인증수단을 가능하게 하던가 타 기관 인증서로 그냥 가능하게 하던가 좀 사용 가능하게 수정 바랍니다,1,-1.9999999999999993
15,2021-09-27,0,위젯 추가 반영해주셔서 감사합니다∼ 그런데 4×2 말고 4×1로 해주시면 안 될까요∼ 자리를 많이 차지해서요,5,-2.0
16,2021-09-26,0,뱅킹 소문자 대문자 쓸 수 있게 해주세요 아이디가 비밀번호 소문자인데 자꾸 쓰려고 하면 대문자로 바꿔요,1,2.0
17,2021-09-26,0,제로 페이 쓰려고 하는데 도무지 알 수가 없네,2,-1.0
18,2021-09-26,0,별 한 개도 아까움 신한 쓰다 옮겼는데 UI 프로세스 총체적 난국임 너무너무 불편,1,-12.5
19,2021-09-26,0,지우고 깔아도 웹 액션 오류 떠요 언제 고쳐져요,3,-2.0
20,2021-09-25,0,결제 페이지는 안 뜨고 qr코드는 인식도 안되고,1,-2.0
21,2021-09-25,0,아무리 제대로 회원가입 신분증 사진을 찍어서 인증을 해도 얼굴이 확인 안됐다고 하고 은행원도 계속 안돼서 계좌도 못 만들고 짜증 나네요,1,-3.75
22,2021-09-24,11,인증서 인식이 전혀 안되네요 해지도 안되고 변경도 안되고 다른 로그인도 못 하게 되고  여러 앱들을 쓰지만 농협보다도 안 좋네요 하아 회사에서 쓰는 것만 아니면 어휴,1,-10.5
23,2021-09-24,0,왜 제로 페이 접속이 불가능하죠,1,1.3
24,2021-09-24,0,댓글 달자마자 답글 빠르게 해주셔서 해결했네요 감사합니다 오래 쓸게요,5,4.0
25,2021-09-24,0,어플에서 web action 처리 후 오류가 발생했다고 자꾸 나오는데 해결 방법이 있나요 어플 내 고객상담으로 해결하려고 하였으나 저 오류로 고객상담이 안 켜집니다,3,-1.0
