,date,thumbsUpCount,comment,score,review score
0,2021-09-29,0,편하게 잘 사용하고 있어요 미국계 은행이라 외국에 나가면 공항 대도시 중심가에 ATM기가 항상 있어 씨티은행을 이용합니다,5,4.0
1,2021-09-28,0,편리성이 너무 떨어짐 앱 다루기가 힘듦,1,-9.0
2,2021-09-27,0,저도 며칠 동안 오류로 뜨네요 혹시 몰라 은행 가기 전 다시 깔고 다시 시도하려고 합니다,1,1.4
3,2021-09-25,0,설정 들어가면 아무것도 안되고 먹통이 돼요 그리고 원하는 걸 하기에 너무 난잡하고 찾기도 힘들어요 앱 자체가 렉도 심하고 끊김이 있어요,1,-6.3
4,2021-09-24,0,앱 ui 진짜 너무 답답하고 불편해요 디자인은 말할 것도 없고 그리고 어플로 주소지 변경하라길래 했는데 10번 다 에러 뜨고 튕기네요 답답해 돌아버릴 지경,1,-10.7
5,2021-09-24,0,생에 첫 간편결제  그동안 계좌이체와 무통장입금으로 온라인쇼핑을 하다가 간편결제 한번 하고 나니까 무통 계좌이체 안 쓰게 됨 세상 세상 편리함 굳 굳히었으나 어느 순간부터 간편결제할라치면 앱 정보가 정확하지 않으니 재실행하라고 문구가 뜨는데 재시작해도 문제는 해결되지 않네요 해외에서 한국결제 유용하게 히고 있었는데 너무 불편합니다 코로나 때문에 한국도 못 들어가고 있는데 답답하네요,2,-2.0
6,2021-09-24,0,씨티은행 카드 혜택이 아주 좋아요 오래오래 가능하길,4,9.0
7,2021-09-24,0,최악입니다 오류 떠서 지우고 다시 깔았는데 인증 무한 루프입니다 짜증 나네요,1,-12.5
8,2021-09-24,0,씨티카드 문 닫음 안돼요 내가 얼마나 오래 사용한 카드인데,5,-1.0
9,2021-09-22,0,터치가 안 먹혀요  답답 답답 답답 속 터짐  언제 고쳐주시나요,1,8.0
